season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rp_team_norm,rp_opponent_norm,team_pair_key,season_year,event_id,starts_at,away_team,home_team,away_team_id,home_team_id,completed,odds_present,odds_available,away_final_points,home_final_points,home_final_margin,final_total_points,away_1h_points,home_1h_points,home_1h_margin,one_h_total_points,away_2h_points_incl_ot,home_2h_points_incl_ot,home_2h_margin_incl_ot,two_h_total_points_incl_ot,home_game_spread,home_game_spread_book,home_game_spread_price,away_game_spread,away_game_spread_book,away_game_spread_price,game_total,game_over_book,game_over_price,game_under_price,home_game_ats_result,game_total_result,home_1h_spread,home_1h_spread_book,home_1h_spread_price,away_1h_spread,away_1h_spread_book,away_1h_spread_price,one_h_total,one_h_over_book,one_h_over_price,one_h_under_price,home_1h_ats_result,one_h_total_result,home_2h_spread,home_2h_spread_book,home_2h_spread_price,away_2h_spread,away_2h_spread_book,away_2h_spread_price,two_h_total,two_h_over_book,two_h_over_price,two_h_under_price,home_2h_ats_result,two_h_total_result,away_norm,home_norm,starts_at_dt,_merge
2025,4,401752709,Florida,Miami,P4_vs_P4,11.0,5_to_14_9,8.0,14.0,8.5,L,-10.5,,False,florida,miami,florida||miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,4,401752723,Texas,Sam Houston,P4_vs_G6,5.0,5_to_14_9,9.0,1.0,-39.5,W,15.5,,True,texas,sam houston,sam houston||texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401752820,Wisconsin,Middle Tennessee,P4_vs_G6,8.0,5_to_14_9,12.0,4.0,-28.5,W,3.5,,True,wisconsin,middle tennessee,middle tennessee||wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,4,401752844,Rutgers,Iowa,P4_vs_P4,14.0,5_to_14_9,32.0,-5.0,2.5,L,-7.5,,True,rutgers,iowa,iowa||rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401752948,San Diego State,Washington State,,25.0,25_plus,7.0,43.0,2.5,L,-20.5,,False,san diego state,washington state,san diego state||washington state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,1,401754522,Notre Dame,Miami,Other,2.0,under_5,-9.0,15.0,-2.5,L,-5.5,,True,notre dame,miami,miami||notre dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401754526,Stanford,BYU,P4_vs_P4,6.0,5_to_14_9,6.0,7.0,20.5,L,-3.5,,True,stanford,byu,byu||stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,3,401754535,South Florida,Miami,G6_vs_P4,12.0,5_to_14_9,8.0,17.0,17.5,L,-19.5,,True,south florida,miami,miami||south florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,2,401754618,UConn,Syracuse,Other,5.0,5_to_14_9,6.0,5.0,7.5,W,0.5,,True,uconn,syracuse,syracuse||uconn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2025,1,401756848,UCF,Jacksonville State,P4_vs_G6,17.0,15_to_24_9,22.0,11.0,-20.5,L,-13.5,,True,ucf,jacksonville state,jacksonville state||ucf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
