metric,value
apply,True
games,902
would_fix_or_fixed,11
unchanged,753
skipped_missing_team,138
skipped_missing_rating,0
preview_csv,/Users/jameslindesmith/NCAAF_AUTO/data/audits/game_projection_spread_fix_preview.csv
