source,pulled_at,sgo_event_id,week,start_time_utc,away_team,home_team,home_spread,home_spread_price,spread_book,total,over_price,under_price,total_book,away_moneyline,away_moneyline_book,home_moneyline,home_moneyline_book
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,BKDm2qvNPYjNHWcGfcmd,1,2026-09-04T01:00:00.000Z,Idaho,Utah,-34.5,-110,fanduel,57.5,-110,-110,fanduel,4000.0,fanduel,-30000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,HTi8ZufisDnaYtVhvz6J,1,2026-09-04T01:00:00.000Z,UAB,Illinois,-27.5,-108,draftkings,56.5,-110,-110,draftkings,2000.0,draftkings,-6500.0,draftkings
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,tfs8VIXkQrSg2WwKbljD,1,2026-09-04T22:30:00.000Z,San José State,Eastern Michigan,-4.5,-106,fanduel,54.5,-110,-110,fanduel,150.0,fanduel,-182.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,Sn9lSY6Vl6nL6uMM3dCa,1,2026-09-04T23:00:00.000Z,North Carolina A&T,Georgia State,-26.5,-115,fanduel,55.5,-115,-105,fanduel,1600.0,fanduel,-4500.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,qLAmI3fBIsxh2bjBe4xb,1,2026-09-04T23:00:00.000Z,Indiana State,Purdue,-35.5,-112,fanduel,57.5,-110,-110,fanduel,6500.0,fanduel,-30000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,8Uz5w2S0U0bhj4DPHLLy,1,2026-09-05T00:00:00.000Z,Long Island University,Kansas,-40.5,-105,fanduel,52.5,-110,-110,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,K9AlGiLXhMvLjbIsjbMv,1,2026-09-05T00:00:00.000Z,UTEP,Oklahoma,-39.5,-115,fanduel,49.5,-114,-106,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,zlMp0XcOLjhlE6T30F4o,1,2026-09-05T00:00:00.000Z,Toledo,Michigan State,-11.5,-105,fanduel,48.5,-115,-105,fanduel,330.0,fanduel,-430.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,f5mweoy6d2NQvns6K9mB,1,2026-09-05T01:00:00.000Z,Miami,Stanford,23.5,-105,fanduel,49.5,-110,-110,fanduel,-3500.0,fanduel,1280.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,wkXTMpBXvNifeeZh0HsX,1,2026-09-05T01:00:00.000Z,Fresno State,USC,-23.5,-110,fanduel,50.5,-110,-110,fanduel,1200.0,fanduel,-3000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,5wjGIw0vqFVmwRPn8RoJ,1,2026-09-05T16:00:00.000Z,East Carolina,Alabama,-27.5,-114,fanduel,54.5,-110,-110,fanduel,2000.0,fanduel,-7000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,74v9yKrwzXldQu0ziXCq,1,2026-09-05T16:00:00.000Z,Ohio,Nebraska,-23.5,-120,fanduel,48.5,-115,-105,fanduel,1400.0,fanduel,-4000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,9UbfMF0IzZX7B0dhDdu3,1,2026-09-05T16:00:00.000Z,Oregon State,Houston,-19.5,-110,fanduel,50.5,-115,-105,fanduel,860.0,fanduel,-1600.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,D4RTUQjYXxqj2IPwAAY2,1,2026-09-05T16:00:00.000Z,Duquesne,Air Force,-27.5,-118,fanduel,56.5,-115,-105,fanduel,2000.0,fanduel,-7000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,HdatPSq7j0x8G0U0R2Ud,1,2026-09-05T16:00:00.000Z,Coastal Carolina,West Virginia,-20.5,-115,fanduel,58.5,-105,-115,fanduel,920.0,fanduel,-1800.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,QzGmzxPGyovJ48j1BUHc,1,2026-09-05T16:00:00.000Z,North Texas,Indiana,-40.5,-110,fanduel,54.5,-112,-108,fanduel,,,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,T1iAvSJ2Kf95H9lunvdb,1,2026-09-05T16:00:00.000Z,Liberty,James Madison,-6.5,-105,fanduel,52.5,-105,-115,fanduel,188.0,fanduel,-230.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,eCuBudSWyYuMxRRPiTPz,1,2026-09-05T16:00:00.000Z,Bryant,Army,-38.5,-115,fanduel,51.5,-110,-110,fanduel,8000.0,fanduel,,
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,hc8OWcoYDJuOEBl3XfFJ,1,2026-09-05T16:00:00.000Z,New Hampshire,Syracuse,-32.5,-115,fanduel,57.5,-110,-110,fanduel,3500.0,fanduel,-20000.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,ndZjaKF9HZGCGNyZ1w45,1,2026-09-05T16:00:00.000Z,Miami (OH),Pittsburgh,-16.5,-115,fanduel,50.5,-110,-110,fanduel,610.0,fanduel,-950.0,fanduel
SportsGameOdds,2026-07-30T03:54:06.013646+00:00,GG3fOKVE2R9vCGktXb9Z,1,2026-09-05T16:30:00.000Z,Ball State,Ohio State,-50.5,-108,draftkings,56.5,-110,-110,fanduel,8000.0,fanduel,,
