season,team,conference,conference_tier,conference_group,conference_changed,previous_conference,conference_tenure_years
2024,Western Michigan,MAC,G6,G6,False,MAC,4
2025,Western Michigan,MAC,G6,G6,False,MAC,5
2021,Wisconsin,Big Ten,P4,P4,False,,1
2022,Wisconsin,Big Ten,P4,P4,False,Big Ten,2
2023,Wisconsin,Big Ten,P4,P4,False,Big Ten,3
2024,Wisconsin,Big Ten,P4,P4,False,Big Ten,4
2025,Wisconsin,Big Ten,P4,P4,False,Big Ten,5
2021,Wyoming,Mountain West,G6,G6,False,,1
2022,Wyoming,Mountain West,G6,G6,False,Mountain West,2
2023,Wyoming,Mountain West,G6,G6,False,Mountain West,3
2024,Wyoming,Mountain West,G6,G6,False,Mountain West,4
2025,Wyoming,Mountain West,G6,G6,False,Mountain West,5
