venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
cajun field,Cajun Field,Louisiana,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
california memorial stadium,California Memorial Stadium,California,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
camp randall stadium,Camp Randall Stadium,Wisconsin,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
canvas stadium,Canvas Stadium,Colorado State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
carter-finley stadium,Carter-Finley Stadium,NC State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
cefcu stadium,CEFCU Stadium,San Jose State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
centennial bank stadium,Centennial Bank Stadium,Arkansas State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
center parc stadium,Center Parc Stadium,Georgia State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
chapman stadium,Chapman Stadium,Tulsa,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
clarence t.c. ching athletics complex,Clarence T.C. Ching Athletics Complex,Hawaii,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
coastal carolina,Coastal Carolina,Coastal Carolina,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
colorado state,Colorado State,Colorado State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
cotton bowl,Cotton Bowl,Oklahoma,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
cusa no. 1,CUSA No. 1,CUSA No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
datcu stadium,DATCU Stadium,North Texas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
davis wade stadium,Davis Wade Stadium,Mississippi State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
delaware,Delaware,Delaware,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
delaware stadium,Delaware Stadium,Delaware,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
dix stadium,Dix Stadium,Kent State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
dkr-texas memorial stadium,DKR-Texas Memorial Stadium,Texas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
doak campbell stadium,Doak Campbell Stadium,Florida State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
