venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
cotton bowl,Cotton Bowl,Oklahoma,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
cusa no. 1,CUSA No. 1,CUSA No. 1,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
datcu stadium,DATCU Stadium,North Texas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
davis wade stadium,Davis Wade Stadium,Mississippi State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
delaware,Delaware,Delaware,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
delaware stadium,Delaware Stadium,Delaware,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
dix stadium,Dix Stadium,Kent State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
dkr-texas memorial stadium,DKR-Texas Memorial Stadium,Texas,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
doak campbell stadium,Doak Campbell Stadium,Florida State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
dowdy-ficklen stadium,Dowdy-Ficklen Stadium,East Carolina,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
doyt l. perry stadium,Doyt L. Perry Stadium,Bowling Green,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
elliott t. bowers stadium,Elliott T. Bowers Stadium,Sam Houston,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
falcon stadium,Falcon Stadium,Air Force,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fargodome,Fargodome,North Dakota State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fau stadium,FAU Stadium,Florida Atlantic,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fbc mortgage stadium,FBC Mortgage Stadium,Central Florida,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fifth third stadium,Fifth Third Stadium,Kennesaw State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
firstbank stadium,FirstBank Stadium,Vanderbilt,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
florida international,Florida International,Florida International,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
folsom field,Folsom Field,Colorado,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
ford field,Ford Field,Eastern Michigan,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
fresno state,Fresno State,Fresno State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
georgia southern,Georgia Southern,Georgia Southern,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
georgia state,Georgia State,Georgia State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
gerald j. ford stadium,Gerald J. Ford Stadium,SMU,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
gesa field,Gesa Field,Washington State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
gillette stadium,Gillette Stadium,Navy,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
glass bowl,Glass Bowl,Toledo,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
hancock whitney stadium,Hancock Whitney Stadium,South Alabama,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
hard rock stadium,Hard Rock Stadium,Miami-FL,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
hornet stadium,Hornet Stadium,Sacramento State,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
huntington bank stadium,Huntington Bank Stadium,Minnesota,,,,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable
