game_id,week,date,away_team,home_team,signal_key,signal_label,market,side_team,direction,tier,status,reason,book,opening_line,opening_timestamp,consensus_open,current_line,current_timestamp,deviation_from_consensus,observed_move_toward_consensus,historical_mean_move,historical_holdout_n
,,2026-09-05,Western Michigan,Michigan,cross_book_spread_outlier,Stale opener: spread,Spread,Western Michigan,Expect fanduel line toward consensus -26.5,confirmed_movement,active_price_available,"fanduel opened -25.5, 1.0 points from the 9-book opening median -26.5.",fanduel,-25.5,2026-07-12T01:26:51.839465+00:00,-26.5,-25.5,2026-07-12T01:26:51.839465+00:00,1.0,-0.0,1.91,436
,,2026-09-06,Louisville Cardinals,Ole Miss Rebels,cross_book_total_outlier,Stale opener: total,Game Total,Over,Expect Bally Bet line toward consensus 55,confirmed_movement,active_price_available,"Bally Bet opened 53.5, 1.5 points from the 7-book opening median 55.",Bally Bet,53.5,2026-07-17T05:24:54+00:00,55.0,53.5,2026-05-23T14:04:26.768788+00:00,-1.5,0.0,1.5,73
,,2026-09-06,UNLV,Hawai'i,cross_book_spread_outlier,Stale opener: spread,Spread,UNLV,Expect FanDuel line toward consensus 1.5,confirmed_movement,active_price_available,"FanDuel opened 2.5, 1.0 points from the 9-book opening median 1.5.",FanDuel,2.5,2026-07-17T05:24:54+00:00,1.5,2.5,2026-07-17T17:09:26.001534+00:00,1.0,-0.0,1.91,436
,,2026-09-06,Wisconsin Badgers,Notre Dame Fighting Irish,cross_book_spread_outlier,Stale opener: spread,Spread,Wisconsin Badgers,Expect FanDuel line toward consensus -20.5,confirmed_movement,active_price_available,"FanDuel opened -19.5, 1.0 points from the 11-book opening median -20.5.",FanDuel,-19.5,2026-07-17T05:24:54+00:00,-20.5,-19.5,2026-05-23T14:04:26.768788+00:00,1.0,-0.0,1.91,436
,,2026-09-12,Iowa State Cyclones,Iowa Hawkeyes,cross_book_spread_outlier,Stale opener: spread,Spread,Iowa State Cyclones,Expect FanDuel line toward consensus -14.5,confirmed_movement,active_price_available,"FanDuel opened -12.5, 2.0 points from the 3-book opening median -14.5.",FanDuel,-12.5,2026-07-17T05:24:54+00:00,-14.5,-12.5,2026-05-23T14:04:26.768788+00:00,2.0,-0.0,1.91,436
,,2026-09-12,Iowa State,Iowa,cross_book_spread_outlier,Stale opener: spread,Spread,Iowa State,Expect draftkings line toward consensus -12.5,confirmed_movement,active_price_available,"draftkings opened -11.5, 1.0 points from the 3-book opening median -12.5.",draftkings,-11.5,2026-07-12T01:26:51.839465+00:00,-12.5,-11.5,2026-07-12T01:26:51.839465+00:00,1.0,-0.0,1.91,436
,,2026-09-12,Missouri Tigers,Kansas Jayhawks,cross_book_spread_outlier,Stale opener: spread,Spread,Missouri Tigers,Expect FanDuel line toward consensus 3.5,confirmed_movement,active_price_available,"FanDuel opened 5.5, 2.0 points from the 3-book opening median 3.5.",FanDuel,5.5,2026-07-17T05:24:54+00:00,3.5,5.5,2026-05-23T14:04:26.768788+00:00,2.0,-0.0,1.91,436
,,2026-09-12,Ohio State,Texas,cross_book_spread_outlier,Stale opener: spread,Spread,Ohio State,Expect draftkings line toward consensus -1.5,confirmed_movement,active_price_available,"draftkings opened 0, 1.5 points from the 10-book opening median -1.5.",draftkings,0.0,2026-07-12T01:26:51.839465+00:00,-1.5,0.0,2026-07-12T01:26:51.839465+00:00,1.5,-0.0,1.91,436
,,2026-09-12,Oregon,Oklahoma State,cross_book_spread_outlier,Stale opener: spread,Spread,Oklahoma State,Expect FanDuel line toward consensus 18.5,confirmed_movement,active_price_available,"FanDuel opened 17.5, 1.0 points from the 4-book opening median 18.5.",FanDuel,17.5,2026-07-17T05:24:54+00:00,18.5,17.5,2026-07-17T17:09:26.001534+00:00,-1.0,0.0,1.91,436
,,2026-09-13,Arkansas,Utah,cross_book_spread_outlier,Stale opener: spread,Spread,Utah,Expect DraftKings line toward consensus -8.75,confirmed_movement,active_price_available,"DraftKings opened -10, 1.2 points from the 4-book opening median -8.75.",DraftKings,-10.0,2026-07-17T05:24:54+00:00,-8.75,-10.0,2026-07-17T17:09:26.001534+00:00,-1.25,0.0,1.91,436
,,2026-09-19,LSU,Ole Miss,cross_book_spread_outlier,Stale opener: spread,Spread,LSU,Expect DraftKings line toward consensus -2.5,confirmed_movement,active_price_available,"DraftKings opened -1.5, 1.0 points from the 5-book opening median -2.5.",DraftKings,-1.5,2026-07-17T05:24:54+00:00,-2.5,-1.5,2026-07-16T12:00:48.686809+00:00,1.0,-0.0,1.91,436
