rank_score,bucket,action,label,market,edge,confidence,summary,link_hash,rank
37.87421428571429,Futures,Watch / compare price,Boise State — Conference Title,Conference Title,+28.3 pts,Medium,Model 64% vs market 35.7% (180.0 FanDuel).,#simulations,1
34.2835,Futures,Watch / compare price,Texas Tech — Conference Title,Conference Title,+23.3 pts,Medium,Model 73.3% vs market 50% (100.0 BetMGM).,#simulations,2
28.18834745762712,Futures,Watch / compare price,Navy — Conference Title,Conference Title,+22.3 pts,Medium,Model 39.2% vs market 16.9% (490.0 FanDuel).,#simulations,3
26.997691489361692,Futures,Watch / compare price,Miami-FL — Conference Title,Conference Title,+16.0 pts,Medium,Model 73.4% vs market 57.4% (-135.0 BetMGM).,#simulations,4
26.12347619047619,Futures,Watch / compare price,James Madison — Conference Title,Conference Title,+19.6 pts,Medium,Model 43.4% vs market 23.8% (320.0 FanDuel).,#simulations,5
25.906000000000002,Win Totals,Check best price,Georgia State — Under 4.5,Win Total,-2.6 wins,Medium,Projected 1.91 wins vs market 4.5.,#futures,6
24.849472972972972,Futures,Watch / compare price,UNLV — Conference Title,Conference Title,+18.1 pts,Medium,Model 45.1% vs market 27% (270.0 Caesars).,#simulations,7
22.20490425531915,Futures,Watch / compare price,Georgia — Conference Title,Conference Title,+16.5 pts,Medium,Model 37.8% vs market 21.3% (370.0 FanDuel).,#simulations,8
