stage_id,stage_order,registered_primary_path,fallback_path,runtime_primary_exists,runtime_fallback_exists,runtime_source_path,file_size_bytes,modified_at_utc,sha256,interpreter_type,referenced_elsewhere_in_repo,repository_reference_count,equivalent_tracked_paths,canonical_path_after_reconciliation,appearance,classification,confidence,evidence,embedded_credential_value_findings,absolute_local_path_findings,safe_to_add_to_git,recommended_action,proposed_manifest_addition
futures_market_acquisition,10,pull_actionnetwork_win_totals_api.py,,True,False,pull_actionnetwork_win_totals_api.py,13895,2026-04-28T04:22:19+00:00,a91d4292f99c5cc69f4514dbf5dde11c4eafedabef4b10e05e7a2099346df71d,python,True,9,,pull_actionnetwork_win_totals_api.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at pull_actionnetwork_win_totals_api.py; deploy only after separate review.,pull_actionnetwork_win_totals_api.py
futures_market_acquisition,10,scripts/odds/pull_actionnetwork_visible_dk_win_totals.py,pull_actionnetwork_visible_dk_win_totals.py,True,False,scripts/odds/pull_actionnetwork_visible_dk_win_totals.py,10847,2026-06-20T03:01:03+00:00,3c17ac7014a32ab5c9380efa6f81405dd745f467edbebcf6a0d7069af16276ea,python,True,2,odds/pull_actionnetwork_visible_dk_win_totals.py,odds/pull_actionnetwork_visible_dk_win_totals.py,duplicate,DUPLICATE_TRACKED_ELSEWHERE,HIGH,Runtime SHA-256 exactly matches tracked odds/pull_actionnetwork_visible_dk_win_totals.py; references now use the tracked canonical path.,,,True,Use tracked canonical path odds/pull_actionnetwork_visible_dk_win_totals.py; retain runtime fallback temporarily.,
futures_market_acquisition,10,scripts/odds/merge_visible_dk_win_totals.py,merge_visible_dk_win_totals.py,True,False,scripts/odds/merge_visible_dk_win_totals.py,1954,2026-06-20T02:57:24+00:00,6cd4ec16039b876f72eed137017ead64ee3cf210fe1d20752de0f802f8fcb18b,python,True,2,odds/merge_visible_dk_win_totals.py,odds/merge_visible_dk_win_totals.py,duplicate,DUPLICATE_TRACKED_ELSEWHERE,HIGH,Runtime SHA-256 exactly matches tracked odds/merge_visible_dk_win_totals.py; references now use the tracked canonical path.,,,True,Use tracked canonical path odds/merge_visible_dk_win_totals.py; retain runtime fallback temporarily.,
futures_market_acquisition,10,pull_fanduel_win_totals.py,,True,False,pull_fanduel_win_totals.py,13296,2026-06-10T17:49:25.351764+00:00,3a3ee826ace80c9f6ec436e0fde3120f0fc2b1f939ad95f50d0a7ed573c044c6,python,True,7,,pull_fanduel_win_totals.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at pull_fanduel_win_totals.py; deploy only after separate review.,pull_fanduel_win_totals.py
futures_market_acquisition,10,pull_bettingpros_caesars_win_totals.py,,True,False,pull_bettingpros_caesars_win_totals.py,7794,2026-07-29T16:36:17.824577+00:00,648b125cd94acc3ba8a176fbd52faca5b3c1873ac0c633b3b111234509b9cacb,python,True,4,,pull_bettingpros_caesars_win_totals.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at pull_bettingpros_caesars_win_totals.py; deploy only after separate review.,pull_bettingpros_caesars_win_totals.py
futures_market_acquisition,10,pull_actionnetwork_conference_futures_api.py,,True,False,pull_actionnetwork_conference_futures_api.py,16214,2026-05-12T02:15:33.428848+00:00,f626c14027da2c132d8662de04f12e0ae6d07acb9e99cc59be6a91ac093f040d,python,True,15,pulls/pull_actionnetwork_conference_futures_api.py,pulls/pull_actionnetwork_conference_futures_api.py,duplicate,DUPLICATE_TRACKED_ELSEWHERE,HIGH,Runtime SHA-256 exactly matches tracked pulls/pull_actionnetwork_conference_futures_api.py; references now use the tracked canonical path.,,,True,Use tracked canonical path pulls/pull_actionnetwork_conference_futures_api.py; retain runtime fallback temporarily.,
futures_market_acquisition,10,scripts/odds/quarantine_bad_draftkings_win_total_rows.py,quarantine_bad_draftkings_win_total_rows.py,True,False,scripts/odds/quarantine_bad_draftkings_win_total_rows.py,2207,2026-06-20T02:11:39+00:00,f2b99980a3a7279e135071403d863a9c12293ab8024a606338139a85e3e6b800,python,True,2,odds/quarantine_bad_draftkings_win_total_rows.py,odds/quarantine_bad_draftkings_win_total_rows.py,duplicate,DUPLICATE_TRACKED_ELSEWHERE,HIGH,Runtime SHA-256 exactly matches tracked odds/quarantine_bad_draftkings_win_total_rows.py; references now use the tracked canonical path.,,,True,Use tracked canonical path odds/quarantine_bad_draftkings_win_total_rows.py; retain runtime fallback temporarily.,
futures_market_acquisition,10,append_market_history.py,,True,False,append_market_history.py,9490,2026-04-28T04:51:55+00:00,04d502df74acdf6d5a87de2f9ac4fda8e613839c5bbcf551eb552d0d9a498ba2,python,True,7,,append_market_history.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at append_market_history.py; deploy only after separate review.,append_market_history.py
futures_market_acquisition,10,build_daily_market_movement_report.py,,True,False,build_daily_market_movement_report.py,11416,2026-05-12T13:04:29.306972+00:00,7f06244d952132ce490d11cae9386e1dbb6ae2f8a9c53ba6eb2cce09e036f24e,python,True,2,,build_daily_market_movement_report.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at build_daily_market_movement_report.py; deploy only after separate review.,build_daily_market_movement_report.py
futures_market_acquisition,10,build_market_arbitrage_report.py,,True,False,build_market_arbitrage_report.py,7056,2026-05-13T15:06:34.767184+00:00,76298f3e2d2499ab3248050a471b1a02bc3b749ef0a7eeb88130a59fd51754b2,python,True,2,,build_market_arbitrage_report.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at build_market_arbitrage_report.py; deploy only after separate review.,build_market_arbitrage_report.py
game_market_acquisition,20,pull_cfbd_lines_2026.py,,True,False,pull_cfbd_lines_2026.py,4652,2026-05-23T02:31:10.895031+00:00,3f8ef1b329bd2881d2839d03f3e0bc40d4fc070f3af3fb6e798d07666423baf1,python,True,3,,pull_cfbd_lines_2026.py,active,ACTIVE_ADD_TO_REPO,HIGH,"Active registered runtime primary had no byte-identical tracked source, passed static parsing, and had no embedded credential value.",,,True,Track exact runtime source at pull_cfbd_lines_2026.py; deploy only after separate review.,pull_cfbd_lines_2026.py
game_market_acquisition,20,scripts/odds/pull_actionnetwork_ncaaf_game_lines_2026.py,pull_actionnetwork_ncaaf_game_lines_2026.py,True,False,scripts/odds/pull_actionnetwork_ncaaf_game_lines_2026.py,4248,2026-05-24T17:53:46+00:00,5668e37fa004b2cda0903e5740e5fb581dabf52f7b9169104f5a366f6f5ae766,python,True,2,odds/pull_actionnetwork_ncaaf_game_lines_2026.py,odds/pull_actionnetwork_ncaaf_game_lines_2026.py,duplicate,DUPLICATE_TRACKED_ELSEWHERE,HIGH,Runtime SHA-256 exactly matches tracked odds/pull_actionnetwork_ncaaf_game_lines_2026.py; references now use the tracked canonical path.,,,True,Use tracked canonical path odds/pull_actionnetwork_ncaaf_game_lines_2026.py; retain runtime fallback temporarily.,
