event_id,start_time_utc,away_team,home_team,odd_id,market_name,stat_id,stat_entity_id,period_id,bet_type_id,side_id,book_odds,book_spread,book_over_under,books_count,books
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-away-game-ml-away,Moneyline,points,away,game,ml,away,+200,,,6,"bovada,caesars,draftkings,fanduel,pointsbet,unibet"
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-home-game-ml-home,Moneyline,points,home,game,ml,home,-261,,,6,"bovada,caesars,draftkings,fanduel,pointsbet,unibet"
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-away-game-sp-away,Spread,points,away,game,sp,away,-110,+6.5,,6,"betmgm,bovada,caesars,draftkings,fanduel,unibet"
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-home-game-sp-home,Spread,points,home,game,sp,home,-111,-6.5,,6,"betmgm,bovada,caesars,draftkings,fanduel,unibet"
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-all-game-ou-over,Over/Under,points,all,game,ou,over,-110,,49.5,5,"betmgm,bovada,caesars,draftkings,fanduel"
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-all-game-ou-under,Over/Under,points,all,game,ou,under,-110,,49.5,5,"betmgm,bovada,caesars,draftkings,fanduel"
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-all-1h-ou-over,1st Half Over/Under,points,all,1h,ou,over,-118,,87.5,0,
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-all-1h-ou-under,1st Half Over/Under,points,all,1h,ou,under,-110,,87.5,0,
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-all-game-yn-no,Any Points Yes/No,points,all,game,yn,no,-285,,,0,
q2Sm8u4f8eKOgLKeY1m9,2026-08-29T16:00:00.000Z,North Carolina,TCU,points-all-game-yn-yes,Any Points Yes/No,points,all,game,yn,yes,-270,,,0,
