metric,value
games,902
has_projection_spread,769
has_market_spread,0
has_ats_edge,0
missing_ats_edge_but_has_projection,769
has_projection_total,769
has_market_total,0
has_total_edge,0
missing_total_edge_but_has_projection,769
possible_pk_bug,0
