kept,audit_reason,category,title,reason,source
False,price_only,Game line move,Baylor at Auburn — Caesars Total Over Price -117 → -107,Moved +10 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Baylor at Auburn — Caesars Total Under Price -105 → -113,Moved -8 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Boise State at Oregon — Caesars Total Under Price -115 → -108,Moved +7 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Boise State at Oregon — Caesars Total Over Price -106 → -112,Moved -6 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Louisville at Ole Miss — Caesars Total Over Price -110 → -114,Moved -4 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Oregon State Beavers at Houston — Bally Bet Total Over Price -113 → -109,Moved +4 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Oregon State Beavers at Houston — Bally Bet Total Under Price -108 → -112,Moved -4 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas Razorbacks at Utah Utes — DraftKings Total Over Price -115 → -112,Moved +3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas Razorbacks at Utah Utes — DraftKings Total Under Price -105 → -108,Moved -3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas State Red Wolves at Memphis — Bally Bet Total Over Price -110 → -113,Moved -3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas at Utah — DraftKings Total Over Price -115 → -112,Moved +3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas at Utah — DraftKings Total Under Price -105 → -108,Moved -3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Clemson at LSU — Bally Bet Total Over Price -113 → -110,Moved +3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Louisville at Ole Miss — Caesars Total Under Price -110 → -107,Moved +3 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Arkansas State Red Wolves at Memphis — Bally Bet Total Under Price -110 → -108,Moved +2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Clemson at LSU — Bally Bet Total Under Price -108 → -110,Moved -2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Kent State at South Carolin — Caesars Total Under Price +100 → +102,Moved +2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Notre Dame at BYU — DraftKings Total Over Price -110 → -112,Moved -2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Notre Dame at BYU — DraftKings Total Under Price -110 → -108,Moved +2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,VMI Keydets at Virginia Tech Hokies — FanDuel Total Over Price -112 → -110,Moved +2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,VMI Keydets at Virginia Tech Hokies — FanDuel Total Under Price -108 → -110,Moved -2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,VMI at Virginia Tech — FanDuel Total Over Price -112 → -110,Moved +2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,VMI at Virginia Tech — FanDuel Total Under Price -108 → -110,Moved -2 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Baylor at Auburn — Caesars Total +59.5 → +60.5,Moved +1 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Central Michigan at New Mexico — Caesars Total Under Price -109 → -110,Moved -1 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Clemson at LSU — FanDuel Spread -10.5 → -9.5,Moved +1 point(s) · price -105 → -120 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,Coastal Carolina at West Virgini — Caesars Total Over Price -112 → -113,Moved -1 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Eastern Kentucky Colonels at Jacksonville State Gamecocks — FanDuel Spread -19.5 → -20.5,Moved -1 point(s) · price -115 → -110 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Eastern Kentucky at Jacksonville State — FanDuel Spread -19.5 → -20.5,Moved -1 point(s) · price -115 → -110 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Idaho State Bengals at Utah State — FanDuel Spread -18.5 → -17.5,Moved +1 point(s) · price -110 → -110 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Idaho State at Utah State — FanDuel Spread -18.5 → -17.5,Moved +1 point(s) · price -110 → -110 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Louisiana-Monroe at Mississippi State — Caesars Spread -28.5 → -29.5,Moved -1 point(s) · price -110 → -105 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Murray State Racers at Middle Tennessee Blue Raiders — FanDuel Spread -25.5 → -24.5,Moved +1 point(s) · price -110 → -110 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Murray State at Middle Tennessee — FanDuel Spread -25.5 → -24.5,Moved +1 point(s) · price -110 → -110 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,New Mexico State at Florida State — Caesars Total Over Price -105 → -106,Moved -1 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,North Texas at Indian — Caesars Spread -39.5 → -40.5,Moved -1 point(s) · price -110 → -109 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
True,actual_line_move,Game line move,Oregon State at Houston — Caesars Spread -18.5 → -19.5,Moved -1 point(s) · price -110 → -108 · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
False,price_only,Game line move,UTEP at Oklahom — Caesars Total Under Price -108 → -109,Moved -1 point(s) · price → · moved between 2026-07-28 8:01 AM EDT and 2026-07-29 8:36 AM EDT,data/odds/game_line_movement_report.csv
