coach,team,category,consumer,canonical_wins,canonical_losses,canonical_pushes,canonical_sample,consumer_wins,consumer_losses,consumer_pushes,consumer_sample,displayed_sample,record_sum_matches_displayed_sample,sample_loss_pct,more_than_10_pct_below_canonical,status,canonical_source
Alex Golesh,Auburn,full_game_ats,Team,22,16,1,39,22,16,1,39,39,True,0.0,False,match,v1.html embedded canonical V1 coach arrays
Alex Golesh,Auburn,full_game_ats,Matchup,22,16,1,39,22,16,1,39,39,True,0.0,False,match,v1.html embedded canonical V1 coach arrays
Alex Golesh,Auburn,full_game_ats,Coach Trends,22,16,1,39,22,16,1,39,39,True,0.0,False,match,v1.html embedded canonical V1 coach arrays
Alex Golesh,Auburn,full_game_totals,Team,21,17,1,39,21,17,1,39,,True,0.0,False,match,v1.html embedded canonical V1 coach arrays
Alex Golesh,Auburn,full_game_totals,Matchup,21,17,1,39,21,17,1,39,,True,0.0,False,match,v1.html embedded canonical V1 coach arrays
Alex Golesh,Auburn,full_game_totals,Coach Trends,21,17,1,39,21,17,1,39,39,True,0.0,False,match,v1.html embedded canonical V1 coach arrays
Alex Golesh,Auburn,favorite_ats,Team,11,8,0,19,11,8,0,19,19,True,0.0,False,match,data/coach/coach_fav_dog_splits_hybrid.csv
Alex Golesh,Auburn,favorite_ats,Matchup,11,8,0,19,11,8,0,19,19,True,0.0,False,match,data/coach/coach_fav_dog_splits_hybrid.csv
Alex Golesh,Auburn,favorite_ats,Coach Trends,11,8,0,19,11,8,0,19,19,True,0.0,False,match,data/coach/coach_fav_dog_splits_hybrid.csv
Alex Golesh,Auburn,favorite_totals,Team,12,6,0,18,12,6,0,18,,True,0.0,False,match,data/coach/coach_fav_dog_splits_hybrid.csv
Alex Golesh,Auburn,favorite_totals,Matchup,12,6,0,18,12,6,0,18,,True,0.0,False,match,data/coach/coach_fav_dog_splits_hybrid.csv
Alex Golesh,Auburn,favorite_totals,Coach Trends,12,6,0,18,12,6,0,18,,True,0.0,False,match,data/coach/coach_fav_dog_splits_hybrid.csv
