team,conference,rank,combo,avg_total_wins,avg_conference_wins,make_title_game_pct,conference_title_pct,lose_title_game_pct,bowl_eligibility_pct
Buffalo,MAC,115,-13.0667,5.2394,4.7235,0.1637,0.0596,0.1041,0.4242
Appalachian State,Sun Belt,110,-10.9333,5.1209,3.9144,0.0364,0.012,0.0244,0.3793
Nevada,MW,118,-14.0667,4.3392,3.0959,0.0334,0.0065,0.0269,0.1955
Central Michigan,MAC,114,-12.6,5.0925,4.4457,0.122,0.0462,0.0758,0.3918
Delaware,CUSA,107,-10.7,4.5557,3.9147,0.0662,0.0277,0.0385,0.2458
Bowling Green,MAC,120,-14.9,4.8912,4.4609,0.0923,0.0305,0.0618,0.3131
South Alabama,Sun Belt,112,-11.5333,4.634,3.7603,0.0351,0.0104,0.0247,0.2693
Ohio,MAC,108,-10.8333,5.5571,4.6793,0.146,0.0607,0.0853,0.5191
Florida International,CUSA,117,-13.7667,5.0455,4.215,0.0491,0.015,0.0341,0.3641
Coastal Carolina,Sun Belt,116,-13.2333,3.9921,3.179,0.0157,0.0047,0.011,0.1545
Rice,American,119,-14.4333,2.7144,2.1962,0.0027,0.0004,0.0023,0.0271
Eastern Michigan,MAC,122,-15.0667,5.1295,4.378,0.0845,0.0259,0.0586,0.3941
San Jose State,MW,120,-14.9,3.4445,2.5686,0.0105,0.0013,0.0092,0.0729
New Mexico State,CUSA,125,-16.8333,3.7969,3.5764,0.0351,0.0087,0.0264,0.1092
UAB,American,126,-17.2667,3.0335,2.0369,0.001,0.0002,0.0008,0.0255
Northern Illinois,MW,128,-17.7667,2.6124,1.9522,0.0034,0.0003,0.0031,0.0124
Missouri State,CUSA,124,-15.9667,2.5212,2.3331,0.0031,0.0004,0.0027,0.008
Akron,MAC,129,-18.1,2.9365,2.8169,0.0075,0.0019,0.0056,0.0249
Kent State,MAC,132,-20.0333,3.0836,2.9944,0.0105,0.002,0.0085,0.0352
UTEP,MW,130,-19.3667,2.0153,1.8029,0.0016,0.0001,0.0015,0.003
Sacramento State,MAC,127,-17.4333,3.2508,3.0457,0.0106,0.0029,0.0077,0.0516
Southern Miss,Sun Belt,123,-15.3667,1.8291,1.5194,0.0003,0.0001,0.0002,0.0027
UL-Monroe,Sun Belt,134,-21.1333,1.8238,1.4397,0.0,0.0,0.0,0.0031
Georgia State,Sun Belt,131,-19.9,1.4174,0.9894,0.0,0.0,0.0,0.0007
Ball State,MAC,135,-21.8333,2.3442,2.3138,0.0019,0.0004,0.0015,0.0069
Middle Tennessee,CUSA,133,-21.0,1.3954,1.1962,0.0,0.0,0.0,0.0004
Sam Houston,CUSA,136,-22.9333,1.4027,1.3094,0.0001,0.0,0.0001,0.0002
Massachusetts,MAC,138,-26.0667,1.2923,1.2244,0.0,0.0,0.0,0.0
Charlotte,American,137,-23.4333,0.4092,0.2914,0.0,0.0,0.0,0.0
