metric,value
raw_rows,3376
duplicate_source_rows,3312
canonical_team_side_rows,423
perspective_duplicate_rows,108
unique_combined_component_games,369
overlapping_rule_observations,1548
classified_rule_observations,1400
minimum_focus_sample,15
