away_classification,away_moneyline_change,away_team,canonical_cfbd_game_id,canonical_game_id,date,home_classification,home_moneyline_change,home_spread_change,home_team,moneyline_available,moneyline_comparison_book,moneyline_comparison_status,moneyline_source_timestamp,moneyline_stale,neutral_site,previous_away_moneyline,previous_home_moneyline,previous_home_spread,previous_total,season,spread_available,spread_comparison_book,spread_comparison_status,spread_source_timestamp,spread_stale,staged_away_moneyline,staged_away_moneyline_price,staged_away_spread,staged_away_spread_price,staged_home_moneyline,staged_home_moneyline_price,staged_home_spread,staged_home_spread_price,staged_over_price,staged_total,staged_under_price,total_available,total_change,total_comparison_book,total_comparison_status,total_source_timestamp,total_stale,week
FCS,,Indiana State,401858435,g74,2026-09-05,FBS,,,Purdue,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,LIU,401856769,g21,2026-09-04,FBS,,,Kansas,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,UTEP,401856664,g69,2026-09-05,FBS,,0.0,Oklahoma,,draftkings,same_book_pair_unavailable,,,False,,,-40.5,,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,,,40.5,-112,,,-40.5,-108,,,,,,bovada,same_book_pair_unavailable,,,1
FBS,,Toledo,401858429,g58,2026-09-05,FBS,,-1.0,Michigan State,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-10.5,49.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,310,310,11.5,-115,-395,-395,-11.5,-105,-110,49.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Miami-FL,401858206,g22,2026-09-04,FBS,,2.0,Stanford,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,21.5,49.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,-2800,-2800,-23.5,-112,1300,1300,23.5,-108,-115,49.5,-105,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Fresno State,401858436,g90,2026-09-05,FBS,,0.0,USC,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-23.5,51.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1200,1200,23.5,-110,-2400,-2400,-23.5,-110,-110,51.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,East Carolina,401856634,g24,2026-09-05,FBS,,-2.0,Alabama,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-25.5,54.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,2000,2000,27.5,-105,-6500,-6500,-27.5,-115,-110,54.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Ohio,401858430,g62,2026-09-05,FBS,,,Nebraska,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,,47.5,2026,,draftkings,same_book_pair_unavailable,,,1600,1600,,,-4000,-4000,,,-115,47.5,-105,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Oregon State,401856778,g43,2026-09-05,FBS,,-1.0,Houston,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-18.5,50.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,750,750,19.5,-108,-1200,-1200,-19.5,-112,-110,50.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Duquesne,401864496,g23,2026-09-05,FBS,,,Air Force,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Coastal Carolina,401856780,g96,2026-09-05,FBS,,-3.0,West Virginia,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-17.5,57.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,950,950,20.5,-110,-1650,-1650,-20.5,-110,-120,57.5,100,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,North Texas,401858425,g45,2026-09-05,FBS,,0.0,Indiana,,draftkings,same_book_pair_unavailable,,,False,,,-40.5,,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,,,40.5,-108,,,-40.5,-112,,,,,,bovada,same_book_pair_unavailable,,,1
FBS,,Liberty,,g48,2026-09-05,FBS,,,James Madison,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Bryant,401862701,g29,2026-09-05,FBS,,,Army,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,New Hampshire,401858208,g82,2026-09-05,FBS,,,Syracuse,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Miami-OH,401858207,g73,2026-09-05,FBS,,0.0,Pittsburgh,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-16.5,50.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,550,550,16.5,-115,-800,-800,-16.5,-105,-110,50.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,,Ball State,401858432,g68,2026-09-05,FBS,,-1.0,Ohio State,,draftkings,same_book_pair_unavailable,,,False,,,-49.5,56.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,,,50.5,-112,,,-50.5,-108,-115,56.5,-105,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
