game_id,date,week,away_team,home_team,projected_margin_home,projected_total,win_prob_home,market_spread_home,market_total
g81,2026-09-05,1,Alcorn State,Southern Miss,,,,,
g82,2026-09-05,1,New Hampshire,Syracuse,,,,,
g83,2026-09-05,1,Rhode Island,Temple,,,,,
g84,2026-09-05,1,Furman,Tennessee,,,,,
g85,2026-09-05,1,Texas State,Texas,33.4,60.8,0.994167509045,-31.5,60.5
g86,2026-09-05,1,Missouri State,Texas A&M,39.4667,52.8,0.997698293236,-39.5,52.5
g87,2026-09-05,1,Abilene Christian,Texas Tech,,,,,
g88,2026-09-05,1,Sam Houston,Troy,17.6,53.8,0.937479026399,-17.5,52.5
g89,2026-09-05,1,Oklahoma State,Tulsa,-13.9667,54.3,0.104450607054,13.5,60.5
g90,2026-09-05,1,Fresno State,USC,21.5666,50.9,0.965039104624,-23.5,50.5
g91,2026-09-05,1,UTRGV,UTSA,,,,,
g92,2026-09-05,1,Idaho State,Utah State,,,,,
g93,2026-09-05,1,Austin Peay,Vanderbilt,,,,,
g94,2026-09-05,1,VMI,Virginia Tech,,,,,
g95,2026-09-05,1,Washington State,Washington,19.3667,47.5,0.951639011518,-21.5,50.5
g96,2026-09-05,1,Coastal Carolina,West Virginia,18.4666,53.7,0.944852394105,-18.5,58.5
g97,2026-09-06,1,Wisconsin,Notre Dame,21.9333,47.0,0.966893344074,-20.5,47.5
g98,2026-09-06,1,Louisville,Ole Miss,6.6667,52.5,0.736070941711,-6.5,55.5
g99,2026-09-07,1,SMU,Florida State,-1.7666,51.5,0.432469027128,2.5,54.5
g100,2026-09-10,2,Florida A&M,Miami-FL,,,,,
g101,2026-09-11,2,Rutgers,Boston College,-2.3667,55.9,0.409965574417,,
g102,2026-09-11,2,Missouri,Kansas,-7.7666,52.0,0.232390581252,6.5,51.5
g103,2026-09-11,2,Villanova,Louisville,,,,,
g104,2026-09-12,2,North Dakota State,Air Force,1.8334,51.6,0.570051564928,,
g105,2026-09-12,2,Robert Morris,Akron,,,,,
g106,2026-09-12,2,West Georgia,Arkansas State,,,,,
g107,2026-09-12,2,South Florida,Army,0.5666,54.9,0.521778519144,,
g108,2026-09-12,2,Southern Miss,Auburn,30.1667,50.8,0.990444441719,,
g109,2026-09-12,2,Arizona,BYU,7.8,51.8,0.768524783499,,
g110,2026-09-12,2,Stony Brook,Ball State,,,,,
g111,2026-09-12,2,Prairie View A&M,Baylor,,,,,
g112,2026-09-12,2,Memphis,Boise State,10.1333,55.5,0.826205394548,,
g113,2026-09-12,2,Colgate,Central Michigan,,,,,
g114,2026-09-12,2,Western Carolina,Cincinnati,,,,,
g115,2026-09-12,2,Georgia Southern,Clemson,24.8667,50.9,0.978660942098,,
g116,2026-09-12,2,Fordham,Coastal Carolina,,,,,
g117,2026-09-12,2,Weber State,Colorado,,,,,
g118,2026-09-12,2,Southern Utah,Colorado State,,,,,
g119,2026-09-12,2,Maryland,Connecticut,-11.7667,50.6,0.140606519417,,
g120,2026-09-12,2,Appalachian State,East Carolina,10.7333,52.5,0.839063555551,,
g121,2026-09-12,2,Campbell,Florida,,,,,
g122,2026-09-12,2,Navy,Florida Atlantic,-7.6666,58.4,0.235146259893,,
g123,2026-09-12,2,Buffalo,Florida International,1.1,50.2,0.542207009622,,
g124,2026-09-12,2,Sacramento State,Fresno State,19.2,48.2,0.950444953924,,
g125,2026-09-12,2,Western Kentucky,Georgia,34.2333,53.9,0.994865686209,,
g126,2026-09-12,2,Tennessee,Georgia Tech,-9.2334,57.0,0.194579594729,,
g127,2026-09-12,2,New Mexico State,Hawaii,14.7333,52.8,0.906078067568,,
g128,2026-09-12,2,Southern,Houston,,,,,
g129,2026-09-12,2,Duke,Illinois,6.0667,57.2,0.717752095851,,
g130,2026-09-12,2,Howard,Indiana,,,,,
g131,2026-09-12,2,Iowa State,Iowa,15.0667,46.5,0.910353093509,-12.5,41.5
g132,2026-09-12,2,Wagner,James Madison,,,,,
g133,2026-09-12,2,Washington State,Kansas State,16.0334,50.5,0.92177248012,,
g134,2026-09-12,2,Georgia State,Kennesaw State,11.5667,54.9,0.855634164874,,
g135,2026-09-12,2,Wofford,Kent State,,,,,
g136,2026-09-12,2,Alabama,Kentucky,-11.2334,45.0,0.150815993985,,
g137,2026-09-12,2,Louisiana Tech,LSU,33.5,49.0,0.994256041501,,
g138,2026-09-12,2,Gardner-Webb,Liberty,,,,,
g139,2026-09-12,2,Middle Tennessee,Marshall,14.3,58.7,0.90024951088,,
g140,2026-09-12,2,Sacred Heart,Massachusetts,,,,,
g141,2026-09-12,2,Holy Cross,Miami-OH,,,,,
g142,2026-09-12,2,Oklahoma,Michigan,1.1667,47.6,0.544752988981,-2.5,45.5
g143,2026-09-12,2,Eastern Michigan,Michigan State,17.2,51.6,0.933773538814,,
g144,2026-09-12,2,Mississippi State,Minnesota,2.2333,50.8,0.585061005234,,
g145,2026-09-12,2,Lindenwood,Missouri State,,,,,
g146,2026-09-12,2,Richmond,NC State,,,,,
g147,2026-09-12,2,Bowling Green,Nebraska,24.5667,46.9,0.977675483028,,
g148,2026-09-12,2,Montana State,Nevada,,,,,
g149,2026-09-12,2,Mercyhurst,New Mexico,,,,,
g150,2026-09-12,2,ETSU,North Carolina,,,,,
g151,2026-09-12,2,UNLV,North Texas,-7.3334,59.2,0.244490595704,,
g152,2026-09-12,2,Illinois State,Northern Illinois,,,,,
g153,2026-09-12,2,Rice,Notre Dame,44.5666,52.0,0.998948410177,,
g154,2026-09-12,2,Jacksonville State,Ohio,1.0334,48.1,0.539662645909,,
g155,2026-09-12,2,Oregon,Oklahoma State,-19.2,53.3,0.049555046076,17.5,59.5
g156,2026-09-12,2,Charlotte,Ole Miss,43.9,53.7,0.998834973982,,
g157,2026-09-12,2,Texas Tech,Oregon State,-26.9333,49.8,0.015618081828,,
g158,2026-09-12,2,Central Florida,Pittsburgh,7.0333,50.3,0.746881003623,,
g159,2026-09-12,2,Wake Forest,Purdue,-3.8,48.0,0.357871286606,,
g160,2026-09-12,2,UC Davis,SMU,,,,,
g161,2026-09-12,2,Tulsa,Sam Houston,-11.4666,54.6,0.146278547652,,
g162,2026-09-12,2,Cal Poly,San Jose State,,,,,
g163,2026-09-12,2,Towson,South Carolina,,,,,
g164,2026-09-12,2,California,Syracuse,-0.5334,51.6,0.479496120351,,
g165,2026-09-12,2,Grambling State,TCU,,,,,
g166,2026-09-12,2,Penn State,Temple,-21.7667,55.9,0.033937003539,,
g167,2026-09-12,2,Ohio State,Texas,-1.6,50.7,0.438770393937,-1.5,47.5
g168,2026-09-12,2,Arizona State,Texas A&M,16.8667,51.7,0.930531138467,-14.5,
g169,2026-09-12,2,UTSA,Texas State,1.0,65.2,0.538385856563,,
g170,2026-09-12,2,CCSU,Toledo,,,,,
g171,2026-09-12,2,Alabama State,Troy,,,,,
g172,2026-09-12,2,South Alabama,Tulane,12.6333,54.3,0.874745422859,,
g173,2026-09-12,2,UL-Monroe,UAB,7.6666,55.2,0.764853740107,,
g174,2026-09-12,2,San Diego State,UCLA,5.9,50.5,0.712527705506,,
g175,2026-09-12,2,Louisiana,USC,29.8666,58.6,0.989997442391,,
g176,2026-09-12,2,Texas Southern,UTEP,,,,,
g177,2026-09-12,2,Arkansas,Utah,9.6667,58.8,0.815655322666,-7.5,55.5
g178,2026-09-12,2,Delaware,Vanderbilt,21.2,57.8,0.963085524759,,
g179,2026-09-12,2,Norfolk State,Virginia,,,,,
g180,2026-09-12,2,Old Dominion,Virginia Tech,15.5666,49.1,0.916434629942,,
g181,2026-09-12,2,Utah State,Washington,21.7667,52.3,0.966062996461,,
g182,2026-09-12,2,UT Martin,West Virginia,,,,,
g183,2026-09-12,2,Monmouth,Western Michigan,,,,,
g184,2026-09-12,2,Western Illinois,Wisconsin,,,,,
g185,2026-09-12,2,Northern Colorado,Wyoming,,,,,
g186,2026-09-17,3,Syracuse,Pittsburgh,10.1667,51.5,0.826941990151,,
g187,2026-09-18,3,Houston,Texas Tech,16.8667,53.2,0.930531138467,-12.5,53.5
g188,2026-09-18,3,Miami-FL,Wake Forest,-16.5667,46.5,0.07251231704,,
g189,2026-09-19,3,Florida State,Alabama,14.7,47.1,0.905641182706,-15.5,
g190,2026-09-19,3,Charlotte,Appalachian State,14.3,53.8,0.90024951088,,
g191,2026-09-19,3,Northern Illinois,Arizona,29.1667,49.0,0.988872926187,,
g192,2026-09-19,3,Georgia,Arkansas,-19.1333,57.5,0.050040597886,13.5,55.5
g193,2026-09-19,3,Florida,Auburn,-0.5,46.0,0.480778707789,0.0,
g194,2026-09-19,3,Louisiana Tech,Baylor,16.5333,56.7,0.927141339398,,
g195,2026-09-19,3,South Dakota,Boise State,,,,,
g196,2026-09-19,3,Maine,Boston College,,,,,
g197,2026-09-19,3,Wagner,California,,,,,
g198,2026-09-19,3,Georgia State,Central Florida,25.1667,52.5,0.979603808088,,
g199,2026-09-19,3,Wyoming,Central Michigan,1.1,44.0,0.542207009622,,
g200,2026-09-19,3,Miami-OH,Cincinnati,9.9,48.7,0.820991126365,,
g201,2026-09-19,3,North Carolina,Clemson,11.5,46.0,0.854361983624,,
g202,2026-09-19,3,BYU,Colorado State,-22.8667,48.6,0.028805683799,,
g203,2026-09-19,3,Coastal Carolina,Delaware,5.0333,56.8,0.684461964669,,
g204,2026-09-19,3,Stanford,Duke,9.6333,53.5,0.814881441246,,
g205,2026-09-19,3,Florida International,Florida Atlantic,6.5334,59.3,0.732067661197,,
g206,2026-09-19,3,Mercer,Georgia Tech,,,,,
g207,2026-09-19,3,Southern Illinois,Illinois,,,,,
g208,2026-09-19,3,Western Kentucky,Indiana,33.6333,53.6,0.994371980991,,
g209,2026-09-19,3,Northern Iowa,Iowa,,,,,
g210,2026-09-19,3,Bowling Green,Iowa State,17.6333,44.2,0.937778628568,,
g211,2026-09-19,3,Georgia Southern,Jacksonville State,3.3,56.1,0.624265341907,,
g212,2026-09-19,3,Arizona State,Kansas,-2.6666,52.1,0.398853099546,,
g213,2026-09-19,3,Tulane,Kansas State,14.3667,53.3,0.901167223152,,
g214,2026-09-19,3,Ball State,Liberty,17.8,53.0,0.939258383557,,
g215,2026-09-19,3,UAB,Louisiana,10.7334,58.6,0.839065633016,,
g216,2026-09-19,3,SMU,Louisville,2.1667,51.4,0.58257145355,-1.5,
g217,2026-09-19,3,Virginia Tech,Maryland,-3.4666,50.7,0.36974216716,,
g218,2026-09-19,3,Stonehill,Massachusetts,,,,,
g219,2026-09-19,3,UT Martin,Memphis,,,,,
g220,2026-09-19,3,UTEP,Michigan,39.5334,49.2,0.997721737982,,
g221,2026-09-19,3,Nevada,Middle Tennessee,-3.7333,50.5,0.360232805741,,
g222,2026-09-19,3,Akron,Minnesota,25.1333,44.9,0.97950088725,,
g223,2026-09-19,3,Troy,Missouri,23.6666,51.2,0.974444509394,,
g224,2026-09-19,3,Marshall,Missouri State,-5.4667,57.7,0.301317736505,,
g225,2026-09-19,3,North Dakota,Nebraska,,,,,
g226,2026-09-19,3,Colorado,Northwestern,4.3667,48.0,0.661906092073,,
g227,2026-09-19,3,Michigan State,Notre Dame,30.0,53.7,0.990198641917,,
g228,2026-09-19,3,Kent State,Ohio State,53.9666,50.4,0.999752178468,,
g229,2026-09-19,3,New Mexico,Oklahoma,24.3333,49.0,0.976878166885,,
g230,2026-09-19,3,Murray State,Oklahoma State,,,,,
g231,2026-09-19,3,East Carolina,Old Dominion,-1.1333,47.9,0.456521625246,,
g232,2026-09-19,3,LSU,Ole Miss,-0.3,49.9,0.488463586273,-2.5,57.5
g233,2026-09-19,3,Portland State,Oregon,,,,,
g234,2026-09-19,3,Montana,Oregon State,,,,,
