rank,team,bradpowers_start,bradpowers,bradpowers_diff,team_raw,bradpowers_raw,bradpowers_avg
76,Stanford,60.56,-1.5632608695652266,2.27,Stanford,62.83,64.39326086956522
77,Texas State,62.71,-1.7732608695652274,-0.09,Texas State,62.62,64.39326086956522
78,San Diego State,62.82,-1.7732608695652274,-0.2,San Diego State,62.62,64.39326086956522
79,Army,61.52,-2.0832608695652226,0.79,Army,62.31,64.39326086956522
80,Memphis,63.38,-2.883260869565227,-1.87,Memphis,61.51,64.39326086956522
81,Old Dominion,69.87,-3.0732608695652246,-8.55,Old Dominion,61.32,64.39326086956522
82,North Dakota State,67.0,-3.5932608695652277,-6.2,North Dakota State,60.8,64.39326086956522
83,Washington State,65.81,-3.6132608695652237,-5.03,Washington State,60.78,64.39326086956522
84,Boston College,60.34,-3.943260869565222,0.11,Boston College,60.45,64.39326086956522
85,East Carolina,66.93,-4.143260869565225,-6.68,East Carolina,60.25,64.39326086956522
86,Air Force,54.77,-4.213260869565225,5.41,Air Force,60.18,64.39326086956522
87,Western Michigan,60.34,-4.913260869565228,-0.86,Western Michigan,59.48,64.39326086956522
88,Hawaii,60.38,-5.8032608695652215,-1.79,Hawaii,58.59,64.39326086956522
89,Florida Atlantic,52.43,-5.983260869565228,5.98,Florida Atlantic,58.41,64.39326086956522
90,Utah State,59.61,-6.163260869565228,-1.38,Utah State,58.23,64.39326086956522
91,Toledo,67.54,-6.5432608695652235,-9.69,Toledo,57.85,64.39326086956522
92,Liberty,52.6,-6.833260869565223,4.96,Liberty,57.56,64.39326086956522
93,Marshall,54.6,-7.483260869565228,2.31,Marshall,56.91,64.39326086956522
94,Miami-OH,53.85,-7.633260869565227,2.91,Miami (OH),56.76,64.39326086956522
95,Troy,54.51,-7.743260869565226,2.14,Troy,56.65,64.39326086956522
96,Western Kentucky,55.6,-8.393260869565225,0.4,Western Kentucky,56.0,64.39326086956522
97,Oregon State,52.18,-8.723260869565223,3.49,Oregon State,55.67,64.39326086956522
98,Tulsa,51.94,-8.753260869565224,3.7,Tulsa,55.64,64.39326086956522
99,Temple,54.03,-8.773260869565227,1.59,Temple,55.62,64.39326086956522
100,Louisiana,52.15,-8.853260869565226,3.39,UL-Lafayette,55.54,64.39326086956522
101,North Texas,71.95,-9.313260869565227,-16.9,North Texas,55.08,64.39326086956522
102,Jacksonville State,53.1,-9.313260869565227,1.98,Jacksonville State,55.08,64.39326086956522
103,Arkansas State,53.96,-9.633260869565227,0.8,Arkansas State,54.76,64.39326086956522
104,Louisiana Tech,54.37,-10.623260869565222,-0.6,Louisiana Tech,53.77,64.39326086956522
105,Wyoming,50.83,-10.733260869565228,2.83,Wyoming,53.66,64.39326086956522
106,Colorado State,46.71,-10.773260869565227,6.91,Colorado State,53.62,64.39326086956522
107,Delaware,50.92,-11.203260869565227,2.27,Delaware,53.19,64.39326086956522
108,Ohio,59.93,-11.503260869565224,-7.04,Ohio,52.89,64.39326086956522
109,Kennesaw State,54.86,-11.653260869565223,-2.12,Kennesaw State,52.74,64.39326086956522
110,Georgia Southern,53.19,-11.903260869565223,-0.7,Georgia Southern,52.49,64.39326086956522
111,Nevada,49.08,-12.353260869565226,2.96,Nevada,52.04,64.39326086956522
112,South Alabama,53.62,-12.663260869565228,-1.89,South Alabama,51.73,64.39326086956522
113,Connecticut,60.75,-12.823260869565225,-9.18,Connecticut,51.57,64.39326086956522
114,Appalachian State,49.97,-12.833260869565223,1.59,Appalachian State,51.56,64.39326086956522
115,Central Michigan,52.48,-13.033260869565225,-1.12,Central Michigan,51.36,64.39326086956522
116,Eastern Michigan,48.38,-13.223260869565223,2.79,Eastern Michigan,51.17,64.39326086956522
117,Florida International,52.21,-13.693260869565222,-1.51,FIU,50.7,64.39326086956522
118,Coastal Carolina,46.91,-14.483260869565228,3.0,Coastal Carolina,49.91,64.39326086956522
119,Rice,46.59,-14.653260869565223,3.15,Rice,49.74,64.39326086956522
120,San Jose State,50.45,-15.783260869565225,-1.84,San Jose State,48.61,64.39326086956522
121,Bowling Green,46.81,-15.853260869565226,1.73,Bowling Green,48.54,64.39326086956522
122,UAB,48.47,-16.273260869565227,-0.35,UAB,48.12,64.39326086956522
123,New Mexico State,44.75,-16.473260869565223,3.17,New Mexico State,47.92,64.39326086956522
124,Akron,46.61,-17.153260869565223,0.63,Akron,47.24,64.39326086956522
125,Buffalo,48.98,-17.203260869565227,-1.79,Buffalo,47.19,64.39326086956522
126,UL-Monroe,46.22,-17.643260869565225,0.53,UL-Monroe,46.75,64.39326086956522
127,Georgia State,45.81,-17.823260869565225,0.76,Georgia State,46.57,64.39326086956522
128,Middle Tennessee,45.47,-19.013260869565222,-0.09,Middle Tennessee,45.38,64.39326086956522
129,Missouri State,50.74,-19.093260869565228,-5.44,Missouri State,45.3,64.39326086956522
130,Kent State,43.96,-19.583260869565223,0.85,Kent State,44.81,64.39326086956522
131,Charlotte,41.51,-19.763260869565222,3.12,Charlotte,44.63,64.39326086956522
132,Northern Illinois,45.16,-19.773260869565227,-0.54,Northern Illinois,44.62,64.39326086956522
133,UTEP,45.21,-19.823260869565225,-0.64,UTEP,44.57,64.39326086956522
134,Southern Miss,54.73,-20.393260869565225,-10.7,Southern Miss,44.0,64.39326086956522
135,Sam Houston,38.19,-20.673260869565226,5.53,Sam Houston State,43.72,64.39326086956522
136,Sacramento State,49.0,-20.783260869565225,-5.39,Sacramento State,43.61,64.39326086956522
137,Ball State,40.05,-23.613260869565224,0.73,Ball State,40.78,64.39326086956522
138,Massachusetts,30.23,-25.613260869565224,8.55,Massachusetts,38.78,64.39326086956522
