season,week,game_id,team,opponent,prior_games,pregame_off_plays,pregame_off_pass_rate,pregame_off_neutral_pass_rate,pregame_off_early_down_pass_rate,pregame_off_qb_run_share,pregame_off_rush_success_rate,pregame_off_pass_success_rate,pregame_off_explosive_rush_rate,pregame_off_explosive_pass_rate,pregame_off_ppa,pregame_off_game_clock_seconds_per_play,pregame_def_plays,pregame_def_pass_rate_faced,pregame_def_rush_success_allowed,pregame_def_pass_success_allowed,pregame_def_explosive_rush_allowed,pregame_def_explosive_pass_allowed,pregame_def_ppa_allowed,pregame_def_havoc_rate,pregame_def_front_seven_havoc_rate,pregame_def_db_havoc_rate
2024,1,401645319,Army,Lehigh,0,,,,,,,,,,,,,,,,,,,,,
2024,2,401645323,Army,Florida Atlantic,1,62.0,0.12903225806451613,0.12195121951219512,0.1568627450980392,0.3333333333333333,0.7037037037037037,0.625,0.12962962962962962,0.125,0.5646543402558843,35.490566037735846,53.0,0.37735849056603776,0.5757575757575758,0.4,0.18181818181818182,0.15,0.13187289790140838,0.11320754716981132,0.05660377358490566,0.05660377358490566
2024,4,401645328,Army,Rice,2,61.5,0.09730301427815971,0.09430894308943089,0.1096813725490196,0.3157894736842105,0.6062378167641326,0.4375,0.18762183235867447,0.1875,0.47202702530760426,21.72255574614065,53.5,0.5312718378756115,0.4128787878787879,0.45675675675675675,0.12032085561497327,0.08851351351351351,0.12012280274560877,0.16037735849056606,0.0849056603773585,0.07547169811320756
2024,5,401645331,Army,Temple,3,61.0,0.1259797872965509,0.09858691444057298,0.11857546048722518,0.38059434300035805,0.5810292928087414,0.5037878787878788,0.1658975481030619,0.125,0.39161662078107873,26.74967768696958,53.333333333333336,0.6120428604705335,0.4696969696969697,0.4427158866183256,0.13576945929887108,0.07526917161063502,0.1331058589731389,0.16037735849056606,0.0849056603773585,0.07547169811320756
2024,6,401645339,Army,Tulsa,4,61.75,0.12182859047241318,0.11341387004095604,0.11393159536541889,0.4082527747941282,0.5892807415363807,0.4849837662337662,0.15951088037554204,0.16517857142857142,0.41205009223573474,29.28774846130562,53.0,0.6369167607375155,0.3856060606060606,0.44690177982860907,0.1018270944741533,0.07672214897824654,0.11611357988720092,0.1646105466860184,0.10147556845670054,0.06313497822931786
2024,7,401645342,Army,UAB,5,58.6,0.1278976549866262,0.14073109603276485,0.11817230331936215,0.42403811727119994,0.5739886957932071,0.5308441558441558,0.1583779350696644,0.24642857142857144,0.4863379547868112,29.26908765793338,56.4,0.5923905514471552,0.396289726533629,0.41959038938012866,0.09609582192078606,0.06827427090673517,0.09882235442831501,0.15202933858594236,0.09396381919966826,0.058065519386274106
2024,8,401645346,Army,East Carolina,6,63.333333333333336,0.12765417609038773,0.11727591336063736,0.11984444080032315,0.39503176439266663,0.5827683576054503,0.48782467532467527,0.16926231431243963,0.23566017316017318,0.4748384590748529,30.57900161970639,63.166666666666664,0.6053426416698802,0.41357477211135746,0.4291458373039534,0.09570485160065505,0.07227984114022802,0.08505359215930057,0.13605646055947554,0.08548033371025007,0.05057612684922547
2024,10,401643746,Army,Air Force,7,63.57142857142857,0.13139588719835432,0.13480792573768915,0.12558094925741986,0.4165207331157922,0.5644508000254509,0.5181354359925788,0.16845860707300017,0.24485157699443416,0.4733891125357789,26.82547964918933,62.42857142857143,0.6124611805446263,0.41877837609544927,0.4355084620500052,0.0963184442291329,0.08075114202996989,0.1187377246837876,0.13636888954668938,0.08560142751716242,0.05076746202952697
2024,11,401629045,Army,North Texas,8,62.0,0.13948120522012866,0.14539595941072192,0.1307166639335757,0.4101873487933913,0.5470194500222696,0.5033685064935065,0.16569396411570442,0.2267451298701299,0.43175587917148245,28.042416644260175,61.5,0.5859035329765481,0.41946138211382117,0.42084263156648183,0.09943015385200643,0.07633906745804182,0.10309507450460856,0.1532512559750844,0.10194408072899634,0.051307175246088056
2024,13,401640959,Army,Notre Dame,9,62.666666666666664,0.13215322816952613,0.13831114759411112,0.12054988863812394,0.4263393717669651,0.5444405693319645,0.4918831168831169,0.1613928711010847,0.22377344877344882,0.40149128862726746,29.30807405415719,60.77777777777778,0.5975708171912751,0.42514214357829855,0.4208659649012002,0.10799020211681618,0.07955285528434126,0.07797988258585496,0.1545493944327443,0.0982919797287809,0.05625741470396341
