season,week,game_id,team,opponent,off_plays,off_rushes,off_passes_including_sacks,off_pass_rate,off_neutral_plays,off_neutral_pass_rate,off_early_down_plays,off_early_down_pass_rate,off_qb_runs,off_qb_run_share,off_rush_success_rate,off_pass_success_rate,off_explosive_rush_rate,off_explosive_pass_rate,off_ppa,off_game_clock_seconds_per_play,off_passers,off_play_type_count,def_plays,def_rushes_faced,def_passes_faced_including_sacks,def_pass_rate_faced,def_rush_success_allowed,def_pass_success_allowed,def_explosive_rush_allowed,def_explosive_pass_allowed,def_ppa_allowed,adv_off_plays,adv_off_success_rate,adv_off_explosiveness,adv_off_ppa,adv_def_plays,adv_def_success_rate,adv_def_explosiveness,adv_def_ppa,def_havoc_events,def_havoc_rate,def_front_seven_havoc_rate,def_db_havoc_rate,off_play_count_diff_vs_advanced,def_play_count_diff_vs_advanced
2024,1,401645319,Army,Lehigh,62,54,8,0.12903225806451613,41,0.12195121951219512,51,0.1568627450980392,18,0.3333333333333333,0.7037037037037037,0.625,0.12962962962962962,0.125,0.5646543402558843,35.490566037735846,Bryson Daily|Dewayne Coleman,10,53,33,20,0.37735849056603776,0.5757575757575758,0.4,0.18181818181818182,0.15,0.13187289790140838,62,0.7258064516129032,0.9045527163136257,0.5646543402558846,53,0.49056603773584906,1.017858285181999,0.1318728979014084,6.0,0.11320754716981132,0.05660377358490566,0.05660377358490566,0,0
2024,2,401645323,Army,Florida Atlantic,61,57,4,0.06557377049180328,45,0.06666666666666667,48,0.0625,17,0.2982456140350877,0.5087719298245614,0.25,0.24561403508771928,0.25,0.3793997103593242,7.954545454545454,Bryson Daily,14,54,17,37,0.6851851851851852,0.25,0.5135135135135135,0.058823529411764705,0.02702702702702703,0.10837270758980917,61,0.5081967213114754,1.1673677751128895,0.3793997103593242,53,0.4528301886792453,1.007877519829175,0.10837270758980913,11.0,0.20754716981132076,0.11320754716981132,0.09433962264150944,0,1
2024,4,401645328,Army,Rice,60,49,11,0.18333333333333332,28,0.10714285714285714,44,0.13636363636363635,25,0.5102040816326531,0.5306122448979592,0.6363636363636364,0.12244897959183673,0.0,0.2307958117280276,36.80392156862745,Bryson Daily|Dewayne Coleman|James Wagenseller,8,53,12,41,0.7735849056603774,0.5833333333333334,0.4146341463414634,0.16666666666666666,0.04878048780487805,0.1590719714281992,60,0.48333333333333334,0.8213245292817702,0.23079581172802768,53,0.39622641509433965,1.1985261313987314,0.1590719714281992,,,,,0,0
2024,5,401645331,Army,Temple,64,57,7,0.109375,38,0.15789473684210525,50,0.1,28,0.49122807017543857,0.6140350877192983,0.42857142857142855,0.14035087719298245,0.2857142857142857,0.4733505065997028,36.90196078431372,Bryson Daily|Dewayne Coleman,13,52,15,37,0.7115384615384616,0.13333333333333333,0.4594594594594595,0.0,0.08108108108108109,0.06513674262938694,64,0.5625,1.1632644858945689,0.4733505065997026,52,0.2692307692307692,2.0265590941017946,0.06513674262938694,9.0,0.17307692307692307,0.1346153846153846,0.038461538461538464,0,0
2024,6,401645339,Army,Tulsa,46,39,7,0.15217391304347827,20,0.25,37,0.13513513513513514,19,0.48717948717948717,0.5128205128205128,0.7142857142857143,0.15384615384615385,0.5714285714285714,0.7834894049911171,29.194444444444443,Bryson Daily|Dewayne Coleman,11,70,41,29,0.4142857142857143,0.43902439024390244,0.3103448275862069,0.07317073170731707,0.034482758620689655,0.029657452592771336,46,0.5217391304347826,1.9263959522572764,0.7834894049911173,70,0.32857142857142857,1.0935416126816606,0.029657452592771326,8.0,0.11428571428571428,0.07142857142857142,0.04285714285714286,0,0
2024,7,401645342,Army,UAB,87,76,11,0.12643678160919541,21,0.0,78,0.1282051282051282,19,0.25,0.6266666666666667,0.2727272727272727,0.2236842105263158,0.18181818181818182,0.41734098051506124,37.128571428571426,Bryson Daily|Dewayne Coleman,12,97,32,65,0.6701030927835051,0.5,0.47692307692307695,0.09375,0.09230769230769231,0.016209780814228313,86,0.5930232558139535,0.9167300851404407,0.417340980515061,97,0.4948453608247423,0.9416800904108985,0.016209780814228296,7.0,0.07216494845360824,0.05154639175257732,0.020618556701030927,1,0
2024,8,401645346,Army,East Carolina,65,55,10,0.15384615384615385,25,0.24,50,0.16,30,0.5454545454545454,0.45454545454545453,0.7,0.16363636363636364,0.3,0.4646930333013349,4.304347826086956,Bryson Daily,14,58,20,38,0.6551724137931034,0.45,0.47368421052631576,0.1,0.13157894736842105,0.32084251983070977,65,0.5076923076923077,1.349806024929448,0.4646930333013348,58,0.43103448275862066,1.389765480713316,0.3208425198307098,8.0,0.13793103448275862,0.08620689655172414,0.05172413793103448,0,0
2024,10,401643746,Army,Air Force,51,41,10,0.19607843137254902,41,0.21951219512195122,36,0.16666666666666666,15,0.36585365853658536,0.425,0.4,0.14634146341463414,0.1,0.14032324562140702,36.5609756097561,Dewayne Coleman|Matthew Rhodes,14,55,33,22,0.4,0.42424242424242425,0.3181818181818182,0.12121212121212122,0.045454545454545456,-0.0064034767496446805,50,0.42,1.0152481536813949,0.14032324562140705,55,0.34545454545454546,1.2940852928120443,-0.006403476749644687,14.0,0.2545454545454545,0.2,0.05454545454545454,1,0
2024,11,401629045,Army,North Texas,68,63,5,0.07352941176470588,49,0.08163265306122448,51,0.0392156862745098,35,0.5555555555555556,0.5238095238095238,0.4,0.12698412698412698,0.2,0.1593745642735474,39.43333333333333,Bryson Daily,15,55,17,38,0.6909090909090909,0.47058823529411764,0.42105263157894735,0.17647058823529413,0.10526315789473684,-0.12294165276417374,68,0.5441176470588235,0.742924200545621,0.1593745642735474,55,0.4727272727272727,0.8776753984380908,-0.12294165276417375,9.0,0.16363636363636364,0.07272727272727272,0.09090909090909091,0,0
2024,13,401640959,Army,Notre Dame,67,57,10,0.14925373134328357,24,0.125,46,0.13043478260869565,39,0.6842105263157895,0.42105263157894735,0.2,0.07017543859649122,0.0,0.0029423709988502214,38.81818181818182,Bryson Daily|Tyrell Robinson,13,47,29,18,0.3829787234042553,0.4482758620689655,0.7777777777777778,0.3448275862068966,0.1111111111111111,0.5783730745807356,67,0.373134328358209,0.7462820579243586,0.002942370998850222,47,0.574468085106383,1.4267798744696796,0.5783730745807356,4.0,0.0851063829787234,0.0851063829787234,0.0,0,0
