season,week,game_id,away_team,home_team,sp_plus_home_spread,opening_home_spread,closing_home_spread,sp_plus_gap,actual_market_move,distance_to_sp_plus_at_open,distance_to_sp_plus_at_close,movement_toward_sp_plus_points,incorporation_percentage,directional_agreement,close_crossed_sp_plus,close_overshot_sp_plus,moved_away,no_meaningful_move,actual_home_margin,sp_plus_absolute_error,opener_absolute_error,close_absolute_error,sp_plus_side_ats_result,clv_points,timing_status,eligibility,missing_reason
2021,2,pt-2021-2-fresnostate-oregon,Fresno St.,Oregon,-12.5,-20.5,-20.0,8.0,0.5,8.0,7.5,0.5,0.0625,True,False,False,False,False,-7.0,19.5,27.5,27.0,W,0.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-massachusetts-pittsburgh,Massachusetts,Pittsburgh,-46.5,-35.5,-38.0,-11.0,-2.5,11.0,8.5,2.5,0.22727272727272727,True,False,False,False,False,-44.0,90.5,79.5,82.0,L,2.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-oregonstate-purdue,Oregon St.,Purdue,-11.5,-5.5,-7.0,-6.0,-1.5,6.0,4.5,1.5,0.25,True,False,False,False,False,-9.0,20.5,14.5,16.0,L,1.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-temple-rutgers,Temple,Rutgers,-17.6,-13.0,-14.5,-4.600000000000001,-1.5,4.600000000000001,3.1000000000000014,1.5,0.326086956521739,True,False,False,False,False,-47.0,64.6,60.0,61.5,L,1.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-temple-rutgers,Temple,Rutgers,-17.6,-14.5,-15.0,-3.1000000000000014,-0.5,3.1000000000000014,2.6000000000000014,0.5,0.16129032258064507,True,False,False,False,False,-47.0,64.6,61.5,62.0,L,0.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-louisianalafayette-texas,Louisiana-Lafayette,Texas,-13.7,-16.5,-9.0,2.8000000000000007,7.5,2.8000000000000007,4.699999999999999,-1.8999999999999986,-0.6785714285714279,True,True,True,True,False,-20.0,33.7,36.5,29.0,W,7.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-baylor-texasstate,Baylor,Texas St.,13.4,10.5,14.0,2.9000000000000004,3.5,2.9000000000000004,0.5999999999999996,2.3000000000000007,0.7931034482758622,True,True,True,False,False,9.0,22.4,19.5,23.0,L,3.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-lsu-ucla,LSU,UCLA,-12.7,4.5,2.5,-17.2,-2.0,17.2,15.2,2.0,0.11627906976744186,True,False,False,False,False,-11.0,23.7,6.5,8.5,L,2.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-sanjosestate-usc,San Jose St.,USC,-23.0,-16.5,-14.0,-6.5,2.5,6.5,9.0,-2.5,-0.38461538461538464,False,False,False,True,False,-23.0,46.0,39.5,37.0,L,-2.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-pennstate-wisconsin,Penn St.,Wisconsin,3.4999999999999982,-3.5,-5.5,6.999999999999998,-2.0,6.999999999999998,8.999999999999998,-2.0,-0.2857142857142858,False,False,False,True,False,6.0,9.499999999999998,2.5,0.5,L,-2.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-temple-akron,Temple,Akron,9.3,3.0,6.5,6.300000000000001,3.5,6.300000000000001,2.8000000000000007,3.5,0.5555555555555555,True,False,False,False,False,21.0,30.3,24.0,27.5,L,3.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-sandiegostate-arizona,San Diego St.,Arizona,-0.6999999999999997,-1.0,-2.0,0.30000000000000027,-1.0,0.30000000000000027,1.3000000000000003,-1.0,-3.3333333333333304,False,False,False,True,False,24.0,23.3,23.0,22.0,L,-1.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-unlv-arizonastate,UNLV,Arizona St.,-31.700000000000003,-30.0,-34.0,-1.7000000000000028,-4.0,1.7000000000000028,2.299999999999997,-0.5999999999999943,-0.3529411764705843,True,True,True,True,False,-27.0,58.7,57.0,61.0,L,4.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-texas-arkansas,Texas,Arkansas,7.9,3.5,6.5,4.4,3.0,4.4,1.4000000000000004,3.0,0.6818181818181818,True,False,False,False,False,-19.0,11.1,15.5,12.5,W,3.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-memphis-arkansasstate,Memphis,Arkansas St.,9.7,4.0,5.5,5.699999999999999,1.5,5.699999999999999,4.199999999999999,1.5,0.26315789473684215,True,False,False,False,False,5.0,14.7,9.0,10.5,L,1.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-westernkentucky-army,Western Kentucky,Army,-6.699999999999999,-4.0,-6.0,-2.6999999999999993,-2.0,2.6999999999999993,0.6999999999999993,2.0,0.7407407407407409,True,False,False,False,False,-3.0,9.7,7.0,9.0,L,2.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-utah-byu,Utah,BYU,10.1,6.0,7.0,4.1,1.0,4.1,3.0999999999999996,1.0,0.24390243902439027,True,False,False,False,False,-9.0,1.0999999999999996,3.0,2.0,W,1.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-utep-boisestate,UTEP,Boise St.,-21.7,-28.0,-26.0,6.300000000000001,2.0,6.300000000000001,4.300000000000001,2.0,0.31746031746031744,True,False,False,False,False,-41.0,62.7,69.0,67.0,W,2.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-kansas-coastalcarolina,Kansas,Coastal Carolina,-29.7,-27.0,-26.5,-2.6999999999999993,0.5,2.6999999999999993,3.1999999999999993,-0.5,-0.18518518518518523,False,False,False,True,False,-27.0,56.7,54.0,53.5,L,-0.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-texasaandm-colorado,Texas A&M,Colorado,17.9,17.0,17.5,0.8999999999999986,0.5,0.8999999999999986,0.3999999999999986,0.5,0.5555555555555565,True,False,False,False,False,3.0,20.9,20.0,20.5,L,0.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-vanderbilt-coloradostate,Vanderbilt,Colorado St.,-5.4,-1.0,-7.0,-4.4,-6.0,4.4,1.5999999999999996,2.8000000000000007,0.6363636363636365,True,True,True,False,False,3.0,2.4000000000000004,2.0,4.0,W,6.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-purdue-connecticut,Purdue,Connecticut,32.9,32.0,34.0,0.8999999999999986,2.0,0.8999999999999986,1.1000000000000014,-0.20000000000000284,-0.22222222222222573,True,True,True,False,False,49.0,81.9,81.0,83.0,L,2.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-uab-georgia,UAB,Georgia,-20.9,-29.0,-23.0,8.100000000000001,6.0,8.100000000000001,2.1000000000000014,6.0,0.7407407407407406,True,False,False,False,False,-49.0,69.9,78.0,72.0,W,6.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-iowa-iowastate,Iowa,Iowa St.,2.1000000000000014,-5.0,-4.0,7.100000000000001,1.0,7.100000000000001,6.100000000000001,1.0,0.1408450704225352,True,False,False,False,False,10.0,12.100000000000001,5.0,6.0,L,1.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-missouri-kentucky,Missouri,Kentucky,-7.199999999999999,-3.0,-5.5,-4.199999999999999,-2.5,4.199999999999999,1.6999999999999993,2.5,0.5952380952380953,True,False,False,False,False,-7.0,14.2,10.0,12.5,L,2.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-bostoncollege-massachusetts,Boston College,Massachusetts,38.9,36.0,37.5,2.8999999999999986,1.5,2.8999999999999986,1.3999999999999986,1.5,0.5172413793103451,True,False,False,False,False,17.0,55.9,53.0,54.5,L,1.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-washington-michigan,Washington,Michigan,-9.400000000000002,-1.0,-6.5,-8.400000000000002,-5.5,8.400000000000002,2.900000000000002,5.5,0.6547619047619045,True,False,False,False,False,-21.0,30.400000000000002,22.0,27.5,L,5.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-miamiohio-minnesota,Miami (Ohio),Minnesota,-27.0,-19.0,-18.5,-8.0,0.5,8.0,8.5,-0.5,-0.0625,False,False,False,True,False,-5.0,32.0,24.0,23.5,L,-0.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-airforce-navy,Air Force,Navy,8.100000000000001,6.0,6.5,2.1000000000000014,0.5,2.1000000000000014,1.6000000000000014,0.5,0.23809523809523794,True,False,False,False,False,20.0,28.1,26.0,26.5,L,0.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-buffalo-nebraska,Buffalo,Nebraska,-8.5,-11.0,-13.5,2.5,-2.5,2.5,5.0,-2.5,-1.0,False,False,False,True,False,-25.0,33.5,36.0,38.5,W,-2.5,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,3,pt-2021-3-georgiastate-northcarolina,Georgia St.,North Carolina,-21.4,-23.0,-26.0,1.6000000000000014,-3.0,1.6000000000000014,4.600000000000001,-3.0,-1.8749999999999984,False,False,False,True,False,-42.0,63.4,65.0,68.0,W,-3.0,timing_uncertain,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
