season,week,game_id,date,away_team,home_team,neutral_site,location_certainty,sp_plus_snapshot_date,sp_plus_snapshot_week,away_sp_plus_rating,home_sp_plus_rating,away_sp_plus_offense,home_sp_plus_offense,away_sp_plus_defense,home_sp_plus_defense,SP+ HFA,published_or_reconstructed,sp_plus_home_margin,sp_plus_home_spread,provenance,eligibility,missing_reason
2021,2,pt-2021-2-byu-arizona,,BYU,Arizona,,uncertain,,1,6.9,-4.4,33.4,28.0,26.6,32.3,2.5,reconstructed,-8.8,8.8,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-rice-arkansas,,Rice,Arkansas,,uncertain,,1,-14.4,6.6,13.9,29.2,28.2,22.7,2.5,reconstructed,23.5,-23.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-akron-auburn,,Akron,Auburn,,uncertain,,1,-25.7,18.6,13.7,35.5,39.4,16.9,2.5,reconstructed,46.8,-46.8,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-nevada-california,,Nevada,California,,uncertain,,1,2.5,0.5,29.1,28.6,26.6,28.0,2.5,reconstructed,0.5,-0.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-boisestate-centralflorida,,Boise St.,Central Florida,,uncertain,,1,4.6,9.6,30.7,38.1,26.2,28.5,2.5,reconstructed,7.5,-7.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-duke-charlotte,,Duke,Charlotte,,uncertain,,1,-12.4,-12.3,19.2,28.9,31.6,41.1,2.5,reconstructed,2.5999999999999996,-2.5999999999999996,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-miamiohio-cincinnati,,Miami (Ohio),Cincinnati,,uncertain,,1,-14.3,19.7,20.2,35.2,34.4,15.5,2.5,reconstructed,36.5,-36.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-georgia-clemson,,Georgia,Clemson,,uncertain,,1,24.8,20.7,36.6,36.0,11.8,15.3,2.5,reconstructed,-1.6000000000000014,1.6000000000000014,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-notredame-floridastate,,Notre Dame,Florida St.,,uncertain,,1,11.0,6.3,33.1,33.8,22.2,27.4,2.5,reconstructed,-2.2,2.2,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-army-georgiastate,,Army,Georgia St.,,uncertain,,1,0.1,-5.9,24.4,29.7,24.3,35.6,2.5,reconstructed,-3.5,3.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-texastech-houston,,Texas Tech,Houston,,uncertain,,1,4.8,-4.3,31.2,26.1,26.4,30.4,2.5,reconstructed,-6.6,6.6,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-indiana-iowa,,Indiana,Iowa,,uncertain,,1,5.9,19.3,29.3,30.1,23.4,11.0,2.5,reconstructed,15.9,-15.9,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-stanford-kansasstate,,Stanford,Kansas St.,,uncertain,,1,-4.7,6.5,27.5,31.9,32.1,25.5,2.5,reconstructed,13.7,-13.7,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-ohiostate-minnesota,,Ohio St.,Minnesota,,uncertain,,1,24.2,10.2,45.8,37.1,21.6,26.9,2.5,reconstructed,-11.5,11.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-louisville-mississippi,,Louisville,Mississippi,,uncertain,,1,-0.3,17.1,33.9,41.4,34.3,24.3,2.5,reconstructed,19.9,-19.9,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-marshall-navy,,Marshall,Navy,,uncertain,,1,3.6,-17.6,24.9,15.4,21.4,32.9,2.5,reconstructed,-18.700000000000003,18.700000000000003,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-michiganstate-northwestern,,Michigan St.,Northwestern,,uncertain,,1,9.0,-7.0,27.1,15.5,18.1,22.5,2.5,reconstructed,-13.5,13.5,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-syracuse-ohio,,Syracuse,Ohio,,uncertain,,1,-3.1,-8.7,23.4,26.3,26.6,34.9,2.5,reconstructed,-3.0999999999999996,3.0999999999999996,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
2021,2,pt-2021-2-tulane-oklahoma,,Tulane,Oklahoma,,uncertain,,1,5.3,21.9,34.5,43.3,29.1,21.4,2.5,reconstructed,19.1,-19.1,espn_sp_plus_weekly_2021_2024.csv; latest snapshot <= game week-1,False,SP+ publication-to-opener timing cannot be proven; market opener timestamp absent
