game_id,season,week,season_type,date,away_team,home_team,books_count,books_available,has_spread,has_total,selected_spread_book,selected_total_book,line_source
401862695,2026,1,regular,2026-09-05T23:00:00.000Z,Arkansas State,Memphis,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401862699,2026,1,regular,2026-09-05T23:00:00.000Z,Florida International,South Florida,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401856668,2026,1,regular,2026-09-05T23:00:00.000Z,Missouri State,Texas A&M,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401870763,2026,1,regular,2026-09-05T23:00:00.000Z,Sam Houston,Troy,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401856660,2026,1,regular,2026-09-05T23:30:00.000Z,Clemson,LSU,2,"Bovada,DraftKings",True,True,DraftKings,DraftKings,CFBD Lines
401856662,2026,1,regular,2026-09-05T23:30:00.000Z,UL Monroe,Mississippi State,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401858428,2026,1,regular,2026-09-05T23:30:00.000Z,Western Michigan,Michigan,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401856637,2026,1,regular,2026-09-05T23:45:00.000Z,Florida Atlantic,Florida,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401864498,2026,1,regular,2026-09-06T02:00:00.000Z,Central Michigan,New Mexico,2,"Bovada,DraftKings",True,False,DraftKings,,CFBD Lines
401864497,2026,1,regular,2026-09-06T02:00:00.000Z,UNLV,Hawai'i,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401858210,2026,1,regular,2026-09-06T02:30:00.000Z,UCLA,California,2,"Bovada,DraftKings",True,True,DraftKings,DraftKings,CFBD Lines
401864432,2026,1,regular,2026-09-06T02:30:00.000Z,Western Kentucky,Nevada,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401858437,2026,1,regular,2026-09-06T20:00:00.000Z,Washington State,Washington,2,"Bovada,DraftKings",True,True,DraftKings,Bovada,CFBD Lines
401856661,2026,1,regular,2026-09-06T23:30:00.000Z,Louisville,Ole Miss,2,"Bovada,DraftKings",True,True,DraftKings,DraftKings,CFBD Lines
401858438,2026,1,regular,2026-09-06T23:30:00.000Z,Wisconsin,Notre Dame,2,"Bovada,DraftKings",True,True,DraftKings,DraftKings,CFBD Lines
401858212,2026,1,regular,2026-09-07T23:30:00.000Z,SMU,Florida State,2,"Bovada,DraftKings",True,True,DraftKings,DraftKings,CFBD Lines
401856679,2026,2,regular,2026-09-12T16:00:00.000Z,Oklahoma,Michigan,1,Bovada,True,True,Bovada,Bovada,CFBD Lines
401856682,2026,2,regular,2026-09-12T23:30:00.000Z,Ohio State,Texas,1,Bovada,True,True,Bovada,Bovada,CFBD Lines
