snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-21,Preseason,2026,g1,401866408,2026-08-29,1,Sacramento State,Eastern Michigan,-7.5,53.5,-8.5,53.5,3.63,-3.63,51.8,draftkings,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:05.832Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g2,401864570,2026-08-29,1,New Mexico State,Florida State,-29.5,52.5,-30.5,53.5,27.968,-27.968,50.35,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g3,401864577,2026-08-29,1,Jacksonville State,North Dakota State,-7.5,48.5,-8.5,47.5,7.756,-7.756,53.5,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g4,401858201,2026-08-29,1,Hawaii,Stanford,-3.5,50.5,-3.5,50.5,2.42,-2.42,50.9,draftkings,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:05.832Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g5,401856766,2026-08-29,1,North Carolina,TCU,-6.5,49.5,-6.5,49.5,6.98,-6.98,49.4,fanduel,draftkings,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,paddypower,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:05.832Z,SportsGameOdds
2026-07-21,Preseason,2026,g6,401862693,2026-08-29,1,Memphis,UNLV,-4.5,58.5,-3.5,59.5,3.697,-3.697,58.95,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g7,401864494,2026-08-29,1,San Jose State,USC,-35.5,58.5,-35.5,57.5,34.77,-34.77,55.2,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g8,401858202,2026-08-29,1,NC State,Virginia,-5.5,54.5,-5.5,54.5,3.603,-3.603,51.1,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g10,401856767,2026-09-03,1,Bethune-Cookman,Central Florida,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g11,401864424,2026-09-03,1,Merrimack,Delaware,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g12,401856776,2026-09-03,1,Colorado,Georgia Tech,-7.5,51.5,-7.5,51.5,7.66,-7.66,51.7,draftkings,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:05.832Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g13,401864425,2026-09-03,1,West Georgia,Kennesaw State,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g14,401858422,2026-09-03,1,Eastern Illinois,Minnesota,-45.5,51.5,-43.5,51.5,,,,fanduel,fanduel,"betsson,fanduel,nordicbet,sportsbet",2026-07-21T17:16:55.000Z,2026-07-21T17:16:55.000Z,SportsGameOdds
2026-07-21,Preseason,2026,g15,401856663,2026-09-03,1,UAPB,Missouri,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g16,401858423,2026-09-03,1,Massachusetts,Rutgers,-30.5,54.5,-30.5,54.5,31.105,-31.105,54.4,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g17,401856768,2026-09-03,1,Idaho,Utah,-34.5,57.5,-35.5,56.5,,,,fanduel,fanduel,"betsson,fanduel,hardrockbet,nordicbet,sportsbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g18,401858204,2026-09-03,1,Akron,Wake Forest,-22.5,49.5,-22.5,49.5,24.805,-24.805,44.9,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g9,401866409,2026-09-03,1,UAlbany,Buffalo,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g19,401864495,2026-09-04,1,San Jose State,Eastern Michigan,-3.5,54.5,-3.5,54.0,0.608,-0.608,51.4,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g20,401866623,2026-09-04,1,North Carolina A&T,Georgia State,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g21,401856769,2026-09-04,1,LIU,Kansas,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g22,401858206,2026-09-04,1,Miami-FL,Stanford,23.5,49.5,22.5,49.5,-24.808,24.808,47.4,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,thescorebet,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g23,401864496,2026-09-05,1,Duquesne,Air Force,,,,,,,,,,,,,
2026-07-21,Preseason,2026,g24,401856634,2026-09-05,1,East Carolina,Alabama,-26.5,54.5,-26.5,54.5,23.793,-23.793,47.05,fanduel,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betrsportsbook,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,espnbet,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-21T17:17:27.205Z,2026-07-21T17:17:27.205Z,SportsGameOdds
2026-07-21,Preseason,2026,g25,401866627,2026-09-05,1,Maine,Appalachian State,,,,,,,,,,,,,
