market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-05,2026-05-06,2026,,Alabama,DraftKings,Over Odds,+105,+100,-5.0,1.22,Alabama DraftKings over +105 → +100
Win Total,2026-05-05,2026-05-06,2026,,Alabama,DraftKings,Under Odds,-125,-120,5.0,-1.01,Alabama DraftKings under -125 → -120
Win Total,2026-05-05,2026-05-06,2026,,Arizona,DraftKings,Over Odds,-125,-105,20.0,-4.34,Arizona DraftKings over -125 → -105
Win Total,2026-05-05,2026-05-06,2026,,Arizona,DraftKings,Under Odds,+105,-115,-220.0,4.71,Arizona DraftKings under +105 → -115
Win Total,2026-05-05,2026-05-06,2026,,Arizona,FanDuel,Over Odds,+114,+116,2.0,-0.43,Arizona FanDuel over +114 → +116
Win Total,2026-05-05,2026-05-06,2026,,Arizona,FanDuel,Under Odds,-140,-142,-2.0,0.34,Arizona FanDuel under -140 → -142
Win Total,2026-05-05,2026-05-06,2026,,Arkansas,FanDuel,Over Odds,+138,+136,-2.0,0.36,Arkansas FanDuel over +138 → +136
Win Total,2026-05-05,2026-05-06,2026,,Arkansas,FanDuel,Under Odds,-170,-168,2.0,-0.28,Arkansas FanDuel under -170 → -168
Win Total,2026-05-05,2026-05-06,2026,,Auburn,FanDuel,Over Odds,-106,-110,-4.0,0.92,Auburn FanDuel over -106 → -110
Win Total,2026-05-05,2026-05-06,2026,,Auburn,FanDuel,Under Odds,-114,-110,4.0,-0.89,Auburn FanDuel under -114 → -110
Win Total,2026-05-05,2026-05-06,2026,,BYU,FanDuel,Over Odds,-120,-124,-4.0,0.81,BYU FanDuel over -120 → -124
Win Total,2026-05-05,2026-05-06,2026,,BYU,FanDuel,Under Odds,-102,+102,204.0,-0.99,BYU FanDuel under -102 → +102
Win Total,2026-05-05,2026-05-06,2026,,Baylor,FanDuel,Over Odds,+106,+136,30.0,-6.17,Baylor FanDuel over +106 → +136
Win Total,2026-05-05,2026-05-06,2026,,Baylor,FanDuel,Under Odds,-130,-168,-38.0,6.16,Baylor FanDuel under -130 → -168
Win Total,2026-05-05,2026-05-06,2026,,Boston College,FanDuel,Over Odds,+118,+116,-2.0,0.42,Boston College FanDuel over +118 → +116
Win Total,2026-05-05,2026-05-06,2026,,Boston College,FanDuel,Under Odds,-144,-142,2.0,-0.34,Boston College FanDuel under -144 → -142
Win Total,2026-05-05,2026-05-06,2026,,California,FanDuel,Over Odds,-110,+112,222.0,-5.21,California FanDuel over -110 → +112
Win Total,2026-05-05,2026-05-06,2026,,California,FanDuel,Under Odds,-110,-140,-30.0,5.95,California FanDuel under -110 → -140
Win Total,2026-05-05,2026-05-06,2026,,Central Florida,BetMGM,Over Odds,-145,-160,-15.0,2.35,Central Florida BetMGM over -145 → -160
Win Total,2026-05-05,2026-05-06,2026,,Central Florida,BetMGM,Under Odds,+115,+125,10.0,-2.07,Central Florida BetMGM under +115 → +125
Win Total,2026-05-05,2026-05-06,2026,,Central Florida,FanDuel,Over Odds,-162,-168,-6.0,0.85,Central Florida FanDuel over -162 → -168
Win Total,2026-05-05,2026-05-06,2026,,Central Florida,FanDuel,Under Odds,+132,+136,4.0,-0.73,Central Florida FanDuel under +132 → +136
Win Total,2026-05-05,2026-05-06,2026,,Cincinnati,DraftKings,Over Odds,-125,-115,10.0,-2.07,Cincinnati DraftKings over -125 → -115
Win Total,2026-05-05,2026-05-06,2026,,Cincinnati,DraftKings,Under Odds,+105,-105,-210.0,2.44,Cincinnati DraftKings under +105 → -105
Win Total,2026-05-05,2026-05-06,2026,,Cincinnati,FanDuel,Over Odds,-110,+116,226.0,-6.08,Cincinnati FanDuel over -110 → +116
Win Total,2026-05-05,2026-05-06,2026,,Cincinnati,FanDuel,Under Odds,-110,-142,-32.0,6.3,Cincinnati FanDuel under -110 → -142
Win Total,2026-05-05,2026-05-06,2026,,Colorado,FanDuel,Over Odds,+132,+130,-2.0,0.37,Colorado FanDuel over +132 → +130
Win Total,2026-05-05,2026-05-06,2026,,Colorado,FanDuel,Under Odds,-162,-158,4.0,-0.59,Colorado FanDuel under -162 → -158
Win Total,2026-05-05,2026-05-06,2026,,Duke,DraftKings,Over Odds,-140,-130,10.0,-1.81,Duke DraftKings over -140 → -130
Win Total,2026-05-05,2026-05-06,2026,,Duke,DraftKings,Under Odds,+120,+110,-10.0,2.16,Duke DraftKings under +120 → +110
Win Total,2026-05-05,2026-05-06,2026,,Duke,FanDuel,Over Odds,-115,-118,-3.0,0.64,Duke FanDuel over -115 → -118
Win Total,2026-05-05,2026-05-06,2026,,Duke,FanDuel,Under Odds,-105,-104,1.0,-0.24,Duke FanDuel under -105 → -104
Win Total,2026-05-05,2026-05-06,2026,,Florida,FanDuel,Over Odds,+112,+114,2.0,-0.44,Florida FanDuel over +112 → +114
Win Total,2026-05-05,2026-05-06,2026,,Florida,FanDuel,Under Odds,-138,-140,-2.0,0.35,Florida FanDuel under -138 → -140
