metric,value
historical_unique_games,198
2026_schedule_games_scanned,902
2026_rp_teams_available,138
2026_candidate_rows,0
2026_unique_candidate_games,0
candidate_a_rows,0
candidate_b_rows,0
estimate_warning,Replace estimated 1H spreads with actual 1H openers before betting.
