snapshot_prev,snapshot_latest,team,book,previous_win_total,latest_win_total,previous_over_odds,latest_over_odds,previous_under_odds,latest_under_odds,source_file
2026-07-01T16:39:50+00:00,2026-07-01T16:41:00+00:00,Eastern Michigan,Caesars,5.5,5.5,-155.0,-170.0,125.0,135.0,market_win_totals_history.csv
2026-07-01T16:41:00+00:00,2026-07-01T16:57:15+00:00,Arkansas,Caesars,4.5,4.5,125.0,135.0,-160.0,-170.0,market_win_totals_history.csv
2026-07-01T16:41:00+00:00,2026-07-01T16:57:15+00:00,San Jose State,Caesars,5.5,5.5,140.0,145.0,-180.0,-190.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Air Force,BetMGM,6.5,7.5,-165.0,125.0,130.0,-160.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Air Force,Caesars,6.5,6.5,-190.0,-200.0,145.0,150.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Air Force,DraftKings,6.5,7.5,-160.0,120.0,125.0,-150.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,BYU,DraftKings,8.5,8.5,-125.0,-136.0,105.0,115.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,BYU,FanDuel,8.5,8.5,-124.0,-130.0,102.0,106.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Boise State,DraftKings,8.5,8.5,240.0,230.0,-330.0,-320.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Coastal Carolina Chanticleers,DraftKings,4.5,4.5,-146.0,-140.0,115.0,110.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Colorado Buffaloes,DraftKings,4.5,4.5,125.0,134.0,-150.0,-160.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Florida State,DraftKings,6.5,6.5,134.0,140.0,-160.0,-170.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Fresno State,DraftKings,7.5,7.5,200.0,190.0,-270.0,-260.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,NC State,Caesars,7.5,7.5,120.0,105.0,-150.0,-135.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Northwestern,FanDuel,5.5,5.5,-110.0,-108.0,-112.0,-112.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,Sam Houston State Bearkats,DraftKings,3.5,3.5,120.0,125.0,-150.0,-160.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,San Diego State,DraftKings,7.5,7.5,154.0,144.0,-200.0,-190.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,San Jose State,BetMGM,5.5,4.5,135.0,-155.0,-175.0,120.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,San Jose State,DraftKings,6.5,3.5,240.0,-180.0,-320.0,140.0,market_win_totals_history.csv
2026-07-02T12:14:41+00:00,2026-07-03T05:04:24+00:00,USC,Caesars,8.5,8.5,-115.0,-130.0,-115.0,100.0,market_win_totals_history.csv
2026-07-03T05:04:24+00:00,2026-07-03T12:04:48+00:00,UNLV,Caesars,7.5,7.5,-180.0,-200.0,140.0,150.0,market_win_totals_history.csv
2026-07-03T12:04:48+00:00,2026-07-04T12:04:30+00:00,Tulsa,Caesars,4.5,5.5,-220.0,100.0,160.0,-130.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Alabama,FanDuel,8.5,8.5,-120.0,-118.0,-102.0,-102.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Arizona,FanDuel,7.5,7.5,114.0,112.0,-140.0,-138.0,market_win_totals_history.csv
2026-07-04T12:04:30+00:00,2026-07-05T12:26:56+00:00,Auburn,FanDuel,6.5,6.5,-115.0,-118.0,-105.0,-104.0,market_win_totals_history.csv
