team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
Northern Illinois Huskies,DraftKings,3.5,-136.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Northwestern,BetMGM,5.5,-110.0,-118.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Northwestern,Caesars,5.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Northwestern,FanDuel,5.5,-110.0,-112.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Northwestern Wildcats,DraftKings,5.5,110.0,-130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Notre Dame,BetMGM,11.5,150.0,-200.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Notre Dame,Caesars,11.5,165.0,-220.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Notre Dame,DraftKings,11.5,160.0,-190.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Notre Dame,FanDuel,11.5,172.0,-215.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
OK State,BetMGM,5.5,-175.0,135.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio,BetMGM,6.5,-150.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio,Caesars,6.5,-165.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio Bobcats,DraftKings,6.5,-150.0,120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio State,BetMGM,9.5,-165.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio State,Caesars,9.5,-180.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio State,DraftKings,9.5,-166.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ohio State,FanDuel,9.5,-168.0,136.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma,BetMGM,7.5,-145.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma,Caesars,7.5,-170.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma,FanDuel,7.5,-115.0,-105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma Sooners,DraftKings,7.5,-136.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma State,Caesars,5.5,-200.0,150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma State,DraftKings,6.5,134.0,-160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Oklahoma State,FanDuel,5.5,-176.0,142.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Old Dominion,BetMGM,7.5,-120.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Old Dominion,Caesars,7.5,-120.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Old Dominion Monarchs,DraftKings,7.5,-120.0,-110.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ole Miss,BetMGM,7.5,-190.0,145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Ole Miss,Caesars,7.5,-200.0,160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
