game_id,season,week,away_team,home_team,frozen_away_market_rating,frozen_home_market_rating,predicted_away_market_move,predicted_home_market_move,market_fair_spread,current_away_sp_plus,current_home_sp_plus,predicted_away_sp_plus_move,predicted_home_sp_plus_move,sp_plus_fair_spread,no_update_market_spread,current_lambda_050_spread,simple_blend,historical_espn_bet_opening_field,actual_close,actual_result,timing_limitation_flag,neutral_site_uncertainty,market_history_source,market_net_move,sp_plus_net_move,alignment_category,confidence_tier,aligned_fair_spread,confidence,no_future_market_feature,sp_plus_prediction_oos,market_prediction_oos,home_key,away_key,archive_row,home_team_tracker,away_team_tracker,fpi_calibrated,teamrankings_calibrated,opening_home_spread,close_home_spread,mapping_status,fixed_weight_ensemble,ridge_stack,average_sp_fpi_tr,average_all_four,agreement_category,selected_prediction,clv_vs_timing_unknown_open
401628361,2024,3,UTSA,Texas,7.166666666667503,10.666666666666933,-0.6955406757675526,0.5401376648807898,-7.235678340647772,-1.6,29.6,-5.542506960719313,0.8161133937771203,-40.05862035449643,-5.99999999999943,-30.49999999999943,-23.647149347572103,-33.5,-36.5,49,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,-1.2356783406483425,-6.358620354496434,Same meaningful direction,Strong agreement,-23.647149347572103,0.0295657308459611,True,True,True,texas,utsa,129.0,Texas,Texas-San Antonio,-38.25044208034612,-39.76552790319836,-34.0,-36.5,matched,-35.93581786293221,-34.564691795368354,-39.358196779346976,-31.32756716967217,all four agree meaningfully,-35.93581786293221,1.9358178629322111
401628393,2024,8,Kentucky,Florida,4.185805014654379,3.6256478435837063,0.8901128490259191,-0.7575884314010468,-0.2921415485023608,15.2,14.2,-2.0752714670068957,-0.8075017788241377,-2.7677696881827583,-1.939842828929327,-15.439842828929327,-1.5299556183425596,-2.0,2.5,28,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,1.647701280426966,-1.267769688182758,Opposite directions,Conflict,-1.5299556183425596,0.2877177764166552,True,True,True,florida,kentucky,362.0,Florida,Kentucky,-3.131945447589669,-2.473727732239107,-1.5,2.5,matched,-2.5482603956000225,-2.2516276595903757,-2.791147622670511,-2.1663961041284736,broad conflict,-2.5482603956000225,1.0482603956000225
401628396,2024,8,South Carolina,Oklahoma,2.771778961185923,10.679218797235029,-1.0596631518725317,-0.9911178562052996,-10.47598513171634,11.5,16.1,0.2631220782061685,-2.921079037278896,-3.915798884514937,-10.407439836049106,5.592560163950894,-7.195892008115638,-3.0,2.5,-26,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,-0.0685452956672321,3.184201115485065,SP+ only meaningful,Moderate agreement,-7.195892008115638,0.1322718736420251,True,True,True,oklahoma,south carolina,383.0,Oklahoma,South Carolina,-5.309233918593668,-5.307173333463952,-2.5,2.5,matched,-5.685741302446176,-4.908539456876874,-4.844068712190852,-6.252047817072224,insufficient/weak coverage,-5.685741302446176,3.185741302446176
401628397,2024,8,Alabama,Tennessee,19.43559486636076,16.106175592231963,0.7040828201680221,0.6036232319755749,0.9298788623212424,28.2,22.9,-1.492662786276401,-0.809649409041872,2.11698662276547,0.8294192741287958,-4.170580725871204,1.5234327425433565,2.5,3.5,7,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,0.1004595881924472,-0.683013377234529,Both no meaningful change,No meaningful change,1.5234327425433565,0.4572248419057724,True,True,True,tennessee,alabama,395.0,Tennessee,Alabama,1.6405931205485584,-0.828501254108551,1.5,3.5,matched,0.6295232950846743,1.0351465276619698,0.9763594964018258,0.96473933788168,broad conflict,0.6295232950846743,0.8704767049153257
401628398,2024,8,Georgia,Texas,16.711154320209268,21.65418993062053,1.7441793577597322,0.624337908980611,-6.323194161632138,27.9,30.5,-1.4469129726155676,0.8081582112643954,-7.355071183879964,-7.443035610411261,-26.94303561041126,-6.839132672756051,-3.5,-4.5,-15,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,1.119841448779121,-2.255071183879963,Opposite directions,Conflict,-6.839132672756051,0.4921557697885275,True,True,True,texas,georgia,396.0,Texas,Georgia,-10.072052448914912,-7.866414521667039,-3.5,-4.5,matched,-8.543213322783991,-7.821653270466299,-8.431179384820638,-7.904183079023513,broad conflict,-8.543213322783991,5.043213322783991
401628399,2024,8,Ball State,Vanderbilt,-13.04321367105315,-3.5648054206494826,-0.034973438424103,-0.3160830521474936,-11.697298636680276,-23.3,3.5,0.1876299577959035,1.251653228154772,-30.36402327035887,-11.978408250403668,-22.478408250403668,-21.030660953519572,-26.5,-27.5,10,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,0.2811096137233906,-1.0640232703588686,SP+ only meaningful,Moderate agreement,-21.030660953519572,0.0508473077559409,True,True,True,vanderbilt,ball state,403.0,Vanderbilt,Ball St.,-31.252014852118982,-30.259774918444048,-26.0,-27.5,matched,-28.810848098929128,-27.46220339233151,-30.62527101364063,-25.893277919400543,insufficient/weak coverage,-28.810848098929128,2.810848098929128
401628400,2024,9,Missouri,Alabama,11.420484062760634,19.590913464031154,-0.0940961442607382,-0.3018423773556669,-10.462683168175593,18.4,26.3,-1.549657881843405,-1.7676226718406731,-10.182035210002734,-10.67042940127052,-5.670429401270519,-10.322359189089164,-14.0,-16.5,34,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,0.2077462330949286,0.2179647899972683,Both no meaningful change,No meaningful change,-10.322359189089164,0.7808547178154502,True,True,True,alabama,missouri,408.0,Alabama,Missouri,-13.192184588166176,-15.452736615269043,-14.5,-16.5,matched,-13.522440319191922,-12.21735872660965,-12.942318804479319,-12.322409895403386,only external models agree,-13.522440319191922,-0.9775596808080778
401628401,2024,9,Auburn,Kentucky,5.159409416660224,5.077837461139763,-0.4460478444729143,0.1331963935367076,-2.9976722824891615,12.6,12.8,-1.1220419632619745,-2.9022413636548636,-0.9198005996071128,-2.4184280444795396,13.08157195552046,-1.9587364410481372,-2.5,-1.5,-14,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,-0.5792442380096219,1.7801994003928892,SP+ only meaningful,Moderate agreement,-1.9587364410481372,0.3248998343763385,True,True,True,kentucky,auburn,432.0,Kentucky,Auburn,-0.16733391341011838,-2.473727732239107,-3.0,-1.5,matched,-1.4481719464693177,-1.0096153895049975,-1.1869540817521127,-1.639633631936375,insufficient/weak coverage,-1.4481719464693177,-1.5518280535306823
401628402,2024,9,Oklahoma,Ole Miss,9.013835106191369,16.528351839631423,-0.2297164021050877,0.1103156466449519,-10.354548782190092,12.5,27.8,-3.4829502902237746,-1.2832214532519384,-19.99972883697184,-10.014516733440054,-18.514516733440058,-15.177138809580969,-20.5,-19.5,12,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,-0.3400320487500396,-2.199728836971836,SP+ only meaningful,Moderate agreement,-15.177138809580969,0.0939392283506568,True,True,True,ole miss,oklahoma,439.0,Mississippi,Oklahoma,-16.953839223338264,-15.818342499298058,-19.5,-19.5,matched,-16.144300450970725,-15.556427740271562,-17.59063685320272,-15.781614835449563,insufficient/weak coverage,-16.144300450970725,-3.355699549029275
401628404,2024,9,LSU,Texas A&M,10.25954168874816,8.727080551992055,-0.0591425477074722,1.1830987698750806,-2.209780180826447,18.5,17.6,0.5957572079663965,-0.994831651441213,-0.0094111405923911,-0.9675388632438952,15.532461136756105,-1.1095956607094193,-2.5,-1.5,15,TIMING-UNKNOWN ESPN BET OPENING-FIELD DIAGNOSTIC; not proven Saturday DK/FD,historical source lacks validated neutral-site treatment,data/research/pbp_market_modeling_2021_2025/full_game_modeling_rows.csv,-1.2422413175825529,1.5905888594076094,Opposite directions,Conflict,-1.1095956607094193,0.3124639650703738,True,True,True,texas a m,lsu,452.0,Texas A&M,LSU,-0.6144556529912966,-0.7370997831012979,-3.0,-1.5,matched,-0.7625413065789216,-0.39253683349004054,-0.45365552556166183,-0.8926866893778581,insufficient/weak coverage,-0.7625413065789216,-2.2374586934210785
