season,model,n,mae,median_absolute_error,rmse,signed_bias,correlation
2024,FPI_raw,589,2.9881324278438033,2.4800000000000004,3.876668729905374,-0.4201867572156198,0.9559899960858538
2024,FPI_calibrated,589,2.9516553431440107,2.432889110653387,3.8283173612540864,0.017334171445690147,0.9559899960858536
2024,TeamRankings_raw,589,3.0807979626485573,2.6,3.87174916490277,-0.38269949066213926,0.9631728093016501
2024,TeamRankings_calibrated,589,2.8201465601854663,2.275013050659785,3.5566981446548898,-0.4539296753438745,0.9631728093016496
2025,FPI_raw,597,2.917202680067002,2.2399999999999984,3.7563916940947446,0.3967001675041876,0.9648900295560981
2025,FPI_calibrated,597,3.0471768715594343,2.4534930814365117,3.9382200402228418,0.807394430347027,0.9648900295560984
2025,TeamRankings_raw,597,2.617571189279732,2.2,3.2917795434709887,-0.10403685092127304,0.9759620069555851
2025,TeamRankings_calibrated,597,2.3149718833465864,1.9023737102749365,2.950143013522311,-0.21138088671630664,0.9759620069555852
