season,model,n,mae,median_absolute_error,rmse,signed_bias,correlation
2025,Market-rating fair spread,357,4.648632721308848,3.7453707450081115,6.0561304695686164,0.5134050088944924,0.884124055471106
2025,Predicted updated-SP+ fair spread,357,3.4926622590413867,2.9279502836811204,4.432804787787851,0.3875785404200533,0.9467813841405319
2025,50/50 market-SP+ blend,357,3.02547109333643,2.35619458118342,3.920798693080994,0.45049177465727275,0.9496967279916959
2025,FPI direct calibrated,357,2.624221480639454,2.2136978424877767,3.3560829578689226,0.6919103397640868,0.9667724534024519
2025,TeamRankings direct calibrated,357,2.2459983284456584,1.746921734237258,2.913353088790577,-0.23179758074240603,0.9719573430473017
2025,Average SP+/FPI/TR,357,2.1890591848802203,1.6964832419191964,2.80097215628052,0.282563766480578,0.973764252841405
2025,Average market/SP+/FPI/TR,357,2.336209741354381,1.8422244598845232,2.98208568337228,0.34027407708405666,0.9724499838636546
2025,2024-selected fixed-weight ensemble,357,2.121926017907121,1.7149602581788326,2.721044170370766,0.27414345854012667,0.9765990743674233
2025,2024 ridge stacking,357,2.300115630726422,1.771090721883965,2.9436415854514326,0.693493570064441,0.975886367534565
2025,Timing-unknown ESPN Bet opening field,357,1.5994397759103642,1.0,2.826941215988663,-0.22408963585434175,0.9730698114746994
