season,week,game_id,away_team,home_team,home_key,away_key,mapping_status,archive_row
2024,8,401645349,North Texas,Memphis,memphis,north texas,matched,372.0
2024,9,401645353,Charlotte,Memphis,memphis,charlotte,matched,434.0
2024,9,401645354,Tulane,North Texas,north texas,tulane,matched,442.0
2024,9,401645355,UTSA,Tulsa,tulsa,utsa,matched,454.0
2024,10,401645356,Tulane,Charlotte,charlotte,tulane,matched,471.0
2024,10,401645358,Tulsa,UAB,uab,tulsa,matched,507.0
2024,10,401645359,Memphis,UTSA,utsa,memphis,matched,505.0
2024,10,401645360,Navy,Rice,rice,navy,matched,497.0
2024,11,401645362,Rice,Memphis,memphis,rice,matched,530.0
2024,11,401645364,Temple,Tulane,tulane,temple,matched,551.0
2024,12,401645366,North Texas,UTSA,utsa,north texas,matched,604.0
2024,12,401645367,UAB,Memphis,memphis,uab,matched,585.0
2024,12,401645370,Tulane,Navy,navy,tulane,matched,587.0
2024,13,401645373,Rice,UAB,uab,rice,matched,669.0
2024,13,401645374,Temple,UTSA,utsa,temple,matched,667.0
2024,14,401645376,Memphis,Tulane,tulane,memphis,matched,731.0
2024,14,401645377,UAB,Charlotte,charlotte,uab,matched,688.0
2024,14,401645378,UTSA,Army,army,utsa,matched,680.0
2024,14,401645381,North Texas,Temple,temple,north texas,matched,727.0
2024,15,401673462,Tulane,Army,army,tulane,matched,744.0
2024,15,401673463,Clemson,SMU,smu,clemson,matched,750.0
2024,15,401673464,Penn State,Oregon,oregon,penn state,matched,749.0
2024,15,401673465,Iowa State,Arizona State,arizona state,iowa state,matched,743.0
2024,15,401673467,Ohio,Miami (OH),miami ohio,ohio,matched,748.0
2024,15,401673468,UNLV,Boise State,boise state,unlv,matched,745.0
2024,15,401673469,Georgia,Texas,texas,georgia,matched,751.0
2024,15,401673470,Marshall,Louisiana,louisiana,marshall,unmatched,
2025,3,401752696,Wisconsin,Alabama,alabama,wisconsin,matched,98.0
2025,3,401752697,South Alabama,Auburn,auburn,south alabama,matched,102.0
2025,3,401752699,Florida,LSU,lsu,florida,matched,115.0
2025,3,401752700,Arkansas,Ole Miss,ole miss,arkansas,matched,119.0
2025,4,401752708,Arkansas,Memphis,memphis,arkansas,matched,168.0
2025,4,401752709,Florida,Miami,miami,florida,unmatched,
2025,4,401752711,Tulane,Ole Miss,ole miss,tulane,matched,172.0
2025,4,401752713,South Carolina,Missouri,missouri,south carolina,matched,174.0
2025,4,401752714,Auburn,Oklahoma,oklahoma,auburn,matched,177.0
2025,4,401752715,UAB,Tennessee,tennessee,uab,matched,184.0
2025,4,401752716,Georgia State,Vanderbilt,vanderbilt,georgia state,matched,189.0
2025,5,401752717,Notre Dame,Arkansas,arkansas,notre dame,matched,197.0
2025,5,401752718,Alabama,Georgia,georgia,alabama,matched,206.0
2025,5,401752719,LSU,Ole Miss,ole miss,lsu,matched,217.0
2025,5,401752722,Kentucky,South Carolina,south carolina,kentucky,matched,233.0
2025,5,401752724,Auburn,Texas A&M,texas a m,auburn,matched,237.0
2025,5,401752725,Utah State,Vanderbilt,vanderbilt,utah state,matched,241.0
2025,6,401752726,Vanderbilt,Alabama,alabama,vanderbilt,matched,247.0
2025,6,401752727,Texas,Florida,florida,texas,matched,260.0
2025,6,401752728,Kentucky,Georgia,georgia,kentucky,matched,263.0
2025,6,401752729,Kent State,Oklahoma,oklahoma,kent state,unmatched,
2025,7,401752731,Georgia,Auburn,auburn,georgia,matched,299.0
2025,7,401752732,South Carolina,LSU,lsu,south carolina,matched,319.0
2025,7,401752734,Alabama,Missouri,missouri,alabama,matched,326.0
2025,7,401752735,Arkansas,Tennessee,tennessee,arkansas,matched,337.0
2025,7,401752736,Oklahoma,Texas,texas,oklahoma,matched,338.0
2025,7,401752737,Florida,Texas A&M,texas a m,florida,matched,339.0
2025,8,401752738,Tennessee,Alabama,alabama,tennessee,matched,353.0
2025,8,401752739,Texas A&M,Arkansas,arkansas,texas a m,matched,356.0
2025,8,401752740,Missouri,Auburn,auburn,missouri,matched,357.0
2025,8,401752742,Ole Miss,Georgia,georgia,ole miss,matched,371.0
2025,8,401752743,Texas,Kentucky,kentucky,texas,matched,378.0
2025,8,401752744,Oklahoma,South Carolina,south carolina,oklahoma,matched,397.0
2025,8,401752745,LSU,Vanderbilt,vanderbilt,lsu,matched,407.0
2025,9,401752746,Auburn,Arkansas,arkansas,auburn,matched,412.0
2025,9,401752747,Tennessee,Kentucky,kentucky,tennessee,matched,429.0
2025,9,401752748,Texas A&M,LSU,lsu,texas a m,matched,430.0
2025,9,401752750,Ole Miss,Oklahoma,oklahoma,ole miss,matched,445.0
2025,9,401752751,Alabama,South Carolina,south carolina,alabama,matched,451.0
2025,9,401752752,Missouri,Vanderbilt,vanderbilt,missouri,matched,457.0
2025,10,401752754,Kentucky,Auburn,auburn,kentucky,matched,466.0
2025,10,401752755,Georgia,Florida,florida,georgia,matched,476.0
2025,10,401752756,South Carolina,Ole Miss,ole miss,south carolina,matched,491.0
