check,passed,detail
exists:source_audit.csv,True,
exists:source_summary.json,True,
exists:game_predictions.csv,True,
exists:team_mapping_audit.csv,True,
exists:direct_model_comparison.csv,True,
exists:reconstruction_audit.csv,True,
exists:reconstructed_weekly_ratings.csv,True,
exists:movement_predictions.csv,True,
exists:model_correlations.csv,True,
exists:incremental_value.csv,True,
exists:ensemble_comparison.csv,True,
exists:confidence_results.csv,True,
exists:holdout_2025_results.csv,True,
exists:game_level_audit.csv,True,
exists:final_selection.json,True,
exists:summary.json,True,
2025 locked,True,
canonical sign conversion,True,
source columns explicit,True,
timing limitation explicit,True,
reconstruction refused,True,
identical holdout sample,True,
local report exists,True,
