category,n,mae,median_absolute_error,rmse,signed_bias,correlation,positive_clv_rate,average_clv
all four agree meaningfully,84,1.8637969333557503,1.5405472047771236,2.404142359600194,-0.005160675693262221,0.9916328072661903,0.5,-0.24483932430673777
broad conflict,66,2.3986384931986944,1.96232483608244,3.204455817125798,0.39676480067281167,0.9356354068999307,0.3787878787878788,-1.0331284370364482
insufficient/weak coverage,176,2.0705054681934327,1.6800795226866727,2.6004106147538284,0.5139215707465297,0.9704206903351362,0.3977272727272727,-0.587785207110166
market and SP+ agree; external confirm/neutral,10,2.781846175070928,2.8833172037380805,3.1195036804345166,-0.7883595598848648,0.9733732771510883,0.5,0.3383595598848648
market/SP+ conflict; FPI/TR favor one side,7,1.802200000457599,0.9265501953525579,2.4918000712296524,0.4208046259438917,0.9952717119947776,0.7142857142857143,0.7220525169132512
only external models agree,14,2.701120091706346,2.9550972740711456,3.263539202269028,-0.9568570443924378,0.976345715457697,0.5714285714285714,0.4211427586781521
