kind,left,right,correlation
prediction,market_fair_spread,market_fair_spread,1.0
prediction,market_fair_spread,sp_plus_fair_spread,0.8798908585030829
prediction,market_fair_spread,fpi_calibrated,0.8824389213581987
prediction,market_fair_spread,teamrankings_calibrated,0.8871525452538381
prediction,sp_plus_fair_spread,market_fair_spread,0.8798908585030829
prediction,sp_plus_fair_spread,sp_plus_fair_spread,1.0
prediction,sp_plus_fair_spread,fpi_calibrated,0.9512123895745651
prediction,sp_plus_fair_spread,teamrankings_calibrated,0.9591966828618946
prediction,fpi_calibrated,market_fair_spread,0.8824389213581987
prediction,fpi_calibrated,sp_plus_fair_spread,0.9512123895745651
prediction,fpi_calibrated,fpi_calibrated,1.0
prediction,fpi_calibrated,teamrankings_calibrated,0.9744175814582563
prediction,teamrankings_calibrated,market_fair_spread,0.8871525452538381
prediction,teamrankings_calibrated,sp_plus_fair_spread,0.9591966828618946
prediction,teamrankings_calibrated,fpi_calibrated,0.9744175814582563
prediction,teamrankings_calibrated,teamrankings_calibrated,1.0
residual,market_fair_spread,market_fair_spread,1.0
residual,market_fair_spread,sp_plus_fair_spread,0.08943377350579304
residual,market_fair_spread,fpi_calibrated,0.5269098349937402
residual,market_fair_spread,teamrankings_calibrated,0.24194402088737957
residual,sp_plus_fair_spread,market_fair_spread,0.08943377350579304
residual,sp_plus_fair_spread,sp_plus_fair_spread,1.0
residual,sp_plus_fair_spread,fpi_calibrated,0.28604100817774736
residual,sp_plus_fair_spread,teamrankings_calibrated,0.49366673192123567
residual,fpi_calibrated,market_fair_spread,0.5269098349937402
residual,fpi_calibrated,sp_plus_fair_spread,0.28604100817774736
residual,fpi_calibrated,fpi_calibrated,1.0
residual,fpi_calibrated,teamrankings_calibrated,0.5355276315555197
residual,teamrankings_calibrated,market_fair_spread,0.24194402088737957
residual,teamrankings_calibrated,sp_plus_fair_spread,0.49366673192123567
residual,teamrankings_calibrated,fpi_calibrated,0.5355276315555197
residual,teamrankings_calibrated,teamrankings_calibrated,1.0
