lambda,n,mae,rmse,direction_accuracy,correlation,mean_prediction,mean_actual
0.8,679,3.493030016843573,4.460549657569175,0.6671575846833578,0.47555702433572633,-0.5335687477151841,-0.061248077964457595
0.75,679,3.4944774643950463,4.44774530716152,0.6671575846833578,0.4755570243357263,-0.5002207009829851,-0.061248077964457595
0.85,679,3.4977170479399526,4.480031465292528,0.6671575846833578,0.47555702433572644,-0.5669167944473832,-0.061248077964457595
0.7,679,3.5022096247072656,4.441676163254324,0.6671575846833578,0.4755570243357265,-0.4668726542507861,-0.061248077964457595
0.9,679,3.5074401118694385,4.506104122686165,0.6671575846833578,0.4755570243357265,-0.6002648411795821,-0.061248077964457595
0.65,679,3.511570333843469,4.4423698307517645,0.6671575846833578,0.47555702433572633,-0.43352460751858707,-0.061248077964457595
0.95,679,3.5226766502507747,4.538654046198593,0.6671575846833578,0.4755570243357263,-0.6336128879117813,-0.061248077964457595
0.6,679,3.525078423294336,4.449823146961321,0.6671575846833578,0.47555702433572633,-0.4001765607863881,-0.061248077964457595
0.55,679,3.542305459944979,4.4640022532923895,0.6671575846833578,0.4755570243357264,-0.3668285140541892,-0.061248077964457595
1.0,679,3.5429589611951853,4.577543062579307,0.6671575846833578,0.4755570243357262,-0.6669609346439802,-0.061248077964457595
0.5,679,3.5641783671091773,4.484843358209269,0.6671575846833578,0.4755570243357262,-0.3334804673219901,-0.061248077964457595
1.05,679,3.567181830079948,4.622611186393305,0.6671575846833578,0.4755570243357264,-0.7003089813761793,-0.061248077964457595
0.45,679,3.5926318907893195,4.512254151757804,0.6671575846833578,0.4755570243357265,-0.30013242058979106,-0.061248077964457595
1.1,679,3.5974706155607423,4.673679666331079,0.6671575846833578,0.4755570243357264,-0.7336570281083784,-0.061248077964457595
0.4,679,3.6253033314840666,4.546115799728903,0.6671575846833578,0.47555702433572633,-0.26678437385759207,-0.061248077964457595
1.15,679,3.6315833228089773,4.730554176678682,0.6671575846833578,0.4755570243357265,-0.7670050748405771,-0.061248077964457595
0.35,679,3.66208073077143,4.586285419720569,0.6671575846833578,0.4755570243357265,-0.23343632712539306,-0.061248077964457595
1.2,679,3.670860629114328,4.793028037223979,0.6671575846833578,0.47555702433572633,-0.8003531215727762,-0.061248077964457595
0.3,679,3.702637930653319,4.6325989239136245,0.6671575846833578,0.47555702433572633,-0.20008828039319404,-0.061248077964457595
