lambda,n,mae,rmse,direction_accuracy,correlation,mean_prediction,mean_actual
1.35,56,11.732200647249176,22.47160599582428,0.8928571428571429,1.461141145470941e-16,-55.49282273210712,-47.0892279241794
1.3,56,11.852729289830249,21.786547401728964,0.8928571428571429,,-53.43753300128834,-47.0892279241794
1.4,56,12.115118038102334,23.318253282151442,0.8928571428571429,-1.461141145470941e-16,-57.548112462925886,-47.0892279241794
1.25,56,12.381399479224338,21.27869007009639,0.8928571428571429,-1.461141145470941e-16,-51.382243270469544,-47.0892279241794
1.2,56,13.12161175667209,20.96091806829731,0.8928571428571429,1.461141145470941e-16,-49.32695353965077,-47.0892279241794
1.45,56,13.277730942334282,24.309611843564795,0.8928571428571429,,-59.60340219374468,-47.0892279241794
1.15,56,14.093273913000047,20.841927770428168,0.8928571428571429,,-47.27166380883198,-47.0892279241794
1.5,56,14.945318437037978,25.428762289860334,0.8928571428571429,1.461141145470941e-16,-61.65869192456346,-47.0892279241794
1.1,56,15.506219162954027,20.92511055800746,0.8928571428571429,-1.461141145470941e-16,-45.2163740780132,-47.0892279241794
1.55,56,16.82375504153269,26.65961565662339,0.8928571428571429,-1.461141145470941e-16,-63.71398165538223,-47.0892279241794
1.05,56,16.974283256396017,21.20808766242596,0.8928571428571429,1.461141145470941e-16,-43.16108434719443,-47.0892279241794
1.0,56,18.442347349838005,21.68303817468095,0.8928571428571429,,-41.10579461637564,-47.0892279241794
1.6,56,18.732238363007273,27.987438147832556,0.8928571428571429,,-65.76927138620103,-47.0892279241794
0.95,56,19.910411443279997,22.33772008123069,0.8928571428571429,,-39.050504885556855,-47.0892279241794
1.65,56,20.735333192840404,29.399093743750758,0.8928571428571429,,-67.8245611170198,-47.0892279241794
0.9,56,21.378475536721982,23.156894526800876,0.8928571428571429,1.461141145470941e-16,-36.995215154738084,-47.0892279241794
1.7,56,22.79062292365919,30.883088634140137,0.8928571428571429,1.461141145470941e-16,-69.8798508478386,-47.0892279241794
0.85,56,22.846539630163967,24.123810262447396,0.8928571428571429,1.461141145470941e-16,-34.9399254239193,-47.0892279241794
0.8,56,24.314603723605956,25.221481137850777,0.8928571428571429,,-32.88463569310051,-47.0892279241794
1.75,56,24.845912654477974,32.42949345841967,0.8928571428571429,,-71.93514057865737,-47.0892279241794
0.75,56,25.78266781704794,26.433623129464884,0.8928571428571429,1.461141145470941e-16,-30.82934596228173,-47.0892279241794
1.8,56,26.90120238529676,34.029801058931156,0.8928571428571429,1.461141145470941e-16,-73.99043030947617,-47.0892279241794
0.7,56,27.25073191048993,27.745237149273347,0.8928571428571429,-1.461141145470941e-16,-28.774056231462943,-47.0892279241794
0.65,56,28.718796003931917,29.14289568562933,0.8928571428571429,,-26.71876650064417,-47.0892279241794
1.85,56,28.956492116115545,35.676758625278694,0.8928571428571429,,-76.04572004029494,-47.0892279241794
0.6,56,30.186860097373906,30.614816432125576,0.8928571428571429,1.461141145470941e-16,-24.663476769825387,-47.0892279241794
1.9,56,31.011781846934316,37.364197885911864,0.8928571428571429,,-78.10100977111371,-47.0892279241794
0.55,56,31.654924190815883,32.15080143880145,0.8928571428571429,-1.461141145470941e-16,-22.6081870390066,-47.0892279241794
1.95,56,33.067071577753104,39.08687622545428,0.8928571428571429,,-80.1562995019325,-47.0892279241794
0.5,56,33.12298828425788,33.742102970872274,0.8928571428571429,,-20.55289730818782,-47.0892279241794
0.45,56,34.59105237769987,35.381258095097124,0.8928571428571429,1.461141145470941e-16,-18.497607577369042,-47.0892279241794
2.0,56,35.12236130857189,40.84033464879547,0.8928571428571429,,-82.21158923275128,-47.0892279241794
0.4,56,36.059116471141856,37.061918024328186,0.8928571428571429,,-16.442317846550257,-47.0892279241794
0.35,56,37.52718056458384,38.77868670606816,0.8928571428571429,-1.461141145470941e-16,-14.387028115731471,-47.0892279241794
0.3,56,38.99524465802583,40.52697557686695,0.8928571428571429,1.461141145470941e-16,-12.331738384912693,-47.0892279241794
0.25,56,40.463308751467814,42.302876827986196,0.8928571428571429,,-10.27644865409391,-47.0892279241794
0.2,56,41.931372844909795,44.10305497575867,0.8928571428571429,,-8.221158923275128,-47.0892279241794
0.15,56,43.39943693835179,45.92465525424256,0.8928571428571429,1.461141145470941e-16,-6.165869192456347,-47.0892279241794
0.1,56,44.939430174923004,47.76522682875572,0.8928571428571429,,-4.110579461637564,-47.0892279241794
0.05,56,46.519086963695536,49.62265873105913,0.8928571428571429,,-2.055289730818782,-47.0892279241794
0.0,56,48.133957466481725,51.495126534761056,0.0,,0.0,-47.0892279241794
-0.05,56,49.790966726413444,53.38104800280867,0.10714285714285714,,2.055289730818782,-47.0892279241794
-0.1,56,51.53175292893553,55.27904618099423,0.10714285714285714,,4.110579461637564,-47.0892279241794
-0.15,56,53.3772067836563,57.187918647543384,0.10714285714285714,-1.461141145470941e-16,6.165869192456347,-47.0892279241794
-0.2,56,55.33375276200699,59.106611842930114,0.10714285714285714,,8.221158923275128,-47.0892279241794
-0.25,56,57.365676578273295,61.03419959021983,0.10714285714285714,,10.27644865409391,-47.0892279241794
-0.3,56,59.42096630909209,62.96986507403357,0.10714285714285714,-1.461141145470941e-16,12.331738384912693,-47.0892279241794
-0.35,56,61.476256039910865,64.91288567780987,0.10714285714285714,1.461141145470941e-16,14.387028115731471,-47.0892279241794
-0.4,56,63.53154577072966,66.86262018762092,0.10714285714285714,,16.442317846550257,-47.0892279241794
-0.45,56,65.58683550154844,68.81849795979936,0.10714285714285714,-1.461141145470941e-16,18.497607577369042,-47.0892279241794
-0.5,56,67.64212523236722,70.78000972228661,0.10714285714285714,,20.55289730818782,-47.0892279241794
