lambda,n,mae,rmse,direction_accuracy,correlation,mean_prediction,mean_actual
0.8,1385,7.328379058362605,9.892021811869952,0.6180505415162455,0.35247677631416713,0.02873494933349031,0.08131284184282063
0.85,1385,7.329129142158619,9.883898644433286,0.6180505415162455,0.35247677631416724,0.030530883666833458,0.08131284184282063
0.75,1385,7.332981413268384,9.904233716307754,0.6180505415162455,0.35247677631416724,0.02693901500014719,0.08131284184282063
0.9,1385,7.334669955642303,9.879874299200623,0.6180505415162455,0.3524767763141673,0.032326818000176595,0.08131284184282063
0.7,1385,7.340841862396641,9.920519258367445,0.6180505415162455,0.35247677631416713,0.025143080666804044,0.08131284184282063
0.95,1385,7.343580896003164,9.879953784822856,0.6180505415162455,0.3524767763141672,0.034122752333519774,0.08131284184282063
0.65,1385,7.353412414936861,9.940858417243806,0.6180505415162455,0.3524767763141672,0.023347146333460883,0.08131284184282063
1.0,1385,7.3555114694666655,9.884137002294214,0.6180505415162455,0.3524767763141671,0.035918686666862897,0.08131284184282063
0.6,1385,7.36984885206559,9.965226372511083,0.6180505415162455,0.3524767763141672,0.021551212000117736,0.08131284184282063
1.05,1385,7.370902544414232,9.892418745567912,0.6180505415162455,0.35247677631416724,0.037714621000206054,0.08131284184282063
1.1,1385,7.389286101077457,9.904788733883267,0.6180505415162455,0.3524767763141672,0.03951055533354917,0.08131284184282063
0.55,1385,7.389856827562613,9.99359365327355,0.6180505415162455,0.3524767763141672,0.019755277666774585,0.08131284184282063
1.15,1385,7.410861314654273,9.92123167533719,0.6180505415162455,0.35247677631416713,0.04130648966689233,0.08131284184282063
0.5,1385,7.41308515410057,10.025926312603938,0.6180505415162455,0.3524767763141671,0.017959343333431448,0.08131284184282063
1.2,1385,7.434759493072491,9.941727360787093,0.6180505415162455,0.3524767763141672,0.04310242400023547,0.08131284184282063
0.45,1385,7.439491804357404,10.062186124915115,0.6180505415162455,0.3524767763141673,0.016163409000088298,0.08131284184282063
1.25,1385,7.462289345350857,9.966250786749601,0.6180505415162455,0.35247677631416713,0.04489835833357866,0.08131284184282063
0.4,1385,7.470725160208715,10.10233080366903,0.6180505415162455,0.35247677631416713,0.014367474666745155,0.08131284184282063
1.3,1385,7.493378782209115,9.994772305570901,0.6180505415162455,0.3524767763141672,0.046694292666921766,0.08131284184282063
0.35,1385,7.505626518217147,10.146314236644837,0.6180505415162455,0.35247677631416713,0.012571540333402022,0.08131284184282063
1.35,1385,7.5285050751833795,10.027257800798916,0.6180505415162455,0.3524767763141672,0.048490227000264986,0.08131284184282063
0.3,1385,7.545088772964348,10.19408673586697,0.6180505415162455,0.3524767763141672,0.010775606000058868,0.08131284184282063
1.4,1385,7.56795974214318,10.063668885392346,0.6180505415162455,0.35247677631416713,0.05028616133360809,0.08131284184282063
0.25,1385,7.589387339557467,10.245595299233312,0.6180505415162455,0.3524767763141671,0.008979671666715724,0.08131284184282063
