market,snapshot_prev,snapshot_latest,season,conference,team,book,field,previous,latest,change,implied_prob_change_pct,summary
Win Total,2026-05-04,2026-05-05,2026,,Minnesota,FanDuel,Over Odds,-164,+134,298.0,-19.39,Minnesota FanDuel over -164 → +134
Win Total,2026-05-04,2026-05-05,2026,,Minnesota,FanDuel,Under Odds,+134,-164,-298.0,19.39,Minnesota FanDuel under +134 → -164
Win Total,2026-05-04,2026-05-05,2026,,Minnesota,FanDuel,Win Total,5.5,6.5,1.0,,Minnesota FanDuel win total 5.5 → 6.5
