source,date,away,home,matched,game_id,match_method,status,rows
FPI,2026-09-05,Duquesne,Air Force,False,g23,,,
TeamRankings,2026-09-05,Duquesne,Air Force,False,g23,,,
Sagarin Rating,2026-09-05,Duquesne,Air Force,False,g23,,,
SP+,2026-09-05,East Carolina,Alabama,True,g24,,,
FPI,2026-09-05,East Carolina,Alabama,True,g24,,,
TeamRankings,2026-09-05,East Carolina,Alabama,True,g24,,,
Sagarin Rating,2026-09-05,East Carolina,Alabama,False,g24,,,
SP+,2026-09-05,Maine,Appalachian State,False,g25,,,
FPI,2026-09-05,Maine,Appalachian State,False,g25,,,
TeamRankings,2026-09-05,Maine,Appalachian State,False,g25,,,
Sagarin Rating,2026-09-05,Maine,Appalachian State,False,g25,,,
SP+,2026-09-05,Northern Arizona,Arizona,False,g26,,,
FPI,2026-09-05,Northern Arizona,Arizona,False,g26,,,
TeamRankings,2026-09-05,Northern Arizona,Arizona,False,g26,,,
Sagarin Rating,2026-09-05,Northern Arizona,Arizona,False,g26,,,
SP+,2026-09-05,Morgan State,Arizona State,False,g27,,,
FPI,2026-09-05,Morgan State,Arizona State,False,g27,,,
TeamRankings,2026-09-05,Morgan State,Arizona State,False,g27,,,
Sagarin Rating,2026-09-05,Morgan State,Arizona State,False,g27,,,
SP+,2026-09-05,North Alabama,Arkansas,False,g28,,,
FPI,2026-09-05,North Alabama,Arkansas,False,g28,,,
TeamRankings,2026-09-05,North Alabama,Arkansas,False,g28,,,
Sagarin Rating,2026-09-05,North Alabama,Arkansas,False,g28,,,
SP+,2026-09-05,Bryant,Army,False,g29,,,
FPI,2026-09-05,Bryant,Army,False,g29,,,
TeamRankings,2026-09-05,Bryant,Army,False,g29,,,
Sagarin Rating,2026-09-05,Bryant,Army,False,g29,,,
SP+,2026-09-05,Baylor,Auburn,True,g30,,,
FPI,2026-09-05,Baylor,Auburn,True,g30,,,
TeamRankings,2026-09-05,Baylor,Auburn,True,g30,,,
Sagarin Rating,2026-09-05,Baylor,Auburn,False,g30,,,
SP+,2026-09-05,Utah Tech,BYU,False,g31,,,
FPI,2026-09-05,Utah Tech,BYU,False,g31,,,
TeamRankings,2026-09-05,Utah Tech,BYU,False,g31,,,
Sagarin Rating,2026-09-05,Utah Tech,BYU,False,g31,,,
SP+,2026-09-05,Tarleton State,Bowling Green,False,g32,,,
FPI,2026-09-05,Tarleton State,Bowling Green,False,g32,,,
TeamRankings,2026-09-05,Tarleton State,Bowling Green,False,g32,,,
Sagarin Rating,2026-09-05,Tarleton State,Bowling Green,False,g32,,,
SP+,2026-09-05,UCLA,California,True,g33,,,
FPI,2026-09-05,UCLA,California,True,g33,,,
TeamRankings,2026-09-05,UCLA,California,True,g33,,,
Sagarin Rating,2026-09-05,UCLA,California,False,g33,,,
SP+,2026-09-05,The Citadel,Charlotte,False,g34,,,
FPI,2026-09-05,The Citadel,Charlotte,False,g34,,,
TeamRankings,2026-09-05,The Citadel,Charlotte,False,g34,,,
