game_id,week,date,away_team,home_team,neutral_site,site_spread_home,site_spread_text,site_total,blend_spread_home,blend_spread_text,blend_total,spread_sources_used,total_sources_used,spread_weight_detail,total_weight_detail,source_count_spread,source_count_total,dratings_spread_home,dratings_spread_text,dratings_total,spread_disagreement_dratings,total_disagreement_dratings,spread_weight_dratings,total_weight_dratings,massey_spread_home,massey_spread_text,massey_total,spread_disagreement_massey,total_disagreement_massey,spread_weight_massey,total_weight_massey,sagarin_homeaway_spread_home,sagarin_homeaway_spread_text,sagarin_homeaway_total,spread_disagreement_sagarin_homeaway,total_disagreement_sagarin_homeaway,spread_weight_sagarin_homeaway,total_weight_sagarin_homeaway,sagarin_predictor_spread_home,sagarin_predictor_spread_text,sagarin_predictor_total,spread_disagreement_sagarin_predictor,total_disagreement_sagarin_predictor,spread_weight_sagarin_predictor,total_weight_sagarin_predictor,spread_disagreement,total_disagreement
g16,1,2026-09-03,Massachusetts,Rutgers,False,34.8,Rutgers -34.8,54.499,34.9,Rutgers -34.9,54.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,35.0,Rutgers -35.0,54.5,0.2,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g17,1,2026-09-03,Idaho,Utah,False,,,,38.0,Utah -38.0,53.5,Massey Games,Massey Games,Massey Games:0.5,Massey Games:0.5,1,1,,,,,,0.0,0.0,38.0,Utah -38.0,53.5,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g18,1,2026-09-03,Akron,Wake Forest,False,26.1,Wake Forest -26.1,50.499,26.55,Wake Forest -26.6,50.499,"Site Projection,Massey Games","Site Projection,Massey Games",Site Projection:0.5;Massey Games:0.5,Site Projection:0.5;Massey Games:0.5,2,2,,,,,,0.0,0.0,27.0,Wake Forest -27.0,50.5,0.9,0.001,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g19,1,2026-09-04,San Jose State,Eastern Michigan,False,2.0,Eastern Michigan -2.0,51.4,2.0,Eastern Michigan -2.0,51.4,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g20,1,2026-09-04,North Carolina A&T,Georgia State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g21,1,2026-09-04,LIU,Kansas,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g22,1,2026-09-04,Miami-FL,Stanford,False,-21.5,Miami-FL -21.5,47.4,-21.5,Miami-FL -21.5,47.4,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g23,1,2026-09-05,Duquesne,Air Force,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g24,1,2026-09-05,East Carolina,Alabama,False,23.4,Alabama -23.4,47.0,23.4,Alabama -23.4,47.0,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g25,1,2026-09-05,Maine,Appalachian State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g26,1,2026-09-05,Northern Arizona,Arizona,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g27,1,2026-09-05,Morgan State,Arizona State,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g28,1,2026-09-05,North Alabama,Arkansas,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g29,1,2026-09-05,Bryant,Army,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g30,1,2026-09-05,Baylor,Auburn,True,6.7,Auburn -6.7,53.2,6.7,Auburn -6.7,53.2,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g31,1,2026-09-05,Utah Tech,BYU,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g32,1,2026-09-05,Tarleton State,Bowling Green,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g33,1,2026-09-05,UCLA,California,False,1.4,California -1.4,53.6,1.4,California -1.4,53.6,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g34,1,2026-09-05,The Citadel,Charlotte,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g35,1,2026-09-05,Boston College,Cincinnati,False,8.1,Cincinnati -8.1,53.9,8.1,Cincinnati -8.1,53.9,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g36,1,2026-09-05,Wyoming,Colorado State,False,3.3,Colorado State -3.3,43.4,3.3,Colorado State -3.3,43.4,Site Projection,Site Projection,Site Projection:0.5,Site Projection:0.5,1,1,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
g37,1,2026-09-05,Lafayette,Connecticut,False,,,,,,,,,,,0,0,,,,,,0.0,0.0,,,,,,0.5,0.5,,,,,,0.0,0.0,,,,,,0.0,0.0,,
