pulled_at,source,game_id,core_id,event_id,market_id,season,week,commence_time,date,away_team,home_team,away_norm,home_norm,book_id,book,market,side,team_id,point,price,line_status,period
2026-05-23T14:39:06.425776+00:00,Action Network,287967,12174660,287967,20183894,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,68,DraftKings,spread,home,284.0,-6.5,-108,normal,event
2026-05-23T14:39:06.426091+00:00,Action Network,287967,12174660,287967,20183894,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,68,DraftKings,spread,away,275.0,6.5,-112,normal,event
2026-05-23T14:39:06.426103+00:00,Action Network,287967,12174660,287967,20183895,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,68,DraftKings,total,under,,49.5,-108,normal,event
2026-05-23T14:39:06.426112+00:00,Action Network,287967,12174660,287967,20183895,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,68,DraftKings,total,over,,49.5,-112,normal,event
2026-05-23T14:39:06.426122+00:00,Action Network,287967,12174660,287967,20183893,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,68,DraftKings,moneyline,away,275.0,0.0,200,normal,event
2026-05-23T14:39:06.426130+00:00,Action Network,287967,12174660,287967,20183893,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,68,DraftKings,moneyline,home,284.0,0.0,-245,normal,event
2026-05-23T14:39:06.426143+00:00,Action Network,287967,12174660,287967,20183894,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,69,FanDuel,spread,away,275.0,6.5,-102,normal,event
2026-05-23T14:39:06.426152+00:00,Action Network,287967,12174660,287967,20183894,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,69,FanDuel,spread,home,284.0,-6.5,-120,normal,event
2026-05-23T14:39:06.426162+00:00,Action Network,287967,12174660,287967,20183895,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,69,FanDuel,total,over,,51.5,-105,normal,event
2026-05-23T14:39:06.426170+00:00,Action Network,287967,12174660,287967,20183895,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,69,FanDuel,total,under,,51.5,-115,normal,event
2026-05-23T14:39:06.426179+00:00,Action Network,287967,12174660,287967,20183893,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,69,FanDuel,moneyline,home,284.0,0.0,-255,normal,event
2026-05-23T14:39:06.426187+00:00,Action Network,287967,12174660,287967,20183893,2026,1,2026-08-29T16:00:00.000Z,2026-08-29,North Carolina,TCU,north carolina,tcu,69,FanDuel,moneyline,away,275.0,0.0,205,normal,event
