market,season,bucket,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
spread,2021,0-0.5,607,1,1,0.0,0.0,-1.0,-1.0,7.852742208149808,6.086275675193114,0.8310537278753016,0.0,0.0,1.0,0.0,0.1571182940550848,14.31598410438261
spread,2021,0.5-1.0,66,0,0,,,,,11.347126083408925,9.713445315638698,1.0185405593318535,,,,0.0,0.6632204321232714,17.57766849174336
spread,2021,1.0-1.5,7,0,0,,,,,13.351230242158644,12.202230089275469,4.079278848711159,,,,0.0,1.1727609511927366,14.41932304909586
spread,2021,1.5-2.0,2,0,0,,,,,20.58016954109987,20.58016954109987,-20.58016954109987,,,,0.0,1.569408628064692,17.305013271517915
spread,2022,0-0.5,574,7,3,0.0,0.0,-0.8333333333333334,-1.0,7.150209320189408,5.536194369401407,1.3415759603419728,0.0,0.0,1.0,0.0017421602787456446,0.18801121670384735,13.177957745248621
spread,2022,0.5-1.0,92,1,1,1.0,1.0,2.0,2.0,11.570710044444548,10.037840036669596,0.9792922443152614,1.0,0.0,0.0,0.0,0.6674983396826338,15.7300297550245
spread,2022,1.0-1.5,11,0,0,,,,,17.27743986812612,15.667554565774786,11.979806623662968,,,,0.0,1.1826658825527328,15.923760444924403
spread,2022,1.5-2.0,4,0,0,,,,,16.165106850547556,15.681816385397877,15.312617959736027,,,,0.0,1.6217983107032965,19.062617959736027
spread,2023,0-0.5,600,328,145,0.5241379310344828,0.24836601307189543,0.2107843137254902,0.0,6.989521726012467,5.332334238565544,0.9950555946219892,0.42758620689655175,0.06206896551724138,0.47586206896551725,0.03666666666666667,0.18537694156415407,13.79565233302356
spread,2023,0.5-1.0,89,62,23,0.30434782608695654,0.11666666666666667,-0.2916666666666667,0.0,9.988276062949137,8.198172022269457,0.5497569529417844,0.2608695652173913,0.043478260869565216,0.6956521739130435,0.02247191011235955,0.6689327314050652,15.346460431126628
