market,tolerance,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
spread,0.25,714,708,527,0.523719165085389,0.3988439306358382,0.26011560693641617,0.0,7.950345606204176,5.7914118776258405,1.5373775579267697,0.4250474383301708,0.0777988614800759,0.476280834914611,0.022408963585434174,0.23748025986204474,14.649112502173928
spread,0.5,714,708,506,0.5335968379446641,0.40298507462686567,0.30223880597014924,0.0,7.950345606204176,5.7914118776258405,1.5373775579267697,0.4308300395256917,0.06126482213438735,0.466403162055336,0.05322128851540616,0.23748025986204474,14.649112502173928
spread,1.0,714,708,250,0.548,0.2150706436420722,0.28728414442700156,0.0,7.950345606204176,5.7914118776258405,1.5373775579267697,0.376,0.064,0.452,0.09943977591036414,0.23748025986204474,14.649112502173928
total,0.25,714,688,537,0.5921787709497207,0.4840182648401826,0.5525114155251142,0.0,3.723749206072027,3.065291496313769,-0.25127974090383687,0.3947858472998138,0.15083798882681565,0.40782122905027934,0.04341736694677871,1.327729696842372,12.700348778538995
total,0.5,714,688,507,0.6055226824457594,0.49516129032258066,0.6048387096774194,0.0,3.723749206072027,3.065291496313769,-0.25127974090383687,0.40433925049309666,0.1203155818540434,0.39447731755424065,0.09523809523809523,1.327729696842372,12.700348778538995
total,1.0,714,688,238,0.6848739495798319,0.2931654676258993,0.6744604316546763,1.0,3.723749206072027,3.065291496313769,-0.25127974090383687,0.3487394957983193,0.1638655462184874,0.31512605042016806,0.18487394957983194,1.327729696842372,12.700348778538995
