market,segment,n,mean_abs_adjustment,average_clv,positive_clv_rate
spread,one_team,894,0.2589111663024322,0.14542190305206462,0.22595078299776286
spread,two_team,2213,0.28560367455939417,0.13725490196078433,0.1640307275192047
spread,early,1310,0.3073696312791008,0.15244755244755245,0.18702290076335878
spread,late,1370,0.21056751404126786,0.15346534653465346,0.15401459854014599
total,two_team,2133,2.2925908126394114,0.3635,0.20487576183778716
total,early,1310,1.007021173023461,0.315541601255887,0.20534351145038168
total,late,1370,1.7730533510198043,0.3108108108108108,0.18321167883211678
