model,market,season,stage,n,opener_n,direction_n,direction_accuracy,positive_clv_rate,average_clv,median_clv,mae,median_ae,signed_error,overshoot_rate,undershoot_rate,wrong_direction_rate,unchanged_rate,average_abs_adjustment,actual_result_mae
no_adjustment,spread,2021,Weeks 1-3,97,0,0,,,,,12.209842641179838,9.6,2.8686108963472177,,,,0.0,0.0,17.101518014186265
no_adjustment,spread,2021,Weeks 10-12,181,0,0,,,,,7.950617915676027,5.988743080063172,0.5796366982773687,,,,0.0,0.0,14.802050667536003
no_adjustment,spread,2021,Weeks 13+,77,0,0,,,,,7.046819673641853,5.424224073544387,-1.1231084029983283,,,,0.0,0.0,15.853346257709982
no_adjustment,spread,2021,Weeks 4-6,170,0,0,,,,,8.459347957747806,6.696340031880791,1.5791429915925164,,,,0.0,0.0,13.564042370349677
no_adjustment,spread,2021,Weeks 7-9,157,1,1,0.0,0.0,-1.0,-1.0,7.164717446342422,5.898441024383863,-0.10333332255654702,0.0,0.0,1.0,0.0,0.0,13.813000305805122
no_adjustment,spread,2022,Weeks 1-3,97,0,0,,,,,13.503324066759944,11.06979735131369,5.826262686727028,,,,0.0,0.0,17.236725913852265
no_adjustment,spread,2022,Weeks 10-12,185,2,0,,0.0,0.5,0.5,7.344533880192614,6.161458672957492,0.53980401743877,,,,0.005405405405405406,0.0,13.65251049645728
no_adjustment,spread,2022,Weeks 13+,75,0,0,,,,,6.454416179077894,5.325319053670965,-0.029282198772726933,,,,0.0,0.0,13.270759242526829
no_adjustment,spread,2022,Weeks 4-6,174,1,1,1.0,1.0,2.0,2.0,8.372521800301636,5.893756474014289,2.1694527275345408,1.0,0.0,0.0,0.0,0.0,13.171490321078386
no_adjustment,spread,2022,Weeks 7-9,150,5,2,0.0,0.0,-0.875,-1.0,6.068194789042921,5.21091805057544,0.1131310812190128,0.0,0.0,1.0,0.006666666666666667,0.0,12.126532837827297
no_adjustment,spread,2023,Weeks 1-3,101,48,18,0.6666666666666666,0.2553191489361702,0.3404255319148936,0.5,11.776966211411679,8.708715596330276,4.120585745237923,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.009900990099009901,0.0,16.081405148287764
no_adjustment,spread,2023,Weeks 10-12,190,12,3,0.3333333333333333,0.09090909090909091,0.22727272727272727,0.0,6.6186371983818,5.069167069114185,1.3225136101388262,0.0,0.3333333333333333,0.6666666666666666,0.005263157894736842,0.0,14.033415568531188
no_adjustment,spread,2023,Weeks 13+,76,8,1,0.0,0.0,-1.1428571428571428,-0.5,6.19038236495947,4.815031075836254,-2.168876451937488,0.0,0.0,1.0,0.013157894736842105,0.0,13.537376540704367
no_adjustment,spread,2023,Weeks 4-6,168,168,75,0.49333333333333335,0.22839506172839505,0.16358024691358025,0.0,7.906101556955737,6.232378943083864,0.532810953955786,0.41333333333333333,0.05333333333333334,0.5066666666666667,0.03571428571428571,0.0,12.889293384792046
no_adjustment,spread,2023,Weeks 7-9,163,162,74,0.47297297297297297,0.23809523809523808,0.04081632653061224,0.0,6.406422616135306,5.2031320853187335,0.17806646203513457,0.3918918918918919,0.05405405405405406,0.527027027027027,0.09202453987730061,0.0,14.222790377205612
no_adjustment,spread,2024,Weeks 1-3,101,101,75,0.56,0.4329896907216495,0.29896907216494845,0.5,12.353298328903875,10.552831018412979,4.824489836522413,0.44,0.09333333333333334,0.44,0.039603960396039604,0.0,18.458962432553175
