started_at,team,url,ok,returncode,seconds,stdout_tail,stderr_tail,failure_type,failure_note
2026-06-20T16:04:03.871926+00:00,North Dakota State Bison,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/north-dakota-state/93143,False,1,1.48,,"No depth chart rows parsed
",source_missing_depth_chart,Ourlads page exists but depth chart table has no player rows yet
2026-06-20T16:04:26.428959+00:00,Sacramento State Hornets,https://www.ourlads.com/ncaa-football-depth-charts/depth-chart/sacramento-state/93166,False,1,0.63,,"No depth chart rows parsed
",source_missing_depth_chart,Ourlads page exists but depth chart table has no player rows yet
