metric,value
raw_rows,3376
duplicate_source_rows,3312
unique_team_side_games,423
canonical_rows_used,423
perspective_duplicate_rows,100
unique_rp_advantage_games,355
classified_rp_advantage_games,323
unclassified_rp_advantage_games,32
minimum_summary_sample,15
