team,conference,rank_active,combo_active,rating_spplus_active,rating_fpi_active,rating_teamrankings_active,avg_total_wins_active,avg_conference_wins_active,make_title_game_pct_active,conference_title_pct_active,lose_title_game_pct_active,bowl_eligibility_pct_active,rank_spplus_only,combo_spplus_only,rating_spplus_spplus_only,rating_fpi_spplus_only,rating_teamrankings_spplus_only,avg_total_wins_spplus_only,avg_conference_wins_spplus_only,make_title_game_pct_spplus_only,conference_title_pct_spplus_only,lose_title_game_pct_spplus_only,bowl_eligibility_pct_spplus_only,combo_delta_active_minus_spplus,avg_total_wins_delta_active_minus_spplus,avg_conference_wins_delta_active_minus_spplus,make_title_game_pct_delta_active_minus_spplus,conference_title_pct_delta_active_minus_spplus,lose_title_game_pct_delta_active_minus_spplus,bowl_eligibility_pct_delta_active_minus_spplus
Ohio State,B1G,1,30.9333,31.8,28.7,32.3,10.5067,7.947,0.7641,0.4947,0.2694,1.0,1,31.8,31.8,28.7,32.3,10.7758,8.09,0.8075,0.5356,0.2719,1.0,-0.8667000000000016,-0.2690999999999999,-0.1429999999999998,-0.043399999999999994,-0.04089999999999999,-0.0025000000000000022,0.0
Oregon,B1G,2,27.7,28.3,25.3,29.5,9.6262,7.7024,0.6031,0.2903,0.3128,1.0,2,28.3,28.3,25.3,29.5,9.6946,7.7781,0.6504,0.3082,0.3422,1.0,-0.6000000000000014,-0.06839999999999868,-0.07570000000000032,-0.04730000000000001,-0.01789999999999997,-0.02939999999999998,0.0
Notre Dame,Independent,3,26.9333,25.8,25.9,29.1,11.3824,0.0,0.0,0.0,0.0,1.0,3,25.8,25.8,25.9,29.1,11.3225,0.0,0.0,0.0,0.0,1.0,1.1332999999999984,0.05990000000000073,0.0,0.0,0.0,0.0,0.0
Georgia,SEC,5,26.2333,25.5,24.8,28.4,9.5147,7.5471,0.6466,0.3781,0.2685,0.9994,4,25.5,25.5,24.8,28.4,9.5494,7.5908,0.7337,0.4693,0.2644,0.9997,0.7332999999999998,-0.03470000000000084,-0.043699999999999406,-0.08710000000000007,-0.0912,0.0040999999999999925,-0.000300000000000078
Indiana,B1G,6,25.5333,24.5,23.1,29.0,9.4985,7.5087,0.4267,0.1764,0.2503,0.9998,5,24.5,24.5,23.1,29.0,9.364,7.374,0.3452,0.1237,0.2215,0.9996,1.0333000000000006,0.13449999999999918,0.13470000000000049,0.08150000000000002,0.0527,0.02880000000000002,0.00019999999999997797
Texas,SEC,4,26.3333,23.7,26.9,28.4,9.6569,7.2282,0.593,0.3452,0.2478,0.9991,6,23.7,23.7,26.9,28.4,9.1062,6.8112,0.4219,0.2166,0.2053,0.9965,2.633300000000002,0.5507000000000009,0.4169999999999998,0.17109999999999997,0.12860000000000002,0.04249999999999998,0.0025999999999999357
Texas Tech,B12,8,22.3,23.1,20.0,23.8,10.3711,8.3879,0.9556,0.7329,0.2227,1.0,7,23.1,23.1,20.0,23.8,10.3941,8.4124,0.952,0.7239,0.2281,1.0,-0.8000000000000007,-0.022999999999999687,-0.024499999999999744,0.0036000000000000476,0.009000000000000008,-0.005399999999999988,0.0
Miami-FL,ACC,7,22.7,21.0,21.8,25.3,9.5487,8.3039,0.9292,0.7343,0.1949,0.9998,8,21.0,21.0,21.8,25.3,9.315,8.0864,0.9002,0.6946,0.2056,0.9995,1.6999999999999993,0.23370000000000068,0.21750000000000114,0.029000000000000026,0.03969999999999996,-0.010700000000000015,0.00029999999999996696
Texas A&M,SEC,9,21.0,20.3,20.0,22.7,7.5857,5.6585,0.1325,0.0525,0.08,0.9485,9,20.3,20.3,20.0,22.7,7.6409,5.7178,0.1569,0.0643,0.0926,0.9479,0.6999999999999993,-0.05520000000000014,-0.05930000000000035,-0.024400000000000005,-0.011799999999999998,-0.0126,0.0006000000000000449
LSU,SEC,10,20.7667,20.2,20.0,22.1,8.1308,6.2701,0.2471,0.0938,0.1533,0.9725,10,20.2,20.2,20.0,22.1,8.3092,6.4643,0.3144,0.129,0.1854,0.9806,0.5667000000000009,-0.1783999999999999,-0.19419999999999948,-0.06730000000000003,-0.03520000000000001,-0.03210000000000002,-0.008099999999999996
