season,games_returned,lines_returned,games_with_usable_lines
2006,1373,760,0
2007,1437,766,0
2008,1445,771,0
2009,1434,774,0
2010,1427,773,0
2011,1463,777,0
2012,1344,805,0
2013,1496,813,813
2014,1542,829,826
2015,1491,829,791
2016,1502,832,824
2017,1505,834,830
2018,1511,845,828
2019,1577,848,838
2020,563,542,541
2021,2408,849,849
2022,3657,1417,1413
2023,3595,1350,1344
2024,3747,1523,1507
2025,3745,1547,1546
