metric,value
rp_raw_rows,398
rp_standard_rows,398
games_early_rows,3468
historical_high_low_games,230
historical_summary_rows,6
returning_production_2026_signals,0
overall_metric_col,total_ppa
offense_metric_col,total_passing_ppa
defense_metric_col,total_ppa
