model,feature,historical_source_field,historical_builder,current_2026_source,current_2026_field,join_key,cutoff_timing,transformation_needed,missing_value_rule,available_before_saturday
market_rating_movement,ats_margin,ats_margin,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,ats_margin,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,total_residual,total_residual,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,total_residual,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,final_margin,final_margin,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,final_margin,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,closing_spread,full_game_modeling_rows.closing_home_spread,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,closing_spread,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,raw_pbp_performance,raw_pbp_performance,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,raw_pbp_performance,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,rules_repeatable_spread,rules_repeatable_spread,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,rules_repeatable_spread,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,regularized_repeatable_spread,regularized_repeatable_spread,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,regularized_repeatable_spread,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,residualized_repeatable_spread,residualized_repeatable_spread,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,residualized_repeatable_spread,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,repeatable_offense_performance,repeatable_offense_performance,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,repeatable_offense_performance,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,repeatable_defense_performance,repeatable_defense_performance,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,repeatable_defense_performance,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,off_ppa,off_ppa,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,off_ppa,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,off_success_rate,off_success_rate,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,off_success_rate,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,off_explosiveness,off_explosiveness,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,off_explosiveness,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,def_ppa_allowed,def_ppa_allowed,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,def_ppa_allowed,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,def_success_allowed,def_success_allowed,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,def_success_allowed,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,def_explosiveness_allowed,def_explosiveness_allowed,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,def_explosiveness_allowed,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,def_havoc_rate,def_havoc_rate,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,def_havoc_rate,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,off_plays,off_plays,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,off_plays,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,drive_off_points_per_opportunity,drive_off_points_per_opportunity,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,drive_off_points_per_opportunity,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,drive_def_points_per_opportunity_allowed,drive_def_points_per_opportunity_allowed,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,drive_def_points_per_opportunity_allowed,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,gc_game_control_index,team_game_game_control.game_control_index,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,gc_game_control_index,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,trailing_2_game_ats,trailing_2_game_ats,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,trailing_2_game_ats,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,trailing_3_game_ats,trailing_3_game_ats,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,trailing_3_game_ats,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,trailing_2_game_ppa,trailing_2_game_ppa,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,trailing_2_game_ppa,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,trailing_3_game_ppa,trailing_3_game_ppa,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,trailing_3_game_ppa,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,recent_form_vs_season,recent_form_vs_season,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,recent_form_vs_season,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
market_rating_movement,opponent_adjusted_recent_form,opponent_adjusted_recent_form,build_team_states -> build_features -> build_repeatable,results/lines/PBP/drive/game-control/ratings canonical artifacts,opponent_adjusted_recent_form,"season, week, game_id, team",after completed game; before next Saturday projection,exact historical transform,retain null; frozen artifact applies training median at inference,yes after source finalization
