partition,season_min,season_max,model,games,mae_vs_closing_margin,rmse_vs_closing_margin,mean_error,within_1_point_pct
development_2021_2023,2021,2023,generic_2_5,1340,3.611865671641791,4.908760824874328,-0.02992537313432839,19.25373134328358
development_2021_2023,2021,2023,current_site,1340,3.676716417910447,4.98672715928935,-0.07985074626865676,20.07462686567164
development_2021_2023,2021,2023,conference,1340,3.6075558827329846,4.903341615969753,0.022129919670731135,18.35820895522388
development_2021_2023,2021,2023,conference_team,1340,3.3252326848151457,4.532254434179404,0.018285777307671894,21.26865671641791
selection_2024,2024,2024,generic_2_5,436,4.165825688073395,5.469672432034798,0.3644495412844038,16.51376146788991
selection_2024,2024,2024,current_site,436,4.327293577981651,5.610865523839036,0.3282110091743119,15.137614678899084
selection_2024,2024,2024,conference,436,4.172581702953993,5.472661238345993,0.4100181702363243,15.36697247706422
selection_2024,2024,2024,conference_team,436,4.117168719653151,5.408128269552194,0.414074965269727,19.495412844036696
holdout_2025,2025,2025,generic_2_5,428,3.7523364485981308,5.303864752085145,-0.4714953271028038,22.19626168224299
holdout_2025,2025,2025,current_site,428,3.7957943925233644,5.353547168907697,-0.530841121495327,21.02803738317757
holdout_2025,2025,2025,conference,428,3.7398391313278796,5.290334375844447,-0.43359788328771026,21.261682242990652
holdout_2025,2025,2025,conference_team,428,3.7332097387306464,5.192471491710333,-0.4335349599734699,21.02803738317757
