metric,high_rp_role,games,ats_w,ats_l,ats_p,avg_ats_margin,avg_spread,avg_high_rp,avg_low_rp,ats_pct,ats_record
overall,Favorite,45,27,18,0,0.8201851851851851,-15.935370370370372,0.8087111111111112,0.2071111111111111,0.6,27-18-0
overall,Underdog,31,18,13,0,4.101344086021506,13.004569892473118,0.8128387096774193,0.20948387096774193,0.5806451612903226,18-13-0
passing,Favorite,50,24,24,2,-2.796333333333333,-13.976333333333335,0.97866,-0.72714,0.5,24-24-2
passing,Underdog,25,15,10,0,1.1039999999999999,11.664000000000001,0.97324,-0.026919999999999996,0.6,15-10-0
receiving,Favorite,44,21,23,0,-1.9685606060606062,-14.945833333333333,0.779340909090909,0.24449999999999997,0.4772727272727273,21-23-0
receiving,Underdog,30,10,20,0,-3.1611111111111114,17.13888888888889,0.8253,0.23083333333333333,0.3333333333333333,10-20-0
rushing,Favorite,44,22,22,0,-0.0035984848484851284,-12.526325757575757,1.2491590909090908,-0.27529545454545457,0.5,22-22-0
rushing,Underdog,28,15,13,0,2.712202380952381,12.71220238095238,1.000857142857143,-0.06324999999999999,0.5357142857142857,15-13-0
