season,week,game_id,home_team,away_team,fpi_target,tr_target,actual_close,actual_result_spread,timing_unknown_opener,home_completed_week,away_completed_week,home_current_snapshot_week,away_current_snapshot_week,home_target_sp_plus_week,away_target_sp_plus_week,cutoff_valid,game_identity_valid
2021,5,401309560,Akron,Ohio,4.37,6.7,9.5,17,9.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401309867,Colorado,USC,8.25,8.7,9.0,23,6.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282090,Georgia,Arkansas,-17.88,-21.7,-16.5,-37,-18.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282219,Illinois,Charlotte,-11.4,-13.4,-10.5,-10,-10.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282091,Kentucky,Florida,10.48,12.6,7.5,-7,8.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282092,LSU,Auburn,-0.75,-1.3,-3.0,5,-4.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282759,Maryland,Iowa,2.33,2.6,3.0,37,3.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282093,Missouri,Tennessee,-0.95,-1.3,-2.5,38,-3.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282800,Nebraska,Northwestern,-11.27,-13.8,-11.5,-49,-8.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401310710,New Mexico,Air Force,11.13,15.1,11.5,28,7.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282650,North Carolina,Duke,-13.55,-20.1,-19.5,-31,-19.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282793,Purdue,Minnesota,-7.41,-6.4,-2.5,7,-3.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401309864,Stanford,Oregon,8.84,9.6,8.5,-7,8.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401287915,TCU,Texas,7.15,8.6,4.0,5,-1.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401301012,Tulsa,Houston,-2.63,1.6,-3.5,35,-3.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282221,UAB,Liberty,-4.96,-1.0,-3.0,24,-2.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282651,Wake Forest,Louisville,-8.1,-8.4,-7.0,-3,-7.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,5,401282776,Wisconsin,Michigan,6.8,8.1,-2.5,21,-4.0,4.0,4.0,3.0,3.0,4.0,4.0,True,True
2021,6,401310714,Air Force,Wyoming,-1.54,-7.4,-5.5,-10,-2.0,5.0,4.0,4.0,3.0,5.0,4.0,True,True
2021,6,401309870,Arizona,UCLA,13.68,20.0,16.0,18,16.0,4.0,5.0,3.0,4.0,4.0,5.0,True,True
2021,6,401282097,Auburn,Georgia,14.47,18.2,14.5,24,15.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401301018,Cincinnati,Temple,-31.96,-36.4,-30.0,-49,-28.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282098,Florida,Vanderbilt,-40.11,-39.9,-39.0,-42,-35.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282718,Illinois,Wisconsin,7.14,8.6,12.0,24,8.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282099,Kentucky,LSU,-0.61,2.8,-2.0,-21,-1.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282653,Louisville,Virginia,0.42,-1.9,-2.5,1,-3.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282101,Missouri,North Texas,-12.36,-17.4,-18.5,-13,-20.0,5.0,4.0,4.0,3.0,5.0,4.0,True,True
2021,6,401301021,Navy,SMU,21.47,14.9,13.5,7,15.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282778,Nebraska,Michigan,4.59,7.1,2.5,3,4.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282655,Syracuse,Wake Forest,6.03,9.0,6.0,3,11.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282102,Tennessee,South Carolina,-11.19,-10.1,-10.5,-25,-12.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401287918,Texas,Oklahoma,2.36,1.8,4.0,7,5.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401282103,Texas A&M,Alabama,15.3,16.6,18.5,-3,14.5,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401287919,Texas Tech,TCU,-1.67,2.7,2.5,21,3.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401301017,Tulane,Houston,6.79,6.1,6.5,18,3.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401301020,Tulsa,Memphis,1.03,2.6,-3.0,-6,-6.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,6,401309871,USC,Utah,-4.14,-6.3,-3.0,16,-3.0,5.0,4.0,4.0,3.0,5.0,4.0,True,True
2021,7,401282104,Arkansas,Auburn,-3.61,-2.4,-4.5,15,-3.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401287920,Baylor,BYU,-8.58,-8.0,-5.5,-14,1.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401309571,Buffalo,Ohio,-17.03,-15.3,-7.5,-1,-9.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401309875,Colorado,Arizona,-9.32,-10.1,-6.0,-34,-6.0,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2021,7,401282105,Georgia,Kentucky,-25.79,-30.5,-21.5,-17,-24.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401282760,Iowa,Purdue,-12.88,-16.7,-11.5,17,-11.0,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2021,7,401287921,Kansas,Texas Tech,17.18,22.0,18.5,27,17.0,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2021,7,401282106,LSU,Florida,8.46,7.3,12.5,-7,3.5,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401301022,Memphis,Navy,-17.68,-10.2,-11.0,-18,-9.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401282796,Minnesota,Nebraska,3.37,4.8,4.5,-7,3.0,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2021,7,401282108,Missouri,Texas A&M,10.38,12.7,11.5,21,10.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401310722,Nevada,Hawaii,-13.93,-15.7,-14.0,-17,-16.0,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2021,7,401282231,North Texas,Marshall,5.84,13.9,11.0,28,12.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401282807,Northwestern,Rutgers,1.37,6.3,2.5,-14,-0.0,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2021,7,401287923,Oklahoma,TCU,-12.84,-12.8,-12.5,-21,-12.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401309872,Oregon,California,-20.25,-18.0,-13.5,-7,-14.0,5.0,5.0,4.0,4.0,5.0,5.0,True,True
2021,7,401282109,South Carolina,Vanderbilt,-21.48,-23.2,-18.5,-1,-16.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401282657,Syracuse,Clemson,16.4,16.5,13.5,3,17.0,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2021,7,401282660,Virginia,Duke,-12.77,-15.5,-10.5,-48,-11.0,6.0,6.0,5.0,5.0,6.0,6.0,True,True
2021,7,401309874,Washington,UCLA,-3.57,-0.2,-1.5,7,1.0,5.0,6.0,4.0,5.0,5.0,6.0,True,True
2021,7,401282826,Wisconsin,Army,-11.71,-12.2,-14.0,-6,-10.0,6.0,5.0,5.0,4.0,6.0,5.0,True,True
2021,8,401309575,Akron,Buffalo,16.62,15.8,13.5,35,12.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2021,8,401282111,Alabama,Tennessee,-19.96,-21.8,-25.5,-28,-27.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2021,8,401309877,Arizona,Washington,14.85,18.9,17.0,5,15.0,7.0,7.0,6.0,6.0,7.0,7.0,True,True
2021,8,401282662,Army,Wake Forest,5.44,5.5,3.0,14,3.0,7.0,6.0,6.0,5.0,7.0,6.0,True,True
