source,model,split,n,mae,median_absolute_error,rmse,bias,correlation,direction_agreement,dimension,level
FPI,prior_source_projection,2024_selection,132,7.170821912416164,5.022500000000001,9.861338435819816,1.805853498018416,0.6028440104098794,0.75,,
FPI,market_sp_baseline,2024_selection,132,3.1127892444632694,2.6691251945179006,3.8182487494589754,0.12712296462836337,0.9488214264271855,0.9242424242424242,,
FPI,ridge,2024_selection,132,2.4691818566518395,2.0523534953759186,3.1558601261243524,0.22297393787457007,0.9651507311932414,0.9621212121212122,,
FPI,elastic_net,2024_selection,132,2.4333994539913775,1.8342634254989618,3.122743973589014,0.05888677037242515,0.9655797471094538,0.946969696969697,,
FPI,huber,2024_selection,132,2.4425728341096895,2.028003568923327,3.1383688304618103,0.23542142466589067,0.9655225699523482,0.9621212121212122,,
FPI,gradient_boosted,2024_selection,132,3.628394841893167,2.795080960187333,4.931463125803197,0.030635349979677214,0.9175804368179575,0.9166666666666666,,
FPI,residual,2024_selection,132,2.4722609217382336,2.0294257227454398,3.168778649558154,0.20725786498437365,0.9649193588790871,0.9621212121212122,,
FPI,elastic_net,2025_locked_holdout,218,2.800795990693552,2.099605713351621,3.6688824865879255,-0.27168340907575445,0.9526128335056988,0.9128440366972477,,
TeamRankings,prior_source_projection,2024_selection,132,7.463728389993611,5.657206059172115,10.461412976181657,1.3505125889275067,0.5734873869356294,0.7424242424242424,,
TeamRankings,market_sp_baseline,2024_selection,132,2.98979254858047,2.1516924917448477,3.8966944586646997,-0.13908915658375795,0.9526681557944308,0.9015151515151515,,
TeamRankings,ridge,2024_selection,132,2.6419912377136217,2.2208787355265263,3.285548364449688,0.5721785301340355,0.9670970160513761,0.9393939393939394,,
TeamRankings,elastic_net,2024_selection,132,2.5765734589081517,2.1303507780710156,3.211816772081774,0.4174932097570659,0.9681131202382173,0.946969696969697,,
TeamRankings,huber,2024_selection,132,2.611958249298581,2.2011671587576256,3.2790682608993174,0.5443898275430404,0.9668955180776299,0.9393939393939394,,
TeamRankings,gradient_boosted,2024_selection,132,3.405413343695158,2.21651714883968,5.128949774788525,0.4544900166633644,0.9152397259083993,0.9015151515151515,,
TeamRankings,residual,2024_selection,132,2.647379056436001,2.1534812654425,3.294183262560585,0.5564624572438418,0.967019842624005,0.9318181818181818,,
TeamRankings,elastic_net,2025_locked_holdout,218,2.7970571193190623,2.2061023119525527,3.7427864534944684,0.61507787017818,0.9573271792075306,0.9220183486238532,,
FPI,elastic_net,2025_locked_holdout_diagnostic,1,3.61643421428054,3.61643421428054,3.61643421428054,3.61643421428054,,1.0,week,3
FPI,elastic_net,2025_locked_holdout_diagnostic,14,3.974557732900442,3.6748424523305694,4.783570193233188,1.4264227371849103,0.8847701909204895,0.7857142857142857,week,4
FPI,elastic_net,2025_locked_holdout_diagnostic,17,3.5911830038679007,2.6114412793718147,4.626082048547219,-2.2768232018989036,0.9165578740182793,0.7647058823529411,week,5
FPI,elastic_net,2025_locked_holdout_diagnostic,16,2.2133232703673906,2.156892876052022,2.7409347536969126,-0.050571465851363906,0.9687959717165885,0.9375,week,6
FPI,elastic_net,2025_locked_holdout_diagnostic,19,3.2650264899439385,2.9017836121919593,3.99064336567793,-1.7340835472165097,0.9034929492993824,0.9473684210526315,week,7
FPI,elastic_net,2025_locked_holdout_diagnostic,23,3.054677960841252,2.4507282554386793,3.903765233935195,1.4703660280801858,0.9365048140488726,0.8695652173913043,week,8
