split,n,mae,median_absolute_error,rmse,bias,correlation,direction_agreement,model,availability,coverage,weekly_mae_stddev,movement_direction_toward_close,timing_unknown_positive_clv_rate,average_clv,ats_record,ats_roi_at_minus_110
2024_selection,132,2.7641666666666667,2.0875,3.5580291722959627,-0.48090909090909106,0.9582320010045638,0.9166666666666666,actual_fpi_tr_oracle,oracle_only_not_saturday_available,1.0,0.5453767749884664,0.4621212121212121,0.4621212121212121,0.11742424242424243,76-56-0,0.09917355371900828
2024_selection,132,1.4734848484848484,1.0,1.9641676469829517,-0.4810606060606061,0.9848983303826845,0.9318181818181818,timing_unknown_espn_bet_open,timing_unknown_not_verified_saturday,1.0,0.252878356762467,0.12878787878787878,0.0,0.0,0-0-132,0.0
2025_locked_holdout,218,2.1204128440366974,1.6724999999999999,2.745269158442133,0.0361467889908257,0.9721083398758732,0.9357798165137615,actual_fpi_tr_oracle,oracle_only_not_saturday_available,1.0,0.48117408356736735,0.536697247706422,0.536697247706422,0.6697247706422018,102-112-4,-0.08840700583819854
2025_locked_holdout,218,1.6926605504587156,1.0,3.2594252884533454,-0.3073394495412844,0.9606102289565005,0.9541284403669725,timing_unknown_espn_bet_open,timing_unknown_not_verified_saturday,1.0,0.5818642713482233,0.13302752293577982,0.0,0.0,0-0-218,0.0
