season,week,game_id,home_team,away_team,tr_target,actual_close,actual_result_spread,timing_unknown_opener,saturday_baseline,predicted_market_spread,predicted_updated_sp_spread,feature_coverage,source_coverage,prediction,prediction_split,model
2024,8,401636897,Arizona,Colorado,0.9,-2.5,27,-3.5,-4.161456915051232,-6.035443801996368,-2.287470028106098,1.0,1.0,0.029832654940147647,2024_selection,elastic_net
2024,8,401635588,Clemson,Virginia,-20.7,-20.5,-17,-21.0,-15.938567645777328,-15.223245736645431,-16.653889554909224,1.0,1.0,-17.886009793979877,2024_selection,elastic_net
2024,8,401628393,Florida,Kentucky,-2.2,2.5,-28,-1.5,-1.5299556183425596,-0.2921415485023608,-2.7677696881827583,1.0,1.0,-1.65689709988092,2024_selection,elastic_net
2024,8,401628521,Maryland,USC,10.2,6.5,-1,8.0,5.072696624913247,4.355395152684188,5.7899980971423055,1.0,1.0,7.724814777704396,2024_selection,elastic_net
2024,8,401645349,Memphis,North Texas,-13.0,-10.5,-8,-10.5,-10.86908620612203,-10.68064423537115,-11.05752817687291,0.967741935483871,1.0,-9.997895288260203,2024_selection,elastic_net
2024,8,401628522,Northwestern,Wisconsin,7.2,9.5,20,7.5,6.448501065213372,4.959044420908755,7.937957709517988,1.0,1.0,8.926169239219105,2024_selection,elastic_net
2024,8,401628396,Oklahoma,South Carolina,-5.3,2.5,26,-2.5,-7.195892008115639,-10.47598513171634,-3.9157988845149365,1.0,1.0,-4.306645880310401,2024_selection,elastic_net
2024,8,401628523,Purdue,Oregon,27.6,29.5,35,27.5,22.22904314632234,16.178997000980747,28.279089291663936,1.0,1.0,29.58412138356173,2024_selection,elastic_net
2024,8,401628524,Rutgers,UCLA,-5.6,-4.5,3,-7.0,-9.262961421675122,-9.96320377214869,-8.562719071201556,1.0,1.0,-8.621062789045435,2024_selection,elastic_net
2024,8,401628397,Tennessee,Alabama,-0.4,3.5,-7,1.5,1.5234327425433563,0.9298788623212424,2.11698662276547,1.0,1.0,1.1588005870449218,2024_selection,elastic_net
2024,8,401628398,Texas,Georgia,-8.1,-4.5,15,-3.5,-6.839132672756051,-6.323194161632138,-7.355071183879964,0.967741935483871,1.0,-9.47912452646882,2024_selection,elastic_net
2024,9,401628400,Alabama,Missouri,-16.4,-16.5,-34,-14.5,-10.322359189089163,-10.462683168175593,-10.182035210002734,1.0,1.0,-10.789898868981687,2024_selection,elastic_net
2024,9,401636907,Colorado,Cincinnati,-3.6,-6.5,-11,-4.5,-2.2485482518868265,-1.7037943545031342,-2.7933021492705192,1.0,1.0,-3.524062322562394,2024_selection,elastic_net
2024,9,401635595,Duke,SMU,12.0,11.5,1,11.5,4.62426875252045,4.362263731824675,4.8862737732162245,1.0,1.0,6.7498628466421895,2024_selection,elastic_net
2024,9,401643743,Hawaii,Nevada,0.5,-1.5,-21,2.5,-1.0896225695910928,-1.9808182991239944,-0.19842684005819144,0.967741935483871,0.6666666666666666,0.7971817074693578,2024_selection,elastic_net
2024,9,401636908,Houston,Utah,7.3,4.5,-3,3.5,10.509653180465694,10.22603664795357,10.793269712977818,1.0,1.0,9.29091578162074,2024_selection,elastic_net
2024,9,401628526,Indiana,Washington,-16.5,-5.5,-14,-6.0,-7.73311801444288,-5.285879903761484,-10.180356125124277,1.0,1.0,-13.594908285072494,2024_selection,elastic_net
2024,9,401628527,Iowa,Northwestern,-14.1,-16.5,-26,-14.5,-12.978671953379731,-12.086037433970503,-13.871306472788959,1.0,1.0,-13.074906242612993,2024_selection,elastic_net
2024,9,401628401,Kentucky,Auburn,-2.2,-1.5,14,-3.0,-1.9587364410481372,-2.9976722824891615,-0.9198005996071128,1.0,1.0,-2.1629386205292382,2024_selection,elastic_net
2024,9,401645353,Memphis,Charlotte,-19.8,-16.5,-5,-19.0,-21.380557365828743,-19.23242832577927,-23.528686405878215,1.0,1.0,-22.98832436539263,2024_selection,elastic_net
