season,week,game_id,home_team,away_team,fpi_target,actual_close,actual_result_spread,timing_unknown_opener,saturday_baseline,predicted_market_spread,predicted_updated_sp_spread,feature_coverage,source_coverage,prediction,prediction_split,model
2024,8,401636897,Arizona,Colorado,3.32,-2.5,27,-3.5,-4.161456915051232,-6.035443801996368,-2.287470028106098,1.0,1.0,-0.8573617904271524,2024_selection,elastic_net
2024,8,401635588,Clemson,Virginia,-18.83,-20.5,-17,-21.0,-15.938567645777328,-15.223245736645431,-16.653889554909224,1.0,1.0,-17.62618170704608,2024_selection,elastic_net
2024,8,401628393,Florida,Kentucky,-3.54,2.5,-28,-1.5,-1.5299556183425596,-0.2921415485023608,-2.7677696881827583,1.0,1.0,-2.28101346789579,2024_selection,elastic_net
2024,8,401628521,Maryland,USC,6.18,6.5,-1,8.0,5.072696624913247,4.355395152684188,5.7899980971423055,1.0,1.0,6.003950915841234,2024_selection,elastic_net
2024,8,401645349,Memphis,North Texas,-9.16,-10.5,-8,-10.5,-10.86908620612203,-10.68064423537115,-11.05752817687291,0.967741935483871,1.0,-9.85784381457433,2024_selection,elastic_net
2024,8,401628522,Northwestern,Wisconsin,7.61,9.5,20,7.5,6.448501065213372,4.959044420908755,7.937957709517988,1.0,1.0,7.895031423879928,2024_selection,elastic_net
2024,8,401628396,Oklahoma,South Carolina,-5.78,2.5,26,-2.5,-7.195892008115639,-10.47598513171634,-3.9157988845149365,1.0,1.0,-4.352080850525544,2024_selection,elastic_net
2024,8,401628523,Purdue,Oregon,26.33,29.5,35,27.5,22.22904314632234,16.178997000980747,28.279089291663936,1.0,1.0,26.12976783395318,2024_selection,elastic_net
2024,8,401628524,Rutgers,UCLA,-7.82,-4.5,3,-7.0,-9.262961421675122,-9.96320377214869,-8.562719071201556,1.0,1.0,-9.328780137549328,2024_selection,elastic_net
2024,8,401628397,Tennessee,Alabama,1.37,3.5,-7,1.5,1.5234327425433563,0.9298788623212424,2.11698662276547,1.0,1.0,0.46475438680369874,2024_selection,elastic_net
2024,8,401628398,Texas,Georgia,-10.68,-4.5,15,-3.5,-6.839132672756051,-6.323194161632138,-7.355071183879964,0.967741935483871,1.0,-8.861570274989305,2024_selection,elastic_net
2024,9,401628400,Alabama,Missouri,-13.89,-16.5,-34,-14.5,-10.322359189089163,-10.462683168175593,-10.182035210002734,1.0,1.0,-10.603006990746177,2024_selection,elastic_net
2024,9,401636907,Colorado,Cincinnati,-6.98,-6.5,-11,-4.5,-2.2485482518868265,-1.7037943545031342,-2.7933021492705192,1.0,1.0,-3.5093330253215065,2024_selection,elastic_net
2024,9,401635595,Duke,SMU,10.43,11.5,1,11.5,4.62426875252045,4.362263731824675,4.8862737732162245,1.0,1.0,5.491638596233833,2024_selection,elastic_net
2024,9,401643743,Hawaii,Nevada,2.83,-1.5,-21,2.5,-1.0896225695910928,-1.9808182991239944,-0.19842684005819144,0.967741935483871,0.6666666666666666,-1.3486861995268542,2024_selection,elastic_net
2024,9,401636908,Houston,Utah,6.38,4.5,-3,3.5,10.509653180465694,10.22603664795357,10.793269712977818,1.0,1.0,8.230097125987228,2024_selection,elastic_net
2024,9,401628526,Indiana,Washington,-14.82,-5.5,-14,-6.0,-7.73311801444288,-5.285879903761484,-10.180356125124277,1.0,1.0,-12.2212976520463,2024_selection,elastic_net
2024,9,401628527,Iowa,Northwestern,-13.89,-16.5,-26,-14.5,-12.978671953379731,-12.086037433970503,-13.871306472788959,1.0,1.0,-13.123790503713517,2024_selection,elastic_net
2024,9,401628401,Kentucky,Auburn,-0.49,-1.5,14,-3.0,-1.9587364410481372,-2.9976722824891615,-0.9198005996071128,1.0,1.0,-2.67160396569572,2024_selection,elastic_net
2024,9,401645353,Memphis,Charlotte,-18.19,-16.5,-5,-19.0,-21.380557365828743,-19.23242832577927,-23.528686405878215,1.0,1.0,-22.908563451151334,2024_selection,elastic_net
2024,9,401628528,Minnesota,Maryland,-4.2,-5.5,-25,-5.5,-2.6222354231518263,-0.8731654602332857,-4.371305386070367,1.0,1.0,-4.145018015306199,2024_selection,elastic_net
2024,9,401628983,Navy,Notre Dame,20.59,14.5,37,13.0,13.58874176259536,10.942366588646014,16.235116936544706,0.967741935483871,1.0,11.999815924862967,2024_selection,elastic_net
2024,9,401645354,North Texas,Tulane,12.07,7.5,8,7.5,3.212951088435286,3.26987055099422,3.156031625876352,1.0,1.0,3.139077614276172,2024_selection,elastic_net
2024,9,401644755,Ohio,Buffalo,-3.49,-4.5,-31,-5.0,-5.10830830114011,-6.067735590021519,-4.148881012258702,0.967741935483871,0.6666666666666666,-4.427861375060994,2024_selection,elastic_net
2024,9,401628525,Oregon,Illinois,-21.1,-22.5,-29,-21.5,-16.955865273641642,-15.113901760663971,-18.797828786619316,1.0,1.0,-17.087014095830206,2024_selection,elastic_net
2024,9,401634770,Pittsburgh,Syracuse,-7.57,-4.5,-28,-5.0,-6.7214328324476975,-6.07001419758103,-7.372851467314365,1.0,1.0,-7.287674367859447,2024_selection,elastic_net
2024,9,401635599,Stanford,Wake Forest,-2.5,2.5,3,2.5,1.8469870173962233,0.6238716573668239,3.0701023774256226,1.0,1.0,1.1760447366351334,2024_selection,elastic_net
2024,9,401636910,TCU,Texas Tech,-3.92,-4.5,-1,-6.5,-5.71226363177284,-4.467921970297846,-6.956605293247834,1.0,1.0,-4.739710731329942,2024_selection,elastic_net
2024,9,401628404,Texas A&M,LSU,-0.95,-1.5,-15,-3.0,-1.109595660709419,-2.209780180826447,-0.00941114059239112,0.967741935483871,1.0,-1.0526685769291242,2024_selection,elastic_net
