season,week,game_id,home_team,away_team,fpi_target,actual_close,actual_result_spread,timing_unknown_opener,saturday_baseline,predicted_market_spread,predicted_updated_sp_spread,feature_coverage,source_coverage,pred_fpi,prediction_split,model,pred_tr,fpi_target_raw,tr_target,feature_coverage_raw,cutoff_valid,game_identity_valid,market_sp_50_50,all_four_equal,fixed_weight,ridge_stack,actual_source_oracle,timing_unknown_espn_bet_open
2024,8,401636897,Arizona,Colorado,3.32,-2.5,27,-3.5,-4.161456915051232,-6.035443801996368,-2.287470028106098,1.0,1.0,-0.8573617904271524,2024_selection,elastic_net,0.029832654940147647,3.32,0.9,1.0,True,True,-4.161456915051232,-2.2876107413973674,-2.4206899082024624,-1.5586392378323082,2.11,-3.5
2024,8,401635588,Clemson,Virginia,-18.83,-20.5,-17,-21.0,-15.938567645777328,-15.223245736645431,-16.653889554909224,1.0,1.0,-17.62618170704608,2024_selection,elastic_net,-17.886009793979877,-18.83,-20.7,1.0,True,True,-15.938567645777328,-16.847331698145155,-16.808357485105084,-14.844091577678844,-19.765,-21.0
2024,8,401628393,Florida,Kentucky,-3.54,2.5,-28,-1.5,-1.5299556183425596,-0.2921415485023608,-2.7677696881827583,1.0,1.0,-2.28101346789579,2024_selection,elastic_net,-1.65689709988092,-3.54,-2.2,1.0,True,True,-1.5299556183425596,-1.7494554511154572,-1.8430729063176878,-1.6637081621849583,-2.87,-1.5
2024,8,401628521,Maryland,USC,6.18,6.5,-1,8.0,5.072696624913247,4.355395152684188,5.7899980971423055,1.0,1.0,6.003950915841234,2024_selection,elastic_net,7.724814777704396,6.18,10.2,1.0,True,True,5.072696624913247,5.968539735843031,5.710410156563556,5.329257461999599,8.19,8.0
2024,8,401645349,Memphis,North Texas,-9.16,-10.5,-8,-10.5,-10.86908620612203,-10.68064423537115,-11.05752817687291,0.967741935483871,1.0,-9.85784381457433,2024_selection,elastic_net,-9.997895288260203,-9.16,-13.0,0.967741935483871,True,True,-10.86908620612203,-10.398477878769649,-10.377470157716768,-8.95597768991985,-11.08,-10.5
2024,8,401628522,Northwestern,Wisconsin,7.61,9.5,20,7.5,6.448501065213372,4.959044420908755,7.937957709517988,1.0,1.0,7.895031423879928,2024_selection,elastic_net,8.926169239219105,7.61,7.2,1.0,True,True,6.448501065213372,7.429550698381444,7.2748800260805675,6.650137369828226,7.405,7.5
2024,8,401628396,Oklahoma,South Carolina,-5.78,2.5,26,-2.5,-7.195892008115639,-10.47598513171634,-3.9157988845149365,1.0,1.0,-4.352080850525544,2024_selection,elastic_net,-4.306645880310401,-5.78,-5.3,1.0,True,True,-7.195892008115639,-5.762627686766806,-5.769442932299077,-4.587987860163575,-5.54,-2.5
2024,8,401628523,Purdue,Oregon,26.33,29.5,35,27.5,22.22904314632234,16.178997000980747,28.279089291663936,1.0,1.0,26.12976783395318,2024_selection,elastic_net,29.58412138356173,26.33,27.6,1.0,True,True,22.22904314632234,25.0429938775399,24.524840845098616,22.467726958165425,26.965,27.5
2024,8,401628524,Rutgers,UCLA,-7.82,-4.5,3,-7.0,-9.262961421675122,-9.96320377214869,-8.562719071201556,1.0,1.0,-9.328780137549328,2024_selection,elastic_net,-8.621062789045435,-7.82,-5.6,1.0,True,True,-9.262961421675122,-9.118941442486253,-9.225099044761835,-7.87905272829956,-6.71,-7.0
2024,8,401628397,Tennessee,Alabama,1.37,3.5,-7,1.5,1.5234327425433563,0.9298788623212424,2.11698662276547,1.0,1.0,0.46475438680369874,2024_selection,elastic_net,1.1588005870449218,1.37,-0.4,1.0,True,True,1.5234327425433563,1.167605114733833,1.06349818469765,0.9166873613431908,0.48500000000000004,1.5
2024,8,401628398,Texas,Georgia,-10.68,-4.5,15,-3.5,-6.839132672756051,-6.323194161632138,-7.355071183879964,0.967741935483871,1.0,-8.861570274989305,2024_selection,elastic_net,-9.47912452646882,-10.68,-8.1,0.967741935483871,True,True,-6.839132672756051,-8.004740036742557,-7.91210689902063,-7.232486526440376,-9.39,-3.5
2024,9,401628400,Alabama,Missouri,-13.89,-16.5,-34,-14.5,-10.322359189089163,-10.462683168175593,-10.182035210002734,1.0,1.0,-10.603006990746177,2024_selection,elastic_net,-10.789898868981687,-13.89,-16.4,1.0,True,True,-10.322359189089163,-10.509406059476547,-10.48137227774122,-9.171608360467433,-15.145,-14.5
2024,9,401636907,Colorado,Cincinnati,-6.98,-6.5,-11,-4.5,-2.2485482518868265,-1.7037943545031342,-2.7933021492705192,1.0,1.0,-3.5093330253215065,2024_selection,elastic_net,-3.524062322562394,-6.98,-3.6,1.0,True,True,-2.2485482518868265,-2.8826229629143882,-2.8804135683282555,-2.694540833944407,-5.29,-4.5
2024,9,401635595,Duke,SMU,10.43,11.5,1,11.5,4.62426875252045,4.362263731824675,4.8862737732162245,1.0,1.0,5.491638596233833,2024_selection,elastic_net,6.7498628466421895,10.43,12.0,1.0,True,True,4.62426875252045,5.3725097369792305,5.183776099417977,4.764557051793902,11.215,11.5
