season,week,game_id,home_team,away_team,home_completed_week,away_completed_week,feature_week_gap_home,feature_week_gap_away,cutoff_valid,game_identity_valid,feature_coverage,source_coverage
2021,0,,Fresno St.,Connecticut,,,,,False,False,0.0,0.0
2021,0,,Illinois,Nebraska,,,,,False,False,0.0,0.0
2021,0,,New Mexico St.,UTEP,,,,,False,False,0.0,0.0
2021,0,,UCLA,Hawaii,,,,,False,False,0.0,0.0
2021,1,,Appalachian St.,East Carolina,,,,,False,False,0.0,0.0
2021,1,401309841,Arizona,BYU,,,,,False,False,0.0,0.0
2021,1,401281943,Arkansas,Rice,,,,,False,False,0.0,0.0
2021,1,401281944,Auburn,Akron,,,,,False,False,0.0,0.0
2021,1,401309837,California,Nevada,,,,,False,False,0.0,0.0
2021,1,401300995,Central Florida,Boise St.,,,,,False,False,0.0,0.0
2021,1,401282052,Charlotte,Duke,,,,,False,False,0.0,0.0
2021,1,401300996,Cincinnati,Miami (Ohio),,,,,False,False,0.0,0.0
2021,1,401281946,Clemson,Georgia,,,,,False,False,0.0,0.0
2021,1,401281945,Florida,Florida Atlantic,,,,,False,False,0.0,0.0
2021,1,401282614,Florida St.,Notre Dame,,,,,False,False,0.0,0.0
2021,1,401309601,Georgia St.,Army,,,,,False,False,0.0,0.0
2021,1,,Georgia Tech,Northern Ill.,,,,,False,False,0.0,0.0
2021,1,401287886,Houston,Texas Tech,,,,,False,False,0.0,0.0
2021,1,401282179,Illinois,Texas-San Antonio,,,,,False,False,0.0,0.0
2021,1,401282723,Iowa,Indiana,,,,,False,False,0.0,0.0
2021,1,401287889,Kansas St.,Stanford,,,,,False,False,0.0,0.0
2021,1,,Kentucky,Louisiana-Monroe,,,,,False,False,0.0,0.0
2021,1,,Maryland,West Va.,,,,,False,False,0.0,0.0
2021,1,,Miami (Fla.),Alabama,,,,,False,False,0.0,0.0
2021,1,,Michigan,Western Mich.,,,,,False,False,0.0,0.0
2021,1,401282789,Minnesota,Ohio St.,,,,,False,False,0.0,0.0
2021,1,401282055,Mississippi,Louisville,,,,,False,False,0.0,0.0
2021,1,401281949,Mississippi St.,Louisiana Tech,,,,,False,False,0.0,0.0
2021,1,,Missouri,Central Mich.,,,,,False,False,0.0,0.0
2021,1,401282607,NC St.,South Florida,,,,,False,False,0.0,0.0
2021,1,401282174,Navy,Marshall,,,,,False,False,0.0,0.0
2021,1,401282782,Northwestern,Michigan St.,,,,,False,False,0.0,0.0
2021,1,401282611,Ohio,Syracuse,,,,,False,False,0.0,0.0
2021,1,401287894,Oklahoma,Tulane,,,,,False,False,0.0,0.0
2021,1,401309838,Oregon,Fresno St.,,,,,False,False,0.0,0.0
2021,1,401282612,Pittsburgh,Massachusetts,,,,,False,False,0.0,0.0
2021,1,401282819,Purdue,Oregon St.,,,,,False,False,0.0,0.0
2021,1,401282822,Rutgers,Temple,,,,,False,False,0.0,0.0
2021,1,401282822,Rutgers,Temple,,,,,False,False,0.0,0.0
2021,1,401310699,San Diego St.,New Mexico St.,,,,,False,False,0.0,0.0
2021,1,401282177,South Alabama,Southern Miss.,,,,,False,False,0.0,0.0
2021,1,401281952,Tennessee,Bowling Green,,,,,False,False,0.0,0.0
2021,1,,Texas,Louisiana-Lafayette,,,,,False,False,0.0,0.0
2021,1,,Texas A&M,Kent,,,,,False,False,0.0,0.0
2021,1,401287893,Texas St.,Baylor,,,,,False,False,0.0,0.0
2021,1,401281948,UCLA,LSU,,,,,False,False,0.0,0.0
2021,1,,USC,San Jose St.,,,,,False,False,0.0,0.0
2021,1,401309937,Virginia Tech,North Carolina,,,,,False,False,0.0,0.0
2021,1,401282608,Wake Forest,Old Dominion,,,,,False,False,0.0,0.0
2021,1,401309840,Washington St.,Utah St.,,,,,False,False,0.0,0.0
2021,1,401282815,Wisconsin,Penn St.,,,,,False,False,0.0,0.0
2021,2,401300999,Akron,Temple,1.0,1.0,1.0,1.0,True,True,0.8709677419354839,0.8333333333333334
2021,2,401309846,Arizona,San Diego St.,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401309847,Arizona St.,UNLV,,,,,False,False,0.0,0.0
2021,2,401282057,Arkansas,Texas,1.0,1.0,1.0,1.0,True,True,0.9032258064516129,0.5
2021,2,401301003,Arkansas St.,Memphis,,,,,False,False,0.0,0.0
2021,2,401282193,Army,Western Kentucky,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401309848,BYU,Utah,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401282191,Boise St.,UTEP,,1.0,,1.0,False,False,0.0,0.0
2021,2,401309546,Bowling Green,South Alabama,,1.0,,1.0,False,False,0.0,0.3333333333333333
2021,2,401287896,Coastal Carolina,Kansas,,,,,False,False,0.0,0.0
2021,2,401282067,Colorado,Texas A&M,,1.0,,1.0,False,False,0.0,0.0
2021,2,401282068,Colorado St.,Vanderbilt,,,,,False,False,0.0,0.0
2021,2,401282820,Connecticut,Purdue,,1.0,,1.0,False,False,0.0,0.3333333333333333
2021,2,401282065,East Carolina,South Carolina,,,,,False,False,0.0,0.0
2021,2,401282183,Florida Atlantic,Georgia Southern,,,,,False,False,0.0,0.0
2021,2,,Florida Intl.,Texas St.,,,,,False,False,0.0,0.0
2021,2,401282060,Georgia,UAB,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401282754,Iowa St.,Iowa,,1.0,,1.0,False,False,0.0,0.3333333333333333
2021,2,401282061,Kentucky,Missouri,1.0,1.0,1.0,1.0,True,True,0.8709677419354839,0.16666666666666666
2021,2,401282623,Massachusetts,Boston College,,,,,False,False,0.0,0.0
2021,2,,Miami (Fla.),Appalachian St.,,,,,False,False,0.0,0.0
2021,2,401282773,Michigan,Washington,1.0,,1.0,,False,False,0.0,0.0
2021,2,401282790,Minnesota,Miami (Ohio),1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401282064,Mississippi St.,NC St.,,,,,False,False,0.0,0.0
2021,2,401301004,Navy,Air Force,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401282797,Nebraska,Buffalo,1.0,,1.0,,False,False,0.0,0.0
2021,2,401310700,New Mexico,New Mexico St.,,,,,False,False,0.0,0.0
2021,2,401282621,North Carolina,Georgia St.,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,,Northern Ill.,Wyoming,,,,,False,False,0.0,0.0
2021,2,401282705,Notre Dame,Toledo,1.0,,1.0,,False,False,0.0,0.3333333333333333
2021,2,401282809,Ohio St.,Oregon,,1.0,,1.0,False,False,0.0,0.3333333333333333
2021,2,401287899,Oklahoma St.,Tulsa,,,,,False,False,0.0,0.0
2021,2,,Oregon St.,Hawaii,,,,,False,False,0.0,0.0
2021,2,401282816,Penn St.,Ball St.,,,,,False,False,0.0,0.0
2021,2,401282189,Rice,Houston,1.0,1.0,1.0,1.0,True,True,0.9032258064516129,0.8333333333333334
2021,2,401282187,SMU,North Texas,,,,,False,False,0.0,0.0
