split,n,mae,median_absolute_error,rmse,bias,correlation,direction_agreement,model,availability,coverage,weekly_mae_stddev,movement_direction_toward_close,timing_unknown_positive_clv_rate,average_clv,ats_record,ats_roi_at_minus_110
2024_selection,132,4.054313867473754,3.1997699978022496,5.120574041270701,-0.5242095262404489,0.8870696950173304,0.8560606060606061,predicted_market_rating,saturday_available,1.0,0.7943157067466092,0.4015151515151515,0.4015151515151515,-0.3522727272727273,63-69-0,-0.08884297520661157
2024_selection,132,3.6993169202049105,3.1436754771639226,4.5557612949372635,-0.4495748475331275,0.9372419494215255,0.9318181818181818,predicted_updated_sp_plus,saturday_available,1.0,1.1235005372762192,0.4393939393939394,0.4393939393939394,-0.08712121212121213,73-59-0,0.05578512396694212
2024_selection,132,3.2201061763796623,2.6537779768427265,4.024115759868803,-0.48689218688678826,0.9328795527439782,0.9015151515151515,current_50_50_market_sp,saturday_available,1.0,0.5736212224774696,0.45454545454545453,0.45454545454545453,-0.10227272727272728,69-63-0,-0.0020661157024793437
2024_selection,132,3.0318757761747808,2.613470311269306,3.855169829571183,-0.5551283811427264,0.9466256176749431,0.9393939393939394,predicted_next_fpi,saturday_available,1.0,0.5785746361160946,0.4621212121212121,0.4621212121212121,-0.0946969696969697,68-64-0,-0.01652892561983475
2024_selection,132,3.3453375261940685,2.7890912616990473,4.2127583365517625,0.06969017945403565,0.9470885428031812,0.9166666666666666,predicted_next_teamrankings,saturday_available,1.0,0.6097062137414955,0.49242424242424243,0.49242424242424243,0.026515151515151516,69-63-0,-0.0020661157024793437
2024_selection,132,3.059054395614287,2.709520096771112,3.799159710765553,-0.36480564386556674,0.9442842696210916,0.9318181818181818,equal_average_all_four,saturday_available,1.0,0.5323752211985362,0.44696969696969696,0.44696969696969696,-0.17045454545454544,70-62-0,0.012396694214876009
2024_selection,132,3.033795326467226,2.64165435013474,3.7817793633915473,-0.4585284279550812,0.9440222422512752,0.9318181818181818,fixed_weight_predicted_source,saturday_available,1.0,0.5633742021242468,0.4393939393939394,0.4393939393939394,-0.19318181818181818,70-62-0,0.012396694214876009
2024_selection,132,2.8086456153544934,2.2086219902572566,3.5745599857917103,-2.6914497566670462e-17,0.9457819861254402,0.9393939393939394,ridge_stack,saturday_available,1.0,0.5532777972503021,0.49242424242424243,0.49242424242424243,-0.026515151515151516,69-63-0,-0.0020661157024793437
2025_locked_holdout,218,4.240941614844527,3.5969978534299436,5.56665598411143,0.2076565291944002,0.8899942140989484,0.8577981651376146,predicted_market_rating,saturday_available,1.0,3.45831707425204,0.44036697247706424,0.44036697247706424,0.26605504587155965,104-110-4,-0.07089241034195162
2025_locked_holdout,218,3.445395160717446,2.8412567409488094,4.49933776957872,0.25415546858163424,0.9365836814943784,0.9128440366972477,predicted_updated_sp_plus,saturday_available,1.0,0.6840470723318062,0.46788990825688076,0.46788990825688076,0.3256880733944954,117-97-4,0.042952460383653024
2025_locked_holdout,218,2.9544640311019346,2.4105701136840607,3.8516757810963824,0.2309059988880173,0.9454821568226288,0.9220183486238532,current_50_50_market_sp,saturday_available,1.0,2.029841335028096,0.44036697247706424,0.44036697247706424,0.27522935779816515,107-107-4,-0.044620517097581344
2025_locked_holdout,218,2.8728406162457145,2.220206831019926,3.8898132076275207,-0.07645405127758928,0.9452297888977929,0.9174311926605505,predicted_next_fpi,saturday_available,1.0,1.3499461610318781,0.518348623853211,0.518348623853211,0.5137614678899083,110-104-4,-0.01834862385321101
2025_locked_holdout,218,3.1029144291276287,2.329677157197832,4.125556173581107,0.49214209036166623,0.9453349743281517,0.9174311926605505,predicted_next_teamrankings,saturday_available,1.0,1.2581608539571798,0.5458715596330275,0.5458715596330275,0.5779816513761468,117-97-4,0.042952460383653024
2025_locked_holdout,218,2.7464400329927012,2.1780117522229734,3.705290515201474,0.21937500921502795,0.9486417881165099,0.9174311926605505,equal_average_all_four,saturday_available,1.0,1.650273062896126,0.5045871559633027,0.5045871559633027,0.4954128440366973,117-97-4,0.042952460383653024
2025_locked_holdout,218,2.740157044231913,2.1262261296330744,3.6977404823583653,0.13408558796913939,0.9486109390311761,0.9128440366972477,fixed_weight_predicted_source,saturday_available,1.0,1.6593221264236375,0.4954128440366973,0.4954128440366973,0.44954128440366975,115-99-4,0.025437864887406177
2025_locked_holdout,218,2.8646530376388633,2.27695553449453,3.8883562752286958,0.5501258493151564,0.9481440017467536,0.9174311926605505,ridge_stack,saturday_available,1.0,1.883300344943157,0.4954128440366973,0.4954128440366973,0.39908256880733944,112-102-4,-0.0008340283569641605
