pulled_at,season,week,season_type,date,game_id,away_team,home_team,book,spread,formatted_spread,spread_open,total,total_open,home_moneyline,away_moneyline,home_moneyline_implied,away_moneyline_implied,source
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-08-29T23:00:00.000Z,401858201,Hawai'i,Stanford,DraftKings,-3.0,Stanford -3,-3.0,,,,,,,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-08-29T23:00:00.000Z,401858201,Hawai'i,Stanford,Bovada,-3.5,Stanford -3.5,-3.0,50.5,50.5,-170.0,145.0,0.6296296296296297,0.40816326530612246,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-05T01:00:00.000Z,401858436,Fresno State,USC,DraftKings,-23.5,USC -23.5,-23.5,,,,,,,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-05T01:00:00.000Z,401858436,Fresno State,USC,Bovada,-23.5,USC -23.5,-23.0,51.5,51.5,-3500.0,-100000.0,0.9722222222222222,0.999000999000999,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-07T23:30:00.000Z,401858212,SMU,Florida State,DraftKings,2.5,SMU -2.5,,52.5,,120.0,-142.0,0.45454545454545453,0.5867768595041323,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-07T23:30:00.000Z,401858212,SMU,Florida State,Bovada,2.5,SMU -2.5,2.5,52.5,52.5,120.0,-140.0,0.45454545454545453,0.5833333333333334,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-05T16:00:00.000Z,401869960,Liberty,James Madison,DraftKings,-6.0,James Madison -6,-6.0,,,,,,,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-05T16:00:00.000Z,401869960,Liberty,James Madison,Bovada,-6.0,James Madison -6.0,-6.0,50.5,50.5,-250.0,210.0,0.7142857142857143,0.3225806451612903,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-05T19:30:00.000Z,401856777,Boston College,Cincinnati,DraftKings,-9.5,Cincinnati -9.5,-9.5,,,,,,,CFBD Lines
2026-07-12T01:26:20.605922+00:00,2026,1,regular,2026-09-05T19:30:00.000Z,401856777,Boston College,Cincinnati,Bovada,-7.5,Cincinnati -7.5,-9.5,54.5,54.5,-270.0,220.0,0.7297297297297297,0.3125,CFBD Lines
