source,game_id,date,away_team,home_team,away_norm,home_norm,books_available,books_count,market_line_source,market_price_status,market_spread_home,market_spread_text,market_spread_price,market_spread_book,market_spread_last_update,market_total,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update
The Odds API,24941bb5e2e6f79d944530b0b8ea4be5,2026-08-29,Hawaii Rainbow Warriors,Stanford Cardinal,hawaii rainbow warriors,stanford cardinal,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-3.0,Stanford Cardinal -3,-110,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,b9d8d9eeb4afdebe9f91de7f8253eb07,2026-08-29,Jacksonville State Gamecocks,North Dakota State Bison,jacksonville state gamecocks,north dakota state bison,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-10.0,North Dakota State Bison -10,-108,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,90d9b4e9c9485143021eb1535e792164,2026-08-29,Memphis,UNLV,memphis,unlv,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-3.0,UNLV -3,-115,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29,NC State,Virginia,nc state,virginia,"Bally Bet,BetMGM,BetOnline.ag,BetRivers,Bovada,DraftKings,FanDuel,Hard Rock Bet,LowVig.ag,MyBookie.ag,betPARX",11,The Odds API,actual,-3.0,Virginia -3,-110,DraftKings,2026-05-23T14:03:31Z,53.5,Bally Bet,-113.0,-108.0,2026-05-23T14:03:31Z
The Odds API,9bbc04340f2b3f77756a22bc44e1a4a4,2026-08-29,New Mexico State,Florida State,new mexico state,florida state,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-28.5,Florida State -28.5,-112,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,2c288580da16e12d35355f2548721be6,2026-08-29,North Carolina Tar Heels,TCU Horned Frogs,north carolina tar heels,tcu horned frogs,"Bally Bet,BetMGM,BetOnline.ag,BetRivers,Bovada,DraftKings,FanDuel,Hard Rock Bet,LowVig.ag,MyBookie.ag,betPARX",11,The Odds API,actual,-6.5,TCU Horned Frogs -6.5,-108,DraftKings,2026-05-23T14:03:31Z,50.0,Bally Bet,-109.0,-112.0,2026-05-23T14:03:31Z
The Odds API,7fd4a16a262295143f08276821b259a4,2026-08-29,Sacramento State,Eastern Michigan,sacramento state,eastern michigan,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-8.5,Eastern Michigan -8.5,-108,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,3313dcc5e91f9a2dda995a5e36e55f52,2026-08-29,San Jose State,USC,san jose state,usc,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-35.5,USC -35.5,-110,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,f089e3d943a34a9c4fe1808568b96529,2026-09-03,Akron Zips,Wake Forest Demon Deacons,akron zips,wake forest demon deacons,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-22.5,Wake Forest Demon Deacons -22.5,-110,DraftKings,2026-05-23T14:03:31Z,,,,,
The Odds API,1d6daad1c93bf7e5ae16be1db12e27d5,2026-09-03,Colorado Buffaloes,Georgia Tech Yellow Jackets,colorado buffaloes,georgia tech yellow jackets,"BetOnline.ag,DraftKings,LowVig.ag",3,The Odds API,actual,-7.0,Georgia Tech Yellow Jackets -7,-110,DraftKings,2026-05-23T14:03:31Z,,,,,
